מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
685,בנימין מינץ 8,65.5,2018,2650000,6636-708-4,דירה בבית,4,40458
689,קהילת ורשה 69,97,2018,3080000,6636-876-1,דירה בבית,4,31753
690,קהילת ורשה 46,124,2018,4150000,6636-263-3,דירה בבית,5,33468
691,בנימין מינץ 18,109.35,2018,3409000,6636-703-11,דירה,5,31175
692,קהילת לודג' 52,76,2018,2715850,6636-371-5,דירה,3,35735
693,שלום אש 17,63.6,2018,2135000,6636-758-40,דירה בבית,3,33569
694,קהילת לודג' 52,76,2018,2715800,6636-371-16,דירה בבית,3,35734
695,שלום אש 21,61.2,2018,2100000,6636-759-7,דירה בבית,3,34314
696,קהילת לודג' 56,76,2018,2715000,6636-369-7,דירה בבית,3,35724
699,קהילת לודג' 54,76,2018,2705000,6636-370-4,דירה בבית,3,35592
700,שטרית 21,110,2018,3300000,6636-686-30,דירה בבית,5,30000
703,אש שלום 8,86,2018,2800000,6636-691-1,דירה בבית,4,32558
704,בנימין מינץ 10,65.5,2018,2650000,6636-707-5,דירה בבית,4,40458
705,קהילת ורשה 75,22.5,2018,400000,6636-353-7,דירה בבית,2,17778
706,בני אפרים 210,77,2018,2520000,6636-784-4,דירה בבית,3,32727
707,שלום אש 15,108.1,2018,3399000,6636-764-38,דירה בבית,4,31443
709,יוסף קיציס 16,77.3,2018,2200000,6636-745-9,דירה בבית,3.5,28461
710,קהילת יאסי 13,128.9,2018,3890000,6636-146-5,דירה בבית,5,30178
712,קהילת ורשה 79,105.6,2018,3500000,6636-354-22,דירה בבית,4,33144
713,קהילת לודג' 58,153,2018,4605800,6636-368-18,דירה בבית,6,30103
716,יוסף קיציס 26,77.3,2018,2519000,6636-744-35,דירה בבית,4,32587
717,אש שלום 14,120,2018,3350000,6636-751-24,דירה בבית,5,27917
718,קהילת לבוב 30,55.64,2018,1575000,6636-264-3,דירה בבית,3,28307
719,בנימין מינץ 18,101.3,2018,3260000,6636-703-18,דירה,4,32182
720,0,107,2018,3290000,6636-212-12,דירה בבית,4.5,30748
721,0,107,2018,3290000,6636-212-8,דירה,5,30748
722,קהילת ורשה 69,220,2018,4000000,6636-876-8,דירה בבית,5,18182
725,יד המעביר 9,77.5,2018,2635000,6636-702-22,דירה בבית,4,34000
726,קהילת יאסי 13,128.1,2018,3899000,6636-146-7,דירה בבית,5,30437
727,קהילת לודג' 50,55,2018,2005800,6636-372-20,דירה בבית,2,36469
728,קהילת לודג' 52,76,2018,2450800,6636-371-17,דירה בבית,3,32247
729,שיטרית 29,86,2018,2680000,6636-690-23,דירה בבית,4,31163
730,אש שלום 10,114.61,2018,2800000,6636-749-22,דירה בבית,4,24431
731,קהילת ורשה 79,58,2018,2614000,6636-354-2,דירה בבית,2,45069
732,קהילת לודג' 58,96,2018,2464000,6636-368-19,דירה בבית,4,25667
733,קהילת לודג' 58,64,2018,2105800,6636-368-20,דירה בבית,2,32903
736,יוסף קיציס 12,56,2018,2310000,6636-692-20,דירה בבית,3,41250
737,קהילת לודג' 60,76,2018,2100000,6636-367-19,דירה בבית,3,27632
738,קהילת לודג' 58,77,2018,2100000,6636-368-21,דירה בבית,3,27273
739,קהילת ורשה 19,65.15,2018,2400000,6636-853-13,דירה בבית,3,36838
740,בנימין מינץ 18,109.6,2018,3380000,6636-703-13,דירה,4,30839
741,0,101,2018,3650000,6636-212-7,דירה בבית,5,36139
743,0,117,2018,3280000,6636-212-6,דירה בבית,5,28034
744,אש שלום 14,137.7,2018,4549000,6636-751-25,דירה בבית,6,33036
745,0,107,2018,3050000,6636-212-4,דירה בבית,5,28505
746,קהילת בודפסט 11,184.29,2018,5374000,6636-68-4,דירה בבית,7,29161
750,0,124,2018,3800000,6636-212-17,דירה בבית,5,30645
751,0,107,2018,3800000,6636-212-3,דירה,5,35514
752,יוסף קיציס 26,47.3,2018,1770000,6636-744-18,דירה בבית,2.5,37421
755,0,58,2018,2005000,6636-364-26,דירה בבית,2,34569
756,0,58,2018,2000000,6636-364-14,דירה,2,34483
757,0,58,2018,2025000,6636-364-27,דירה בבית,2,34914
758,0,58,2018,2020000,6636-364-13,דירה,2,34828
759,יוסף קיציס 4,113,2018,3150000,6636-687-34,דירה בבית,4.5,27876
760,יוסף קיציס 4,113,2018,3000000,6636-687-32,דירה בבית,4.5,26549
761,0,58,2018,2055000,6636-364-28,דירה בבית,2,35431
762,0,57,2018,2050000,6636-364-12,דירה,2,35965
