מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
25,סהרון 12,84,2024,3106000,7075-61-34,דירה בבית,3,36976
26,סוקרטס 6,62.24,2024,1950000,7000-179-5,דירה בבית,3,31330
27,עירית 4,58.71,2024,1800000,7075-62-7,דירה בבית,3,30659
28,רח' 3408 8,100,2024,4400000,6999-3-16,דירה בבית,4,44000
29,אייזיק חריף 12,84.65,2024,2350000,7000-211-13,דירה בבית,5,27761
30,יפת 175,74.71,2024,2500000,7000-230-19,דירה בבית,4,33463
31,יפת 173,60.11,2024,2080000,7000-230-6,דירה בבית,3,34603
32,אייזיק חריף 26,61.5,2024,2175000,7000-226-14,דירה בבית,3,35366
33,פיקוס 26,41.5,2024,1500000,7075-12-91,דירה בבית,2,36145
34,זלמן מייזל 12,72.8,2024,2450000,6999-158-6,דירה בבית,3.5,33654
35,זלמן מייזל 9,76.52,2024,2500000,6999-146-9,דירה בבית,3,32671
37,פיקוס 21,47.3,2024,2130000,7075-11-25,דירה בבית,3,45032
40,פיקוס 12,52.7,2024,1880000,7075-14-12,דירה בבית,2,35674
41,פיקוס 4,49.67,2024,1800000,7075-68-1,דירה בבית,2.5,36239
43,חריף אייזיק 36,58.17,2024,1990000,7000-186-5,דירה בבית,3,34210
44,פיקוס 3,58.71,2024,2000000,7075-64-8,דירה בבית,3,34066
45,עירית 18,67,2024,1650000,7075-3-2,דירה בבית,2,24627
46,סוקרטס 6,62.24,2024,2130000,7000-179-7,דירה בבית,3,34222
47,יפת 179,60.11,2024,2285000,7000-230-62,דירה בבית,3,38014
48,ברוך קרוא 22,63.72,2024,2100000,6999-137-17,דירה בבית,3,32957
49,עירית 18,39,2024,2200000,7075-3-41,דירה בבית,2,56410
50,סהרון 12,94,2024,3250000,7075-61-35,דירה בבית,4,34574
51,פיקוס 5,58.71,2024,1800000,7075-65-3,דירה בבית,2.5,30659
52,עירית 18,69.25,2024,1650000,7075-3-1,דירה בבית,2,23827
53,סוקרטס 7,73,2024,2333000,7000-70-2,דירה בבית,3,31959
54,עירית 18,67,2024,1650000,7075-3-3,דירה בבית,2,24627
55,סהרון 12,110,2024,4886000,7075-61-36,דירה בבית,5,44418
56,עירית 5,58.71,2024,2100000,7075-58-24,דירה בבית,3,35769
57,עירית 18,67,2024,1650000,7075-3-4,דירה בבית,2,24627
59,רח' 3408 8,67,2024,2901000,6999-3-13,דירה בבית,3,43299
60,רח' 3408 8,101,2024,4143000,6999-3-19,דירה בבית,4,41020
61,רח' 3408 8,111,2024,4523000,6999-3-20,דירה בבית,5,40748
63,יפת 201,76.3,2024,2950000,7000-208-10,דירה בבית,4,38663
64,אפלטון 8,57.94,2024,1940000,7000-225-14,דירה בבית,3,33483
67,פיקוס 14,58,2024,1900000,7075-18-29,דירה בבית,3,32759
68,פיקוס 8,55.18,2024,1845000,7075-70-14,דירה בבית,2,33436
69,יפת 173,74.71,2024,2300000,7000-230-85,דירה בבית,3,30786
70,יפת 171,53.6,2024,2350000,7075-4-61,דירה בבית,3,43843
72,רח' 3408 8,64,2024,2851000,6999-3-21,דירה בבית,3,44547
74,פיקוס 3,58.71,2024,2080000,7075-64-27,דירה בבית,3,35428
76,פיקוס 22,41.5,2024,2250000,7075-12-61,דירה בבית,2,54217
77,רח' 3408 8,101,2024,4485000,6999-3-22,דירה בבית,4,44406
79,מייזל זלמן 18,77.13,2024,1880000,6999-151-2,דירה בבית,4,24374
80,רח' 3408 8,100,2024,4361000,6999-3-23,דירה בבית,4,43610
81,יפת 201,76.3,2024,2800000,7000-208-1,דירה בבית,4,36697
82,ברוך קרוא 20,63.72,2024,2200000,6999-138-12,דירה בבית,3,34526
83,ברוך קרוא 7,73.6,2024,1900000,6999-154-25,דירה בבית,4,25815
84,רח' 3408 8,111,2024,5060000,6999-3-24,דירה בבית,4,45586
87,פיקוס 23,40.6,2024,1930000,7075-11-49,דירה בבית,3.5,47537
88,רח' 3408 8,97,2024,4091000,6999-3-26,דירה בבית,4,42175
90,עירית 5,58.71,2024,1980000,7075-58-14,דירה בבית,3,33725
91,סהרון 28,62.6,2024,1950000,7075-54-49,דירה בבית,3,31150
92,רח' 3408 8,95,2024,2200000,6999-3-27,דירה בבית,4,23158
93,רח' 3408 8,63,2024,2689000,6999-3-28,דירה בבית,3,42683
94,פיקוס 10,55.18,2024,1015000,7075-71-16,דירה בבית,3,18394
95,רח' 3408 8,99,2024,4214000,6999-3-29,דירה בבית,4,42566
