city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
תל אביב - יפו,מעוז אביב,115,בני אפרים 219,48.9,2015,1500000,6625-853-52,דירה בבית,3,30675
תל אביב - יפו,מעוז אביב,116,בני אפרים 217,48.9,2015,1924000,6625-853-93,דירה בבית,3,39346
תל אביב - יפו,מעוז אביב,117,בני אפרים 219,48.9,2015,2025000,6625-853-57,דירה בבית,3,41411
תל אביב - יפו,מעוז אביב,118,בני אפרים 203,67,2015,3200000,6636-814-60,דירה בבית,4,47761
תל אביב - יפו,מעוז אביב,119,מבצע קדש 22,69.96,2015,2310000,6627-351-38,דירה בבית,3,33019
תל אביב - יפו,מעוז אביב,120,בני אפרים 219,48.9,2015,1500000,6625-853-49,דירה בבית,3,30675
תל אביב - יפו,מעוז אביב,121,בני אפרים 217,48.9,2015,1900000,6625-853-89,דירה בבית,2,38855
תל אביב - יפו,מעוז אביב,122,קדש ברנע 3,81.2,2015,2650000,6625-855-1,דירה בבית,3,32635
תל אביב - יפו,מעוז אביב,123,רפידים 20,69.96,2015,3149000,6627-351-362,דירה בבית,3,45011
תל אביב - יפו,מעוז אביב,124,בני אפרים 217,48.9,2015,1800000,6625-853-69,דירה בבית,2,36810
