city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
תל אביב - יפו,נווה שרת,158,אחי דקר 14,50.4,2022,2650000,7321-77-11,דירה בבית,2,52579
תל אביב - יפו,נווה שרת,159,קהילת קליבלנד 16,30.8,2022,1301000,7321-23-1,דירה בבית,2,42240
תל אביב - יפו,נווה שרת,160,בית אל 47,138,2022,6490000,6882-9-31,דירה בבית,5,47029
תל אביב - יפו,נווה שרת,161,בית אל 47,109,2022,4856000,6882-9-33,דירה בבית,4,44550
תל אביב - יפו,נווה שרת,162,בית אל 47,120,2022,4840000,6882-9-34,דירה בבית,5,40333
תל אביב - יפו,נווה שרת,164,בית אל 47,132,2022,6300000,6882-9-36,דירה בבית,5,47727
תל אביב - יפו,נווה שרת,165,בית אל 47,69,2022,3347000,6882-9-37,דירה בבית,3,48507
תל אביב - יפו,נווה שרת,166,אחי דקר 4,116,2022,4500000,7321-156-4,דירה בבית,5,38793
תל אביב - יפו,נווה שרת,167,בית אל 12,80.9,2022,3130000,6882-53-82,דירה בבית,4,38690
תל אביב - יפו,נווה שרת,169,הצנחנים 22,71,2022,2250000,6882-61-12,דירה בבית,3,31690
תל אביב - יפו,נווה שרת,170,בית אל 47,155,2022,5915000,6882-9-38,דירה בבית,6,38161
תל אביב - יפו,נווה שרת,172,רמה 3,187,2022,6454000,7321-106-74,דירה בבית,5,34513
תל אביב - יפו,נווה שרת,173,הדף היומי 1,106.5,2022,3800000,6882-17-13,דירה בבית,4,35681
תל אביב - יפו,נווה שרת,174,בית אל 47,136,2022,6905000,6882-9-41,דירה בבית,5,50772
תל אביב - יפו,נווה שרת,175,בית אל 47,155,2022,5800000,6882-9-42,דירה בבית,6,37419
תל אביב - יפו,נווה שרת,176,פילידלפיה 9,77.6,2022,3350000,7321-123-26,דירה בבית,3,43170
תל אביב - יפו,נווה שרת,181,נהריים 4,68.9,2022,3000000,6335-304-15,דירה בבית,3,43541
תל אביב - יפו,נווה שרת,183,קהילת קליבלנד 8,65.4,2022,3010000,7321-26-43,דירה בבית,3,46024
תל אביב - יפו,נווה שרת,184,קהילת קליבלנד 8,65.4,2022,1284000,7321-26-13,דירה בבית,3,19633
תל אביב - יפו,נווה שרת,185,0,116,2022,3900000,7321-150-2,דירה בבית,4,33621
תל אביב - יפו,נווה שרת,188,כורזים 10,63.06,2022,2500000,7321-145-61,דירה בבית,3,39645
תל אביב - יפו,נווה שרת,189,אדירים 2,65.4,2022,1300000,7321-133-77,דירה בבית,3,19878
תל אביב - יפו,נווה שרת,190,הדף היומי 1,113.75,2022,3835000,6882-17-15,דירה בבית,4,33714
תל אביב - יפו,נווה שרת,191,רמה 2,96.39,2022,3400000,7321-161-58,דירה בבית,3,35273
תל אביב - יפו,נווה שרת,192,0,89,2022,3702000,7321-150-4,דירה בבית,4,41596
תל אביב - יפו,נווה שרת,193,בית אל 47,120,2022,4840000,6882-9-43,דירה בבית,5,40333
תל אביב - יפו,נווה שרת,194,בית אל 47,82,2022,3671000,6882-9-44,דירה בבית,3,44768
תל אביב - יפו,נווה שרת,195,בית אל 47,120,2022,4745000,6882-9-45,דירה בבית,5,39542
תל אביב - יפו,נווה שרת,196,אחי דקר 24,50.4,2022,2650000,7321-112-12,דירה בבית,2,52579
תל אביב - יפו,נווה שרת,197,רמה 3,91,2022,3475000,7321-106-73,דירה בבית,4,38187
תל אביב - יפו,נווה שרת,198,אדירים 5,77.6,2022,3000000,7321-122-14,דירה בבית,3,38660
תל אביב - יפו,נווה שרת,199,בית אל 47,155,2022,5725000,6882-9-47,דירה בבית,5,36935
תל אביב - יפו,נווה שרת,200,הדף היומי 13,68,2022,1830000,6882-25-16,דירה בבית,3,26912
תל אביב - יפו,נווה שרת,201,הפרסה 32,189,2022,6147000,6335-258-1,דירה בבית,5,32524
תל אביב - יפו,נווה שרת,202,פילדלפיה 4,52.9,2022,2450000,7321-128-1,דירה בבית,2,46314
תל אביב - יפו,נווה שרת,203,אדירים 2,65.4,2022,2710000,7321-133-81,דירה בבית,3,41437
תל אביב - יפו,נווה שרת,204,0,90,2022,3550000,7321-150-5,דירה בבית,4,39444
תל אביב - יפו,נווה שרת,206,אחי דקר 4,91,2022,3150000,7321-156-5,דירה בבית,4,34615
תל אביב - יפו,נווה שרת,208,אחי דקר 4,112,2022,3900000,7321-156-6,דירה בבית,5,34821
תל אביב - יפו,נווה שרת,209,רמה 26,65.02,2022,2500000,7321-143-72,דירה בבית,3,38450
תל אביב - יפו,נווה שרת,211,הצנחנים 22,85,2022,2512000,6882-61-10,דירה בבית,3,29553
תל אביב - יפו,נווה שרת,212,רמה 6,117.06,2022,3700000,7321-160-77,דירה בבית,4,31608
תל אביב - יפו,נווה שרת,213,בית אל 47,155,2022,5632000,6882-9-48,דירה בבית,6,36335
תל אביב - יפו,נווה שרת,214,אחי דקר 4,95,2022,1864000,7321-156-7,דירה בבית,4,19621
תל אביב - יפו,נווה שרת,215,קהילת קליבלנד 3,41.1,2022,1380000,7321-32-53,דירה בבית,2,33577
תל אביב - יפו,נווה שרת,216,אדירים 3,44.3,2022,2350000,7321-120-45,דירה בבית,3,53047
תל אביב - יפו,נווה שרת,218,פילדלפיה 4,75.9,2022,2600000,7321-128-7,דירה בבית,3,34256
תל אביב - יפו,נווה שרת,219,רמה 13,54.1,2022,1575000,7321-129-22,דירה בבית,3,29113
תל אביב - יפו,נווה שרת,220,בית אל 47,112,2022,4739000,6882-9-49,דירה בבית,4,42313
תל אביב - יפו,נווה שרת,223,בית אל 47,109,2022,4028000,6882-9-50,דירה בבית,4,36954
תל אביב - יפו,נווה שרת,225,אחי דקר 4,105,2022,3580000,7321-156-8,דירה בבית,4,34095
תל אביב - יפו,נווה שרת,226,בית אל 47,120,2022,4332000,6882-9-51,דירה בבית,4,36100
תל אביב - יפו,נווה שרת,229,בית אל 12,80.9,2022,2700000,6882-53-86,דירה בבית,4,33375
תל אביב - יפו,נווה שרת,231,בית אל 12,81,2022,2180000,6882-53-87,דירה בבית,4,26914
תל אביב - יפו,נווה שרת,232,אחי דקר 25,65.7,2022,2400000,6337-127-15,דירה בבית,3,36530
תל אביב - יפו,נווה שרת,233,בית אל 47,120,2022,4407000,6882-9-55,דירה בבית,5,36725
תל אביב - יפו,נווה שרת,235,הדף היומי 13,114,2022,2450000,6882-25-5,דירה בבית,5,21491
תל אביב - יפו,נווה שרת,236,אחי דקר 4,117,2022,4000000,7321-156-9,דירה בבית,5,34188
תל אביב - יפו,נווה שרת,237,0,122,2022,4300000,7321-150-6,דירה בבית,5,35246
תל אביב - יפו,נווה שרת,238,בית אל 47,120,2022,4241000,6882-9-56,דירה בבית,5,35342
תל אביב - יפו,נווה שרת,239,רמה 22,46.9,2022,2280000,7321-64-43,דירה בבית,2,48614
תל אביב - יפו,נווה שרת,240,רמה 23,65.4,2022,2360000,6335-246-33,דירה בבית,3,36086
