city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
תל אביב - יפו,נחלת יצחק,28,נחלת יצחק 9,112,2024,5744000,7093-49-53,דירה בבית,5,51286
תל אביב - יפו,נחלת יצחק,29,ערבי נחל 28,73,2024,3470000,6167-651-5,דירה בבית,3,47534
תל אביב - יפו,נחלת יצחק,31,0,76,2024,2000000,7094-128-1,דירה בבית,3,26316
תל אביב - יפו,נחלת יצחק,32,פרי מגדים 2,90,2024,4310000,7093-49-10,דירה בבית,4,47889
תל אביב - יפו,נחלת יצחק,33,עליית הנוער 22,64,2024,3100000,7110-166-1,דירה בבית,3,48438
תל אביב - יפו,נחלת יצחק,34,נחלת יצחק 9,112,2024,5650000,7093-49-54,דירה בבית,5,50446
תל אביב - יפו,נחלת יצחק,35,תוצרת הארץ 5,126,2024,5852300,7094-105-140,דירה בבית,5,46447
תל אביב - יפו,נחלת יצחק,36,תוצרת הארץ 5,72,2024,3590000,7094-105-143,דירה בבית,3,49861
תל אביב - יפו,נחלת יצחק,38,ברוריה 21,57.5,2024,2800000,7110-345-9,דירה בבית,3,48696
תל אביב - יפו,נחלת יצחק,39,תוצרת הארץ 5,166,2024,10770000,7094-105-144,דירה בבית,5,64880
תל אביב - יפו,נחלת יצחק,40,עליית הנוער 14,82,2024,3700000,7110-211-43,דירה בבית,4,45122
תל אביב - יפו,נחלת יצחק,41,נחלת יצחק 18,107,2024,3900000,7093-549-68,דירה בבית,4,36449
תל אביב - יפו,נחלת יצחק,42,נחלת יצחק 9,75,2024,4122000,7093-49-55,דירה בבית,3,54960
תל אביב - יפו,נחלת יצחק,43,תוצרת הארץ 5,72,2024,3809000,7094-105-145,דירה בבית,3,52903
תל אביב - יפו,נחלת יצחק,44,זימן 24,101,2024,4500000,6167-232-2,דירה בבית,4,44554
תל אביב - יפו,נחלת יצחק,45,פרחי אביב 8,65.9,2024,2975000,7093-366-53,דירה בבית,3,45144
תל אביב - יפו,נחלת יצחק,47,פרי מגדים 2,90,2024,4200000,7093-49-7,דירה בבית,4,46667
תל אביב - יפו,נחלת יצחק,48,פאת השולחן 12,62,2024,2980000,7105-82-7,דירה בבית,3,48065
תל אביב - יפו,נחלת יצחק,49,תוצרת הארץ 5,126,2024,6000000,7094-105-146,דירה בבית,5,47619
תל אביב - יפו,נחלת יצחק,51,עמק ברכה 31,105,2024,5900000,7110-352-14,דירה בבית,5,56190
תל אביב - יפו,נחלת יצחק,52,נחלת יצחק 9,92,2024,4900000,7093-49-56,דירה בבית,4,53261
תל אביב - יפו,נחלת יצחק,53,ברוריה 10,59,2024,3363000,7110-243-22,דירה בבית,3,57000
תל אביב - יפו,נחלת יצחק,54,נחלת יצחק 17,60.06,2024,2730000,7093-399-13,דירה בבית,3,45455
תל אביב - יפו,נחלת יצחק,55,נחלת יצחק 18,109,2024,4250000,7093-549-67,דירה בבית,4,38991
תל אביב - יפו,נחלת יצחק,56,תוצרת הארץ 5,107,2024,5010000,7094-105-147,דירה בבית,4,46822
תל אביב - יפו,נחלת יצחק,58,עמק ברכה 42,54,2024,2950000,7093-350-11,דירה בבית,2.5,54630
תל אביב - יפו,נחלת יצחק,59,זימן 20,68,2024,3000000,7110-195-8,דירה בבית,3,44118
תל אביב - יפו,נחלת יצחק,60,ברוריה 16,80.64,2024,3100000,7110-275-2,דירה בבית,3.5,38442
תל אביב - יפו,נחלת יצחק,62,נהלל 15,85.4,2024,3600000,7110-174-5,דירה בבית,4,42155
תל אביב - יפו,נחלת יצחק,63,ברוריה 10,68.7,2024,3363000,7110-243-18,דירה בבית,3,48952
תל אביב - יפו,נחלת יצחק,64,נחלת יצחק 18,111,2024,4250000,7093-549-66,דירה בבית,4,38288
תל אביב - יפו,נחלת יצחק,65,תוצרת הארץ 5,72,2024,3650000,7094-105-148,דירה בבית,3,50694
תל אביב - יפו,נחלת יצחק,67,תוצרת הארץ 5,87,2024,4900000,7094-105-149,דירה בבית,3,56322
תל אביב - יפו,נחלת יצחק,69,נחלת יצחק 9,75,2024,4020000,7093-49-57,דירה בבית,3,53600
תל אביב - יפו,נחלת יצחק,70,פאת השולחן 9,76,2024,2800000,7105-110-5,דירה בבית,3,36842
תל אביב - יפו,נחלת יצחק,71,תוצרת הארץ 5,169,2024,11300000,7094-105-150,דירה בבית,5,66864
תל אביב - יפו,נחלת יצחק,72,זימן 24,87,2024,4050000,6167-232-3,דירה בבית,4,46552
תל אביב - יפו,נחלת יצחק,74,ברוריה 10,74,2024,4129000,7110-243-23,דירה בבית,3,55797
תל אביב - יפו,נחלת יצחק,75,תוצרת הארץ 5,58,2024,2950000,7094-105-151,דירה בבית,2,50862
תל אביב - יפו,נחלת יצחק,77,נחלת יצחק 18,110,2024,4300000,7093-549-65,דירה בבית,4,39091
תל אביב - יפו,נחלת יצחק,78,ברוריה 10,63.5,2024,3685000,7110-243-9,דירה בבית,3,58031
תל אביב - יפו,נחלת יצחק,79,ברוריה 10,63,2024,3968000,7110-243-21,דירה בבית,3,62984
תל אביב - יפו,נחלת יצחק,81,נהלל 11,75.02,2024,3220000,7110-270-1,דירה בבית,3.5,42922
תל אביב - יפו,נחלת יצחק,82,זימן 4,105,2024,3850000,7110-168-2,דירה בבית,5,36667
תל אביב - יפו,נחלת יצחק,83,תוצרת הארץ 5,72,2024,3700000,7094-127-32,דירה בבית,3,51389
תל אביב - יפו,נחלת יצחק,85,ברוריה 10,74,2024,4046000,7110-243-24,דירה בבית,3,54676
תל אביב - יפו,נחלת יצחק,86,ברוריה 10,67.5,2024,3149000,7110-243-6,דירה בבית,3,46652
תל אביב - יפו,נחלת יצחק,88,פרי מגדים 4,47,2024,3072000,7093-49-15,דירה בבית,2.5,65362
תל אביב - יפו,נחלת יצחק,89,חפץ חיים 11,87,2024,4754000,7093-329-10,דירה בבית,4,54644
תל אביב - יפו,נחלת יצחק,90,ברוריה 10,80,2024,3890000,7110-243-15,דירה בבית,3,48625
תל אביב - יפו,נחלת יצחק,91,תוצרת הארץ 5,126,2024,5750000,7094-105-152,דירה בבית,5,45635
תל אביב - יפו,נחלת יצחק,97,תוצרת הארץ 5,57,2024,3134000,7094-105-153,דירה בבית,2,54982
תל אביב - יפו,נחלת יצחק,99,ברוריה 10,63,2024,3340000,7110-243-12,דירה בבית,3,53016
תל אביב - יפו,נחלת יצחק,101,עמק ברכה 34,89,2024,4650000,7093-391-32,דירה בבית,4,52247
תל אביב - יפו,נחלת יצחק,102,נחלת יצחק 18,96,2024,3782000,7093-549-64,דירה בבית,3,39396
תל אביב - יפו,נחלת יצחק,106,זימן 24,92,2024,4398000,6167-232-4,דירה בבית,4,47804
תל אביב - יפו,נחלת יצחק,107,תוצרת הארץ 7,97,2024,4300000,7093-549-63,דירה בבית,4,44330
תל אביב - יפו,נחלת יצחק,108,עמק ברכה 26,74.27,2024,3500000,7093-509-9,דירה בבית,3,47125
תל אביב - יפו,נחלת יצחק,109,נחלת יצחק 9,185,2024,11500000,7093-49-58,דירה בבית,6,62162
תל אביב - יפו,נחלת יצחק,110,תוצרת הארץ 5,72,2024,3820000,7094-105-158,דירה בבית,3,53056
תל אביב - יפו,נחלת יצחק,115,עמק ברכה 30,93.44,2024,5050000,7093-426-15,דירה בבית,5,54045
תל אביב - יפו,נחלת יצחק,116,נחלת יצחק 9,90,2024,4460000,7093-49-59,דירה בבית,4,49556
תל אביב - יפו,נחלת יצחק,117,ברוריה 24,76.3,2024,3200000,7110-274-4,דירה בבית,3,41940
תל אביב - יפו,נחלת יצחק,119,0,76,2024,4284000,7094-128-5,דירה בבית,3,56368
תל אביב - יפו,נחלת יצחק,121,עלית הנוער 16,99.27,2024,4630000,7110-266-16,דירה בבית,5,46640
תל אביב - יפו,נחלת יצחק,124,אהרון בנימיני 7,61,2024,3495000,7110-234-1,דירה בבית,3,57295
תל אביב - יפו,נחלת יצחק,126,תוצרת הארץ 5,89,2024,3850000,7094-127-42,דירה בבית,3,43258
תל אביב - יפו,נחלת יצחק,127,ברוריה 24,75.5,2024,3320000,7110-274-5,דירה בבית,3.5,43974
תל אביב - יפו,נחלת יצחק,129,נחלת יצחק 9,90,2024,4432000,7093-49-60,דירה בבית,4,49244
תל אביב - יפו,נחלת יצחק,130,נחלת יצחק 18,110,2024,4300000,7093-549-62,דירה בבית,4,39091
תל אביב - יפו,נחלת יצחק,131,יגאל אלון 154,62,2024,2630000,7110-247-3,דירה בבית,3,42419
תל אביב - יפו,נחלת יצחק,133,עליית הנוער 26,61,2024,2000000,7093-225-8,דירה בבית,3,32787
תל אביב - יפו,נחלת יצחק,134,זימן 24,96,2024,4250000,6167-232-5,דירה בבית,4,44271
תל אביב - יפו,נחלת יצחק,135,חפץ חיים 13,84,2024,4456000,7093-329-24,דירה בבית,4,53048
תל אביב - יפו,נחלת יצחק,136,עמק ברכה 25,83,2024,3500000,7110-221-19,דירה בבית,4,42169
תל אביב - יפו,נחלת יצחק,137,זימן 24,101,2024,3900000,6167-232-7,דירה בבית,4,38614
תל אביב - יפו,נחלת יצחק,139,נחלת יצחק 9,75,2024,4181000,7093-49-61,דירה בבית,3,55747
תל אביב - יפו,נחלת יצחק,143,עמק ברכה 11,48,2024,2630000,7110-264-7,דירה בבית,2,54792
תל אביב - יפו,נחלת יצחק,144,חפץ חיים 11,134,2024,7366000,7093-329-11,דירה בבית,5,54970
תל אביב - יפו,נחלת יצחק,145,חפץ חיים 11,85,2024,4117000,7093-329-5,דירה בבית,4,48435
תל אביב - יפו,נחלת יצחק,146,תוצרת הארץ 5,120,2024,5287000,7094-127-45,דירה בבית,4,44058
תל אביב - יפו,נחלת יצחק,148,ערבי נחל 14,76,2024,3400000,7105-110-4,דירה בבית,4,44737
תל אביב - יפו,נחלת יצחק,150,נחלת יצחק 9,112,2024,5449000,7093-49-62,דירה בבית,5,48652
תל אביב - יפו,נחלת יצחק,152,פאת השולחן 13,60.56,2024,2770000,7105-124-2,דירה בבית,3,45740
תל אביב - יפו,נחלת יצחק,159,נחלת יצחק 18,111,2024,4200000,7093-549-61,דירה בבית,4,37838
