מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,תל אביב - יפו,רמת אביב,הררי 2,49.2,2025,3600000,6771-11-33,דירה בבית,3,73171
2,תל אביב - יפו,רמת אביב,רדינג 31,39.2,2025,3453000,6771-20-4,דירה בבית,3,88087
3,תל אביב - יפו,רמת אביב,אשר ברש 3,42.9,2025,3300000,6768-7-38,דירה בבית,2,76923
4,תל אביב - יפו,רמת אביב,הברון הירש 3,110,2025,1619000,6768-11-42,דירה בבית,4,14718
5,תל אביב - יפו,רמת אביב,הברון הירש 3,42.9,2025,640000,6768-11-28,דירה בבית,2,14918
6,תל אביב - יפו,רמת אביב,הברון הירש 3,96,2025,5953000,6768-11-25,דירה בבית,4,62010
7,תל אביב - יפו,רמת אביב,פראנקל 8,77.6,2025,4700000,6649-280-23,דירה בבית,4,60567
8,תל אביב - יפו,רמת אביב,רדינג 24,51,2025,3390000,6770-49-45,דירה בבית,2,66471
9,תל אביב - יפו,רמת אביב,רדינג 33,52.8,2025,360000,6771-20-25,דירה בבית,1,6818
10,תל אביב - יפו,רמת אביב,יוסף סלוואדור 3,52.8,2025,3828000,6770-8-18,דירה בבית,3,72500
11,תל אביב - יפו,רמת אביב,רדינג 24,104,2025,6200000,6770-49-46,דירה בבית,4,59615
12,תל אביב - יפו,רמת אביב,רדינג 49,53.6,2025,3958000,6768-11-1,דירה בבית,3,73843
13,תל אביב - יפו,רמת אביב,רדינג 24,51,2025,3350000,6770-49-47,דירה בבית,2,65686
15,תל אביב - יפו,רמת אביב,רדינג 33,39.2,2025,612000,6771-20-29,דירה בבית,1,15612
16,תל אביב - יפו,רמת אביב,רדינג 31,52.8,2025,300000,6771-20-12,דירה בבית,1,5682
17,תל אביב - יפו,רמת אביב,רדינג 22,75,2025,4690000,6770-49-48,דירה בבית,3,62533
18,תל אביב - יפו,רמת אביב,רדינג 24,152,2025,13400000,6770-49-49,דירה בבית,5,88158
19,תל אביב - יפו,רמת אביב,רדינג 24,48,2025,3391000,6770-49-50,דירה בבית,2,70646
20,תל אביב - יפו,רמת אביב,איינשטיין 36,108.15,2025,4400000,6649-521-39,דירה בבית,4,40684
21,תל אביב - יפו,רמת אביב,מרטגלס 3,195,2024,4346000,6772-32-3,דירה בבית,6,22287
22,תל אביב - יפו,רמת אביב,פיכמן 9,114,2024,892000,6768-46-17,דירה בבית,4,7825
23,תל אביב - יפו,רמת אביב,רדינג 45,42.9,2024,3600000,6768-7-23,דירה בבית,2,83916
24,תל אביב - יפו,רמת אביב,אשר ברש 5,42.9,2024,250000,6768-7-70,דירה בבית,2,5828
26,תל אביב - יפו,רמת אביב,ברודצקי 29,110,2024,6495000,6770-27-6,דירה בבית,4,59045
27,תל אביב - יפו,רמת אביב,פראנקל 8,119,2024,6100000,6649-280-35,דירה בבית,5,51261
29,תל אביב - יפו,רמת אביב,רדינג 24,51,2024,3370000,6770-49-51,דירה בבית,2,66078
30,תל אביב - יפו,רמת אביב,טורטשינר 8,104,2024,4100000,6769-80-66,דירה בבית,4,39423
33,תל אביב - יפו,רמת אביב,פיכמן 2,68.7,2024,4250000,6768-8-16,דירה בבית,3,61863
34,תל אביב - יפו,רמת אביב,גרונימן 40,47.2,2024,4000000,6772-58-32,דירה בבית,2,84746
35,תל אביב - יפו,רמת אביב,רדינג 24,101,2024,6050000,6770-49-52,דירה בבית,4,59901
36,תל אביב - יפו,רמת אביב,ברזיל 16,57.2,2024,1600000,6768-3-71,דירה בבית,3,27972
37,תל אביב - יפו,רמת אביב,רדינג 24,104,2024,6160000,6770-49-53,דירה בבית,4,59231
38,תל אביב - יפו,רמת אביב,רדינג 31,52.8,2024,4658000,6771-20-13,דירה בבית,3,88220
41,תל אביב - יפו,רמת אביב,ברודצקי 29,52.8,2024,3226000,6770-27-3,דירה בבית,2,61098
46,תל אביב - יפו,רמת אביב,אשר ברש 3,42.9,2024,3000000,6768-7-44,דירה בבית,2,69930
47,תל אביב - יפו,רמת אביב,רדינג 24,63,2024,3474000,6770-49-55,דירה בבית,3,55143
54,תל אביב - יפו,רמת אביב,צמחי היהודים 1,141,2024,7650000,6649-290-62,דירה בבית,5,54255
55,תל אביב - יפו,רמת אביב,רדינג 22,126,2024,7750000,6770-49-56,דירה בבית,5,61508
57,תל אביב - יפו,רמת אביב,חיים לבנון 31,190,2024,8400000,6769-55-8,דירה בבית,5,44211
62,תל אביב - יפו,רמת אביב,ברודצקי 13,69.84,2024,5275000,6770-9-20,דירה בבית,3,75530
63,תל אביב - יפו,רמת אביב,רדינג 22,76,2024,4750000,6770-49-57,דירה בבית,3,62500
65,תל אביב - יפו,רמת אביב,רדינג 24,48,2024,3310000,6770-49-58,דירה בבית,2,68958
67,תל אביב - יפו,רמת אביב,פראנקל 2,41.2,2024,3275000,6649-293-1,דירה בבית,2,79490
68,תל אביב - יפו,רמת אביב,מרטגלס 5,220,2024,6133333,6772-39-1,דירה בבית,6,27879
69,תל אביב - יפו,רמת אביב,ברודצקי 29,100,2024,5614000,6770-27-8,דירה בבית,4,56140
70,תל אביב - יפו,רמת אביב,פיכמן 13,68.4,2024,5500000,6768-2-28,דירה בבית,4,80409
72,תל אביב - יפו,רמת אביב,פיכמן 2,68.7,2024,4075000,6768-8-14,דירה בבית,3,59316
74,תל אביב - יפו,רמת אביב,רדינג 22,101,2024,5900000,6770-49-59,דירה בבית,4,58416
75,תל אביב - יפו,רמת אביב,רדינג 22,76,2024,3930000,6770-49-60,דירה בבית,3,51711
77,תל אביב - יפו,רמת אביב,רדינג 22,115,2024,7926000,6770-49-61,דירה בבית,4,68922
79,תל אביב - יפו,רמת אביב,לחובר 5,74,2024,4500000,6770-7-33,דירה בבית,4,60811
81,תל אביב - יפו,רמת אביב,רדינג 24,51,2024,3280000,6770-49-62,דירה בבית,2,64314
83,תל אביב - יפו,רמת אביב,אשר ברש 5,42.9,2024,2400000,6768-7-83,דירה בבית,2,55944
84,תל אביב - יפו,רמת אביב,פיכמן 2,68.7,2024,2000000,6768-8-39,דירה בבית,3.5,29112
86,תל אביב - יפו,רמת אביב,אינשטיין 34,110.87,2024,6250000,6649-520-44,דירה בבית,4,56372
87,תל אביב - יפו,רמת אביב,הררי 8,49.2,2024,3300000,6771-11-48,דירה בבית,3,67073
88,תל אביב - יפו,רמת אביב,הברון הירש 5,100,2024,117000,6768-11-66,דירה בבית,5,1170
89,תל אביב - יפו,רמת אביב,הברון הירש 5,95,2024,175000,6768-11-54,דירה בבית,4,1842
90,תל אביב - יפו,רמת אביב,ברזיל 16,104,2024,960000,6768-3-80,דירה בבית,4,9231
92,תל אביב - יפו,רמת אביב,פיכמן 17,68.4,2024,3850000,6768-2-86,דירה בבית,3,56287
93,תל אביב - יפו,רמת אביב,נח 9,90,2024,4600000,6770-19-15,דירה בבית,4,51111
95,תל אביב - יפו,רמת אביב,רדינג 22,125,2024,7550000,6770-49-63,דירה בבית,5,60400
96,תל אביב - יפו,רמת אביב,חיים לבנון 29,203,2024,8000000,6772-58-13,דירה בבית,5,39409
97,תל אביב - יפו,רמת אביב,רדינג 22,93,2024,5050000,6770-49-64,דירה בבית,4,54301
100,תל אביב - יפו,רמת אביב,רדינג 24,101,2024,6060000,6770-49-65,דירה בבית,4,60000
103,תל אביב - יפו,רמת אביב,רדינג 22,76,2024,4446000,6770-49-66,דירה בבית,3,58500
105,תל אביב - יפו,רמת אביב,רדינג 24,101,2024,5770000,6770-49-67,דירה בבית,4,57129
107,תל אביב - יפו,רמת אביב,צמחי היהודים 6,100,2024,96000,6769-88-36,דירה בבית,4,960
108,תל אביב - יפו,רמת אביב,ברזיל 5,128.15,2024,6900000,6649-517-7,דירה בבית,4,53843
109,תל אביב - יפו,רמת אביב,רדינג 22,80,2024,5899000,6770-49-68,דירה בבית,3,73738
111,תל אביב - יפו,רמת אביב,רדינג 50,39.2,2024,3147000,6770-15-18,דירה בבית,2,80281
112,תל אביב - יפו,רמת אביב,רדינג 22,140,2024,7200000,6770-49-70,דירה בבית,5,51429
114,תל אביב - יפו,רמת אביב,רדינג 22,126,2024,7200000,6770-49-71,דירה בבית,5,57143
117,תל אביב - יפו,רמת אביב,רדינג 22,120,2024,9140000,6770-49-72,דירה בבית,5,76167
119,תל אביב - יפו,רמת אביב,שמעוני 13,55.4,2024,3300000,6771-19-39,דירה בבית,3,59567
