city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
תל אביב - יפו,רמת החייל,247,קם 2,81,2015,2900000,6336-455-3,דירה בבית,5,35802
תל אביב - יפו,רמת החייל,248,בירייה 12,224,2015,6200000,6638-184-2,קוטג' חד משפחתי,8,27679
תל אביב - יפו,רמת החייל,249,עטרות 7,245,2015,6700000,6336-467-1,קוטג' דו משפחתי,6,27347
תל אביב - יפו,רמת החייל,250,טריטש 10,55.6,2015,3725000,6638-132-1,דירה בבית,3,66996
תל אביב - יפו,רמת החייל,251,הגולן 89,82.56,2015,3770000,6638-189-1,דירה בבית,3,45664
תל אביב - יפו,רמת החייל,254,הגולן 100,46.4,2015,600000,6638-218-5,דירה בבית,2,12931
תל אביב - יפו,רמת החייל,255,קם 77,39.4,2015,1750000,6336-583-12,דירה בבית,2,44416
תל אביב - יפו,רמת החייל,256,עולי הגרדום 2,53.4,2015,2250000,6638-71-2,דירה בבית,3,42135
תל אביב - יפו,רמת החייל,257,הרוגי מלכות 8,75.57,2015,3500000,6638-96-19,דירה בבית,3,46315
תל אביב - יפו,רמת החייל,258,הגולן 114,126,2015,4250000,6638-212-5,דירה בבית,5,33730
תל אביב - יפו,רמת החייל,259,ניסן כהן 3,124.07,2015,2550000,6638-81-6,דירה בבית,5,20553
תל אביב - יפו,רמת החייל,260,עולי הגרדום 16,69.04,2015,2650000,6638-74-2,דירה בבית,3,38384
תל אביב - יפו,רמת החייל,261,דוד מרכוס 20,48,2015,2725000,6638-195-2,דירה בבית,4.5,56771
