מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
260,אלכסנדר פן 18,114.4,2015,3750000,6626-212-56,דירה בבית,5,32780
262,משה סנה 39,70,2015,1790000,6624-899-7,דירה בבית,2,25571
263,אהרון בקר 15,97.3,2015,3280000,6626-224-85,דירה בבית,4,33710
264,משה סנה 39,70,2015,1785000,6624-899-6,דירה בבית,2,25500
265,אלכסנדר פן 16,103.55,2015,3050000,6626-212-111,דירה בבית,4,29454
266,משה סנה 39,70,2015,1890000,6624-899-5,דירה בבית,2,27000
267,יעקב מרידור 15,125.95,2015,5499000,7193-16-19,דירת,5,43660
268,אלכסנדר פן 14,78.2,2015,2472000,6626-214-66,דירה בבית,3.5,31611
269,אהרון בקר 5,117.89,2015,3649000,6626-221-21,דירה בבית,4,30953
270,משה סנה 39,70,2015,1884000,6624-899-29,דירה בבית,2,26914
271,יעקב מרידור 21,88.67,2015,3075000,7193-13-8,דירה בבית,4,34679
272,סטפן צווייג 18,95.05,2015,3200000,7193-30-32,דירה בבית,4,33666
273,יעקב מרידור 5,106,2015,3257000,7193-20-16,דירה בבית,5,30726
274,סטפן צווייג 18,83.06,2015,2470000,7193-30-11,דירה בבית,3.5,29738
275,אהרון בקר 1,78.18,2015,2637000,6626-219-47,דירה בבית,4,33730
276,אהרון בקר 9,77.5,2015,1150000,6626-224-60,דירה בבית,3,14839
277,יוכבד בת מרים 15,193.7,2015,6500000,7193-37-6,דירה בבית,6,33557
278,יוכבד בת מרים 42,78.8,2015,2300000,7193-10-3,דירה בבית,3,29188
279,יעקב מרידור 3,106.26,2015,2974000,7193-21-4,דירה בבית,5,27988
280,יוכבד בת-מרים 23,92,2015,2625000,7193-33-2,דירה בבית,4,28533
281,משה סנה 39,50,2015,635000,6624-899-4,דירה בבית,2,12700
282,יעקב מרידור 11,76.09,2015,2250000,7193-18-9,דירה בבית,3,29570
283,חנה רובינא 3,91.92,2015,2750000,7193-30-86,דירה בבית,3.5,29917
284,אלכסנדר פן 18,129.5,2015,5050000,6626-212-37,דירה בבית,6,38996
285,יוכבד בת-מרים 23,93,2015,2640000,7193-33-3,דירה בבית,4,28387
286,משה סנה 39,70,2015,1696000,6624-899-3,דירה בבית,2,24229
287,יוכבד בת מרים 19,70.12,2015,2375000,7193-35-3,דירה בבית,3,33871
288,פן אלכסנדר 6,94.31,2015,3100000,6626-216-13,דירה בבית,4,32870
289,אלכסנדר פן 14,107.49,2015,3800000,6626-214-40,דירה בבית,4,35352
290,אלכסנדר פן 14,78.28,2015,2450000,6626-214-13,דירה בבית,3,31298
291,אהרון בקר 9,93.2,2015,2900000,6626-224-28,דירה בבית,4,31116
292,אלכסנדר פן 23,80,2015,2550000,6626-209-10,דירה בבית,3,31875
293,אלכסנדר פן 14,103.91,2015,2980000,6626-214-6,דירה בבית,4,28679
294,אהרון בקר 9,93.2,2015,2900000,6626-224-23,דירה בבית,4,31116
295,אהרון בקר 2,104.9,2015,3070000,6626-222-15,דירה בבית,5,29266
296,אלכסנדר פן 4,117.85,2015,3300000,6626-217-17,דירה בבית,5,28002
297,אלכסנדר פן 16,103.55,2015,3225000,6626-212-107,דירה בבית,4,31144
298,אלכסנדר פן 21,120.2,2015,5000000,6626-208-2,דירה בבית,5,41597
299,אלכסנדר פן 2,116.1,2015,4379000,6626-212-46,דירה בבית,5,37717
300,יעקב מרידור 11,124.78,2015,4699000,7193-18-20,דירה בבית,5,37658
