city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
אריאל,NaN,546,יפה נוף 10,115,2019,1520000,73570-5833-2,דירת גן,4,13217
אריאל,NaN,548,צהל 21,138,2019,1250000,73570-21-6,דירה בבית,6,9058
אריאל,NaN,549,ההגנה 17,228,2019,2250000,73570-257-4,קוטג' חד משפחתי,6,9868
אריאל,NaN,550,האצל 12,82,2019,1220000,73570-243-3,דירה בבית,3,14878
אריאל,NaN,551,שער הגיא 13,97,2019,1225000,73570-446-3,דירה בבית,4.5,12629
אריאל,NaN,552,אבנר 21,122,2019,1200000,73570-1247-3,דירה בבית,4,9836
אריאל,NaN,553,הנגב 17,114,2019,1729000,73570-2054-1,דירה בבית,4,15167
אריאל,NaN,555,ששת הימים 25,73,2019,913000,73570-25-3,דירה בבית,3,12507
אריאל,NaN,556,יפה נוף 3,113,2019,1340000,73570-5117-1,דירה בבית,4,11858
אריאל,NaN,558,כלילת יופי 17,145,2019,1650000,73570-4-7,דירה בבית,5,11379
אריאל,NaN,559,האצל 22,133,2019,1650000,73570-248-1,קוטג' דו משפחתי,5,12406
אריאל,NaN,560,כלניות 2,92,2019,1030000,73570-62-1,דירה בבית,3,11196
אריאל,NaN,561,הערבה 7,119,2019,1480000,73570-28-4,דירה בבית,4,12437
אריאל,NaN,562,הבשן 31,120,2019,1540000,73570-171-2,קוטג' דו משפחתי,5,12833
אריאל,NaN,563,גנים 39,145,2019,1800000,73570-4-9,דירת גן,7,12414
אריאל,NaN,564,צהל 16,98,2019,1160000,73570-77-1,דירה בבית,4,11837
אריאל,NaN,565,הערבה 7,115,2019,1550000,73570-28-5,דירה בבית,4,13478
אריאל,NaN,566,יפה נוף 16,125,2019,1691000,73570-529-10,דירה בבית,5,13528
אריאל,NaN,567,יפה נוף 16,124,2019,1509000,73570-529-11,דירה בבית,5,12169
אריאל,NaN,568,גנים 33,158,2019,1520000,73570-4-10,דירה בבית,7,9620
אריאל,NaN,569,יפה נוף 9,103,2019,1327000,73570-516-5,דירה בבית,4,12883
אריאל,NaN,570,יפה נוף 16,133,2019,1567000,73570-529-12,דירת גן,5,11782
אריאל,NaN,571,ששת הימים 18,74,2019,1050000,73570-18-3,דירת גן,2.5,14189
אריאל,NaN,572,גילה 5,133,2019,1620000,73570-504-2,דירה בבית,5,12180
אריאל,NaN,573,הקוממיות 2,95,2019,1185000,73570-2-13,דירת גן,4,12474
אריאל,NaN,574,גילה 5,139,2019,1660000,73570-504-3,דירה בבית,5,11942
אריאל,NaN,575,שער הגיא 12,115,2019,1560000,73570-429-1,דירה בבית,5,13565
אריאל,NaN,576,ששת הימים 13,85,2019,976000,73570-2075-7,דירה בבית,3,11482
אריאל,NaN,577,יפה נוף 16,147,2019,1760000,73570-529-13,דירה בבית,5,11973
אריאל,NaN,578,גילה 5,134,2019,1513000,73570-504-6,דירה בבית,5,11291
אריאל,NaN,579,ששת הימים 24,96,2019,1100000,73570-2093-3,דירה בבית,4,11458
אריאל,NaN,580,יפה נוף 16,133,2019,1480000,73570-529-14,דירה בבית,5,11128
אריאל,NaN,581,גילה 5,114,2019,1421000,73570-504-7,דירה בבית,4,12465
אריאל,NaN,582,צהל 19,95,2019,1218000,73570-84-2,דירה בבית,4,12821
אריאל,NaN,583,עיר היונה 5,68,2019,1090000,73570-474-5,דירה בבית,3,16029
אריאל,NaN,584,ששת הימים 20,88,2019,1000000,73570-2091-9,דירה בבית,4,11364
אריאל,NaN,585,אבנר 18,130,2019,1290000,73570-18-4,דירה בבית,5,9923
אריאל,NaN,586,יפה נוף 3,116,2019,1360000,73570-513-2,דירה בבית,4,11724
אריאל,NaN,587,יפה נוף 16,131,2019,1523000,73570-529-16,דירה בבית,5,11626
אריאל,NaN,588,יפה נוף 16,133,2019,1545000,73570-529-17,דירה בבית,5,11617
אריאל,NaN,589,גילה 5,151,2019,1687000,73570-504-8,דירה בבית,5,11172
אריאל,NaN,590,ששת הימים 8,97,2019,1170000,73570-2038-8,דירה בבית,4,12062
אריאל,NaN,591,אבנר 3,70,2019,700000,73570-1037-1,דירה בבית,3,10000
אריאל,NaN,592,מוריה 5,96,2019,1270000,73750-284-1,דירה בבית,4,13229
אריאל,NaN,593,הערבה 7,116,2019,1500000,73570-28-6,קוטג' דו משפחתי,4,12931
אריאל,NaN,594,הפסגה 11,93,2019,1310000,73570-346-3,קוטג' דו משפחתי,4,14086
אריאל,NaN,595,אבנר 5,132,2019,1400000,73750-1038-1,דירה בבית,5.5,10606
אריאל,NaN,596,ששת הימים 2,94,2019,1270000,73570-2040-3,דירה בבית,4,13511
אריאל,NaN,597,השקד 56,280,2019,2800000,73570-1-40,קוטג' חד משפחתי,6,10000
אריאל,NaN,598,אילות 10,175,2019,2250000,73570-13-3,קוטג' דו משפחתי,6,12857
אריאל,NaN,599,שער הגיא 13,100,2019,1370000,73570-446-4,דירת גן,4,13700
אריאל,NaN,600,אבנר 15,87,2019,1130000,73570-15-4,קוטג' דו משפחתי,4,12989
אריאל,NaN,601,הערבה 15,118,2019,1420000,73570-30-15,דירה בבית,4,12034
אריאל,NaN,602,גילה 6,102,2019,1400000,73570-6-4,דירת גן,4,13725
אריאל,NaN,603,מוריה 9,135,2019,1450000,73570-475-6,דירה בבית,5,10741
אריאל,NaN,604,ששת הימים 3,127,2019,1150000,73570-3-11,דירה בבית,5,9055
אריאל,NaN,605,ציון 13,202,2019,2800000,73570-100-1,קוטג' דו משפחתי,6,13861
אריאל,NaN,606,הערבה 7,137,2019,1477000,73570-28-7,דירה בבית,5,10781
אריאל,NaN,607,הערבה 67,170,2019,1340000,73570-36-2,דירה בבית,6,7882
אריאל,NaN,608,התבור 10,95,2019,1375000,73570-450-1,דירת גן,5,14474
אריאל,NaN,609,הקוממיות 2,107,2019,1151000,73570-17-3,דירה בבית,5,10757
אריאל,NaN,610,צהל 11,103,2019,1300000,73570-11-7,קוטג' דו משפחתי,5,12621
אריאל,NaN,611,ששת הימים 16,85,2019,1080000,73570-16-3,דירה בבית,3,12706
אריאל,NaN,612,התבור 12,88,2019,930000,73570-450-2,דירה בבית,3.5,10568
אריאל,NaN,613,יפה נוף 11,108,2019,1398000,73570-506-5,דירה בבית,4,12944
אריאל,NaN,614,הפסגה 7,161,2019,1890000,73570-8-9,דירת גן,6,11739
אריאל,NaN,615,מבצע חירם 2,109,2019,1560000,73570-2-14,דירה בבית,5,14312
אריאל,NaN,616,יפה נוף 12,101,2019,1380000,73570-506-6,דירה בבית,4,13663
אריאל,NaN,617,צהל 16,89,2019,1130000,73570-1077-1,דירה בבית,3,12697
אריאל,NaN,619,הגליל 28,122,2019,1819000,73570-2069-2,דירת גן,5,14910
אריאל,NaN,620,גילה 6,140,2019,1540000,73570-6-5,דירה בבית,6,11000
אריאל,NaN,621,ההגנה 14,168,2019,1830000,73570-257-5,דירה בבית,7,10893
אריאל,NaN,623,אבנר 23,92,2019,880000,73750-23-1,דירה בבית,3.5,9565
אריאל,NaN,625,הערבה 51,115,2019,1500000,73570-32-1,דירת גן,4,13043
אריאל,NaN,626,כלילת יופי 3,111,2019,1500000,73570-3-12,דירת גן,4,13514
אריאל,NaN,627,ששת הימים 13,84,2019,1100000,73570-2075-8,דירה בבית,3,13095
אריאל,NaN,628,הגליל 20,114,2019,1700000,73570-2062-1,קוטג' דו משפחתי,4,14912
אריאל,NaN,629,הערבה 9,131,2019,1720000,73570-29-2,דירה בבית,5,13130
אריאל,NaN,630,הפסגה 25,90,2019,1100000,73570-41-1,דירה בבית,4,12222
אריאל,NaN,631,הגלעד 14,122,2019,1619000,73570-145-1,דירה בבית,5,13270
אריאל,NaN,632,צהל 16,100,2019,1450000,73570-1077-2,דירה בבית,4,14500
אריאל,NaN,633,הערבה 51,161,2019,1750000,73570-32-2,דירה בבית,5,10870
אריאל,NaN,636,אבנר 24,120,2019,1370000,73570-86-1,דירה בבית,4,11417
אריאל,NaN,647,ששת הימים 21,77,2019,1035000,73570-2089-13,דירה בבית,3,13442
אריאל,NaN,649,כלילת יופי 6,123,2019,1450000,73570-2002-1,קוטג' חד משפחתי,4,11789
אריאל,NaN,650,הגליל 10,139,2019,1960000,73570-2053-2,קוטג' חד משפחתי,5,14101
אריאל,NaN,651,ששת הימים 2,106,2019,1210000,73570-2040-4,דירה בבית,4,11415
אריאל,NaN,652,הגלעד 6,131,2019,1800000,73570-6-6,דירה בבית,5,13740
אריאל,NaN,653,צהל 5,117,2019,1640000,73570-6-7,קוטג' חד משפחתי,4.5,14017
אריאל,NaN,654,מוריה 23,83,2019,1140000,73570-1003-4,דירה בבית,3,13735
אריאל,NaN,655,מוריה 23,106,2019,1215000,73570-23-3,דירה בבית,3,11462
אריאל,NaN,656,הסביונים 6,75,2019,900000,73570-6-8,דירה בבית,3,12000
