מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
26,0,120,2023,1200000,9082-118-1,דירה בבית,4,10000
34,0,120,2023,500000,9082-117-1,דירה בבית,4,4167
51,0,129,2022,1200000,8948-49-2,קוטג' חד משפחתי,5,9302
58,0,298,2021,1780000,8871-29-8,קוטג' חד משפחתי,5,5973
61,0,124,2021,1500000,8879-98-1,קוטג' חד משפחתי,5,12097
67,0,129,2021,800000,8948-49-1,קוטג' חד משפחתי,5,6202
78,0,234,2020,670000,8875-27-1,דירה בבית,2.5,2863
82,0,177,2020,1250000,9081-83-1,דירה בבית,5,7062
86,אבן ח'לדון 4,120,2020,617000,8869-53-1,קוטג' חד משפחתי,5,5142
117,0,400,2018,800000,8871-131-4,דירה בבית,6,2000
178,0,136,2017,2495000,9081-81-1,דירה בבית,5,18346
186,0,150,2017,800000,8879-19-4,קוטג' דו משפחתי,5,5333
187,0,110,2017,250000,8875-62-1,דירה בבית,4,2273
188,0,160,2017,500000,9082-78-1,קוטג' דו משפחתי,5,3125
191,0,150,2017,1000000,8883-17-1,קוטג' דו משפחתי,5,6667
194,עומר אבן אל-ח'טאב 43,150,2016,930000,8878-16-2,קוטג' דו משפחתי,5,6200
195,0,140,2016,1000000,9082-64-1,דירה בבית,5,7143
211,0,114,2016,500000,8871-58-2,קוטג' חד משפחתי,4,4386
212,0,200,2016,400000,9082-116-1,קוטג' דו משפחתי,5,2000
213,0,120,2016,1000000,9082-116-2,קוטג' דו משפחתי,5,8333
214,0,150,2016,799000,8948-51-1,קוטג' דו משפחתי,5,5327
220,0,160,2015,600000,8879-19-3,קוטג' דו משפחתי,6,3750
221,0,106,2015,1285000,8866-9-1,דירה,4,12123
223,0,400,2015,499000,8871-58-1,קוטג' דו משפחתי,5,1248
224,0,120,2015,599000,9082-65-1,דירה בבית,5,4992
225,0,100,2014,85000,8875-7-1,קוטג' דו משפחתי,1,850
226,0,80,2014,350000,8864-69-1,דירה בבית,3,4375
227,0,120,2014,250000,8861-100-1,קוטג' דו משפחתי,6,2083
229,0,120,2014,1420000,8869-37-1,קוטג' חד משפחתי,7,11833
230,0,200,2014,500000,8871-34-1,קוטג' דו משפחתי,5,2500
231,0,142,2014,999000,8881-18-1,קוטג' דו משפחתי,5,7035
233,0,150,2013,499000,9082-53-1,קוטג' דו משפחתי,5,3327
234,0,150,2013,500000,9082-56-1,קוטג' דו משפחתי,5,3333
235,0,150,2013,1000000,8881-26-1,דירה בבית,5,6667
236,0,120,2013,1100000,9081-78-2,קוטג' דו משפחתי,4,9167
237,0,186,2013,1590000,8870-68-1,קוטג' חד משפחתי,6,8548
238,עומר אבן אל-ח'טאב 32,150,2013,500000,8879-83-1,קוטג' חד משפחתי,5,3333
239,0,77,2013,90000,8871-29-2,קוטג' חד משפחתי,3,1169
241,0,125,2013,1400000,8870-89-1,קוטג' חד משפחתי,5,11200
242,0,125,2013,570000,8870-153-1,קוטג' חד משפחתי,5,4560
243,0,160,2012,150000,8879-19-2,קוטג' חד משפחתי,5,938
244,0,160,2012,429000,8879-19-1,קוטג' חד משפחתי,5,2681
246,עומר אבן אל-ח'טאב 43,80,2012,250000,8878-16-1,קוטג' חד משפחתי,3,3125
247,0,100,2012,888000,8869-30-1,קוטג' חד משפחתי,4,8880
249,0,100,2012,500000,9082-15-1,קוטג' חד משפחתי,4,5000
250,0,337,2012,460000,8875-14-2,קוטג' חד משפחתי,8,1365
251,0,300,2012,100000,8861-61-1,קוטג' דו משפחתי,6,333
252,0,100,2012,355000,9082-69-1,קוטג' חד משפחתי,4,3550
253,0,150,2012,500000,8864-53-1,קוטג' חד משפחתי,5,3333
254,0,241,2012,500000,8881-1-1,קוטג' דו משפחתי,5,2075
255,0,133,2012,443000,8875-14-3,דירה בבית,5,3331
258,0,120,2011,400000,8871-39-1,קוטג' דו משפחתי,6,3333
259,0,100,2011,360000,8871-29-10,קוטג' חד משפחתי,4,3600
261,עומר אבן אל-ח'טאב 50,190,2010,492000,8878-36-1,קוטג' דו משפחתי,5,2589
263,0,100,2010,380000,8871-25-2,קוטג' דו משפחתי,4,3800
269,0,100,2008,230000,8861-133-1,דירה בבית,3,2300
277,0,100,2008,200000,8883-36-2,דירה בבית,4,2000
294,0,100,2007,297000,8883-36-1,דירה בבית,4,2970
298,0,100,2006,212000,8880-61-2,דירה בבית,4,2120
299,0,300,2006,409000,8871-131-5,דירה בבית,5,1363
308,0,80,2002,422000,8878-26-1,דירה בבית,3,5275
