city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
קרית שמונה,NaN,110,הבנים 3,64.7,2024,605000,13163-35-5,דירה בבית,4,9351
קרית שמונה,NaN,111,חצב 3,77.5,2024,1000000,13378-268-4,דירה בבית,4,12903
קרית שמונה,NaN,112,עליית הנוער 11,63.4,2024,670000,13168-21-18,דירה בבית,3,10568
קרית שמונה,NaN,113,אורן 5,145,2024,1017000,14719-24-2,קוטג' דו משפחתי,5,7014
קרית שמונה,NaN,114,0,83,2024,1370000,13397-29-18,דירה בבית,3,16506
קרית שמונה,NaN,115,הר הצופים 4,76.8,2024,450000,13097-8-14,דירה בבית,4,5859
קרית שמונה,NaN,116,הלבנון 21,54.5,2024,290000,13105-69-13,דירה בבית,3,5321
קרית שמונה,NaN,117,תל חי 83,21,2024,452000,13167-7-229,דירה בבית,1,21524
קרית שמונה,NaN,118,אורן 60,60,2024,1090000,14716-44-27,דירה בבית,3,18167
קרית שמונה,NaN,120,בניאס 2,150,2024,1515000,14719-120-2,דירה בבית,5,10100
קרית שמונה,NaN,121,הוורדים 25,81.2,2024,620000,13378-263-5,דירה בבית,3,7635
קרית שמונה,NaN,122,נחל ג'לבון 8,67,2024,975000,14717-59-9,דירה בבית,3,14552
קרית שמונה,NaN,123,הלבנון 3,55,2024,630000,13105-29-16,דירה בבית,3,11455
קרית שמונה,NaN,124,נחל ג'לבון 7,97,2024,1270000,14717-19-35,דירה בבית,4,13093
קרית שמונה,NaN,125,המחתרת 4,67.8,2024,628000,13145-68-8,דירה בבית,3,9263
קרית שמונה,NaN,126,תל חי 83,21,2024,475000,13167-7-119,דירה בבית,1,22619
קרית שמונה,NaN,127,האצל 5,87.9,2024,860000,13097-2-1,דירה בבית,4,9784
קרית שמונה,NaN,128,סאלד 12,67,2024,200000,13168-27-9,דירה בבית,3,2985
קרית שמונה,NaN,129,עליית הנוער 11,60.9,2024,525000,13168-21-29,קוטג' חד משפחתי,3,8621
קרית שמונה,NaN,130,תל חי 83,37,2024,620000,13167-7-41,דירה בבית,1,16757
קרית שמונה,NaN,131,יצחק שדה 12,59.91,2024,550000,13164-117-14,דירה בבית,3,9180
קרית שמונה,NaN,132,אחי אילת 4,63.4,2024,500000,13163-45-6,דירה בבית,4,7886
קרית שמונה,NaN,133,שפרינצק 43,65.9,2024,650000,13135-146-24,דירה בבית,3,9863
קרית שמונה,NaN,134,הירדן 24,60.9,2024,665000,13196-67-9,דירה בבית,3,10920
קרית שמונה,NaN,135,תל חי 83,37,2024,625000,13167-7-71,דירה בבית,1,16892
קרית שמונה,NaN,139,תל חי 83,36,2024,630000,13167-7-103,דירה בבית,1,17500
קרית שמונה,NaN,141,תל חי 83,36,2024,635000,13167-7-169,דירה בבית,1,17639
קרית שמונה,NaN,142,תל חי 83,33,2024,630000,13167-7-346,דירה בבית,1,19091
קרית שמונה,NaN,143,תל חי 60,73.7,2024,595000,13105-56-12,דירה בבית,4,8073
קרית שמונה,NaN,144,יקותיאל אדם 4,77.33,2024,600000,13097-52-13,דירה בבית,4,7759
קרית שמונה,NaN,145,השופטים 1,64,2024,450000,13110-44-10,דירה בבית,3,7031
קרית שמונה,NaN,146,קרן היסוד 3,69.7,2024,430000,13168-43-4,דירה בבית,4,6169
קרית שמונה,NaN,147,מלחמת ששת הימים 25,170,2024,1510000,13109-80-1,קוטג' חד משפחתי,5,8882
קרית שמונה,NaN,148,תל חי 83,32,2024,580000,13167-7-16,דירה בבית,1,18125
קרית שמונה,NaN,149,רזיאל 16,86.6,2024,600000,13107-24-11,דירה בבית,4,6928
קרית שמונה,NaN,150,אורן 58,59,2024,860000,14716-44-26,דירה בבית,3,14576
קרית שמונה,NaN,151,הרצל 64,57.5,2024,630000,13162-14-3,דירה בבית,2,10957
