מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","המעפילים 13","44","21/05/2025","1780000","7214-28-18","דירה בבית קומות","3.5","שלישית"
"2","החלוצים 4","53.2","21/08/2024","1570000","7214-34-8","דירה בבית קומות","3","שלישית"
"3","החלוצים 7","44","16/04/2024","1750000","7214-22-2","דירה בבית קומות","3","ראשונה"
"4","הל"ה 12","85","10/04/2024","2150000","7214-52-6","דירה בבית קומות","4","ראשונה"
"5","החלוצים 7","44","08/04/2024","1570000","7214-22-10","דירה בבית קומות","3","שניה"
"6","סיני 14","80","08/12/2023","1356000","7214-44-5","דירה בבית קומות","4","ראשונה"
"7","הל"ה 6","40.7","21/09/2023","1500000","7214-49-7","דירה בבית קומות","3","שניה"
"8","סיני 1","53.2","18/09/2023","900000","7214-35-26","דירה בבית קומות","4.5","שניה"
"9","סיני 8","40.7","05/09/2023","594000","7214-41-8","דירה בבית קומות","3","שניה"
"10","הל"ה 11","44","29/06/2023","233000","7214-29-6","דירה בבית קומות","3","שלישית"
"11","הל"ה 4","34.9","26/03/2023","1650000","7214-48-6","דירה בבית קומות","2.5","ראשונה"
"12","החלוצים 4","53.2","19/03/2023","1500000","7214-34-40","דירה בבית קומות","3","רביעית"
"13","החלוצים 4","25.6","05/03/2023","1000000","7214-34-23","דירה בבית קומות","1.5","ראשונה"
"14","מרדכי בן פורת 64","93","20/02/2023","337000","7214-21-15","דירה בבית קומות","4","שניה"
"15","מרדכי בן פורת 67","56.2","18/01/2023","866000","7214-18-5","דירה בבית קומות","3","ראשונה"
"16","סיני 20","56.6","24/08/2022","2035000","7214-45-16","דירה בבית קומות","4.5","שניה"
"17","החלוצים 7","44","07/07/2022","1470000","7214-22-8","דירה בבית קומות","3","ראשונה"
"18","הל"ה 8","56.9","29/05/2022","1570000","7214-50-7","דירה בבית קומות","3","שניה"
"19","סיני 18","88","10/04/2022","1815000","7214-45-12","דירה בבית קומות","4","שלישית"
"20","מרדכי בן פורת 62","96","16/03/2022","1650000","7214-20-12","דירה בבית קומות","4","שלישית"
"21","מרדכי בן פורת 62","44","09/03/2022","574000","7214-20-16","דירה בבית קומות","3","שניה"
"22","סיני 1","88","06/02/2022","1380000","7214-35-28","דירה בבית קומות","4","שלישית"
"23","סיני 13","34.9","02/02/2022","1460000","7214-31-13","דירה בבית קומות","3","ראשונה"
"24","המעפילים 13","44","20/01/2022","750000","7214-28-13","דירה בבית קומות","3","ראשונה"
"25","החלוצים 4","53.2","13/01/2022","1290000","7214-34-27","דירה בבית קומות","3","שלישית"
"26","סיני 11","34.9","14/12/2021","251000","7214-32-1","דירה בבית קומות","2","ראשונה"
"27","סיני 9","34.9","26/11/2021","430000","7214-33-18","דירה בבית קומות","3","שלישית"
"28","סיני 9","34.9","26/11/2021","600000","7214-33-4","דירה בבית קומות","2","שניה"
"29","סיני 14","62.2","15/11/2021","1450000","7214-44-1","דירה בבית קומות","3","ראשונה"
"30","סיני 13","34.9","08/11/2021","1085000","7214-31-18","דירה בבית קומות","2","שלישית"
"31","סיני 1","25.6","07/11/2021","360000","7214-35-22","דירה בבית קומות","1","ראשונה"
"32","סקלאר 1","94","11/08/2021","1380000","7214-71-1","דירה בבית קומות","4","רביעית"
"33","סיני 14","92.3","08/08/2021","675000","7214-44-4","דירה בבית קומות","4","שניה"
"34","מרדכי בן פורת 64","89","30/05/2021","740000","7214-21-14","דירה בבית קומות","4","ראשונה"
"35","סיני 9","40.7","25/05/2021","257000","7214-33-11","דירה בבית קומות","3","שלישית"
"36","הל"ה 8","56.9","22/04/2021","184000","7214-50-5","דירה בבית קומות","3","ראשונה"
"37","מרדכי בן פורת 77","71","18/03/2021","1575000","7214-13-2","דירה בבית קומות","4","ראשונה"
"38","סיני 6","118","01/03/2021","1615000","7214-40-1","דירה בבית קומות","5","ראשונה"
"39","מרדכי בן פורת 67","34.9","28/02/2021","512000","7214-18-8","דירה בבית קומות","3","שניה"
"40","סיני 1","53.2","24/02/2021","1160000","7214-35-30","דירה בבית קומות","3","רביעית"
"41","החלוצים 4","53.2","30/12/2020","1050000","7214-34-16","דירה בבית קומות","3","שניה"
"42","הל"ה 2","82","29/12/2020","387000","7214-47-5","דירה בבית קומות","4","ראשונה"
"43","סיני 1","22.2","19/10/2020","870000","7214-35-21","דירה בבית קומות","1","ראשונה"
"44","סיני 10","40.7","17/09/2020","1085000","7214-42-4","דירה בבית קומות","3","שניה"
"45","מרדכי בן פורת 60","93","03/09/2020","2400000","6228-61-2","קרקע למגורים","לא ידוע","לא ידוע"
"46","סיני 10","40.7","20/08/2020","1290000","7214-42-6","דירה בבית קומות","3","ראשונה"
"47","מרדכי בן פורת 73","34.9","19/07/2020","1060000","7214-15-8","דירה בבית קומות","2","שניה"
"48","החלוצים 4","53.2","05/05/2020","940000","7214-34-29","דירה בבית קומות","3","רביעית"
"49","החלוצים 5","99","10/03/2020","1289000","7214-36-17","דירה בבית קומות","4","-"
"50","הל"ה 2","34.9","05/03/2020","1070000","7214-47-8","דירה בבית קומות","2","שניה"
"51","סיני 11","40.7","23/02/2020","1220000","7214-32-11","דירה בבית קומות","3","שלישית"
"52","המעפילים 13","92","20/02/2020","1300000","7214-28-9","דירה בבית קומות","4","שניה"
"53","סיני 22","99","16/02/2020","1300000","7214-45-20","דירה בבית קומות","4","ראשונה"
"54","סיני 11","34.9","28/01/2020","1100000","7214-32-15","דירה בבית קומות","3.5","שניה"
"55","סיני 11","34.9","11/12/2019","1010000","7214-32-17","דירה בבית קומות","3","שלישית"
"56","החלוצים 4","53.2","10/12/2019","1019000","7214-34-19","דירה בבית קומות","3","רביעית"
"57","מרדכי בן פורת 72","56.6","22/07/2019","1045000","7214-24-24","דירה בבית קומות","3","שלישית"
"58","מרדכי בן פורת 64","44","19/07/2019","1060000","7214-21-11","דירה בבית קומות","2.5","שלישית"
"59","המעפילים 13","98","06/05/2019","1620000","7214-28-1","דירה בבית קומות","4","ראשונה"
"60","סיני 1","22.2","27/12/2018","1020000","7214-35-1","דירה בבית קומות","2","ראשונה"
"61","המעפילים 11","44","20/12/2018","850000","7214-27-6","דירה בבית קומות","3","שלישית"
"62","סיני 1","25.6","04/10/2018","950000","7214-35-23","דירה בבית קומות","2.5","ראשונה"
"63","מרדכי בן פורת 69","125","02/10/2018","1850000","7214-17-8","דירה בבית קומות","5","שניה"
"64","מרדכי בן פורת 62","44","19/08/2018","1190000","7214-20-17","דירה בבית קומות","2","שלישית"
"65","החלוצים 4","53.2","24/07/2018","840000","7214-34-39","דירה בבית קומות","3","רביעית"
"66","סיני 12","40.7","05/07/2018","800000","7214-43-5","דירה בבית קומות","3","ראשונה"
"67","החלוצים 5","87","18/06/2018","1300000","7214-36-14","דירה בבית קומות","4","ראשונה"
"68","מרדכי בן פורת 73","40.7","23/05/2018","120000","7214-15-1","דירה בבית קומות","3","ראשונה"
"69","הל"ה 4","40.7","08/08/2017","333000","7214-48-7","דירה בבית קומות","2","שניה"
"70","סיני 10","34.9","06/08/2017","740000","7214-42-3","דירה בבית קומות","3","שניה"
"71","המעפילים 1","32.1","29/06/2017","550000","7214-23-15","חנות","לא ידוע","ראשונה"
"72","המעפילים 11","44","16/05/2017","1100000","7214-27-9","דירה בבית קומות","3","שניה"
"73","הל"ה 10","85","09/05/2017","1379000","7214-51-6","דירה בבית קומות","4","ראשונה"
"74","סיני 9","40.7","15/03/2017","880000","7214-33-10","דירה בבית קומות","3","שניה"
"75","מרדכי בן פורת 65","40.7","07/03/2017","1294000","7214-19-2","דירה בבית קומות","3","ראשונה"
"76","המעפילים 13","44","27/02/2017","225000","7214-28-16","דירה בבית קומות","3","שניה"
"77","מרדכי בן פורת 62","44","09/02/2017","1220000","7214-20-15","דירה בבית קומות","3.5","שניה"
"78","המעפילים 13","44","06/02/2017","1200000","7214-28-5","דירה בבית קומות","3","שלישית"
"79","סיני 16","75","30/01/2017","1150000","7214-45-3","דירה בבית קומות","4","שניה"
"80","מרדכי בן פורת 58","32","03/01/2017","390000","7210-184-1","חנות","לא ידוע","ראשונה"
"81","סיני 20","56.6","19/12/2016","1210000","7214-45-17","דירה בבית קומות","3.5","שלישית"
"82","הל"ה 8","40.7","08/11/2016","870000","7214-50-4","דירה בבית קומות","3","שניה"
"83","מרדכי בן פורת 72","56.6","03/11/2016","1049000","7214-24-17","דירה בבית קומות","3","שלישית"
"84","סיני 13","40.7","28/10/2016","1100000","7214-31-10","דירה בבית קומות","3","שניה"
"85","סיני 1","90","11/09/2016","1055000","7214-35-16","דירה בבית קומות","4","שניה"
"86","מרדכי בן פורת 71","34.9","04/09/2016","1400000","7214-16-8","דירה בבית קומות","3","שניה"
"87","סיני 11","34.9","15/08/2016","1200000","7214-32-18","דירה בבית קומות","3","שלישית"
"88","החלוצים 4","53.2","21/07/2016","799000","7214-34-6","דירה בבית קומות","3","שניה"
"89","סיני 4","40.7","20/07/2016","1010000","7214-39-7","דירה בבית קומות","3","שניה"
"90","החלוצים 4","22.2","09/06/2016","730000","7214-34-4","דירה בבית קומות","2","ראשונה"
"91","הל"ה 11","85","12/01/2016","974000","7214-29-9","דירה בבית קומות","4","שניה"
"92","מרדכי בן פורת 64","93","12/01/2016","1049000","7214-21-9","דירה בבית קומות","4","שניה"
"93","הל"ה 6","40.7","26/11/2015","800000","7214-49-4","דירה בבית קומות","3","שניה"
"94","החלוצים 4","53.2","15/11/2015","850000","7214-34-25","דירה בבית קומות","3","שניה"
"95","סיני 9","80","12/11/2015","830000","7214-33-15","דירה בבית קומות","4","שניה"
"96","סיני 11","34.9","26/10/2015","950000","7214-32-13","דירה בבית קומות","3.5","ראשונה"
"97","החלוצים 4","53.2","08/10/2015","759000","7214-34-10","דירה בבית קומות","3","רביעית"
"98","מרדכי בן פורת 72","56.6","03/08/2015","1095000","7214-24-13","דירה בבית קומות","3","ראשונה"
"99","סיני 9","40.7","29/07/2015","780000","7214-33-9","דירה בבית קומות","3","שניה"
"100","החלוצים 4","53.2","16/07/2015","600000","7214-34-9","דירה בבית קומות","3","רביעית"
"101","סיני 9","40.7","09/07/2015","990000","7214-33-8","דירה בבית קומות","3","ראשונה"
"102","המעפילים 13","44","01/07/2015","850000","7214-28-12","דירה בבית קומות","3","שלישית"
