מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
255,בן גוריון 3,105.5,2020,1390000,2869-54-116,דירה בבית,4,13175
257,בן גוריון 3,104.6,2020,1270000,2869-54-99,דירה בבית,4,12141
258,אשתאול 1,114,2020,1600000,2869-28-160,דירה בבית,5,14035
259,בן גוריון 11,60,2020,950000,2869-31-21,דירה בבית,3,15833
260,גבע 2,106,2020,1445000,2869-21-31,דירה בבית,4,13632
261,גבע 1,123.74,2020,1700000,2869-18-94,דירה בבית,5,13738
262,בן גוריון 13,130,2020,1300000,2869-39-11,דירה בבית,4,10000
263,אשתאול 1,93,2020,1450000,2869-28-216,דירה בבית,4,15591
264,שילה 1,85,2020,1085000,2869-8-48,דירה בבית,4,12765
265,אשתאול 1,93,2020,1482500,2869-28-217,דירה בבית,4,15941
266,גבע 2,110,2020,1550000,2869-21-8,דירה בבית,5,14091
267,אשתאול 1,93,2020,1689000,2869-28-218,דירה בבית,4,18161
268,אברהם שטרן 1,117.6,2020,1200000,2869-42-2,דירה בבית,5,10204
269,שילה 2,105.5,2020,1390000,2869-54-46,דירה בבית,4,13175
270,אברהם שטרן 1,104.5,2020,1115000,2869-42-10,דירה בבית,4,10670
272,בן גוריון 11,125,2020,1300000,2869-31-45,דירה בבית,4,10400
273,שילה 2,132.3,2020,1600000,2869-54-32,דירה בבית,5,12094
274,בן גוריון 11,125,2020,1240000,2869-31-46,דירה בבית,5,9920
275,שילה 1,89,2020,1125000,2869-8-49,דירה בבית,4,12640
276,בית אל 11,92,2020,1148000,2869-27-10,דירה בבית,5,12478
277,שילה 8,86.6,2020,1125000,2869-15-57,דירה בבית,4,12991
278,אשתאול 3,92,2020,1230000,2869-30-3,דירה בבית,4,13370
280,בן גוריון 11,130,2020,1270000,2869-31-48,דירה בבית,5,9769
281,אשתאול 3,120,2020,1280000,2869-30-11,דירה בבית,5,10667
282,שילה 2,104.6,2020,1350000,2869-54-13,דירה בבית,4,12906
283,שילה 8,83.4,2020,1250000,2869-15-51,דירה בבית,3.5,14988
284,שילה 1,74,2020,1055000,2869-8-50,דירה בבית,3,14257
285,מחניים 1,127,2020,1500000,2869-27-11,דירה בבית,6,11811
286,שילה 1,75,2020,1050000,2869-8-51,דירה בבית,3,14000
287,גבע 3,113.3,2020,1455000,2869-20-29,דירה בבית,5,12842
288,שילה 15,99,2020,1220000,2869-10-17,דירה בבית,4,12323
289,שילה 1,87,2020,1230000,2869-8-52,דירה בבית,4,14138
290,גבע 2,93,2020,1414000,2869-21-32,דירה בבית,4,15204
291,אשתאול 1,93,2020,1414300,2869-28-156,דירה,4,15208
292,שילה 8,124.6,2020,1600000,2869-15-49,דירה בבית,5,12841
293,שילה 2,109.4,2020,1430000,2869-54-31,דירה בבית,4,13071
294,שילה 1,89,2020,1000000,2869-8-53,דירה בבית,4,11236
295,מצדה 4,170.9,2020,1700000,2869-15-26,דירת גן,7,9947
296,בן גוריון 13,90,2020,900000,2869-39-10,דירה בבית,3,10000
297,אשתאול 1,93,2020,1520000,2869-28-219,דירה בבית,4,16344
298,אשתאול 1,93,2020,1620000,2869-28-154,דירה,4,17419
