מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
286,אריה 24,94.4,2019,1035000,1297-5-5,דירה בבית,4,10964
287,צופית 7,177.05,2019,2320000,1282-127-1,דירה בבית,5,13104
288,איילה 27,85.18,2019,1000000,1296-11-5,דירה בבית,4,11740
289,איילה 21,80,2019,1050000,1296-12-18,דירה בבית,4,13125
290,אריה 12,64.7,2019,840000,1296-16-85,דירה בבית,3,12983
291,אריה 4,81.15,2019,1030000,1296-8-31,דירה בבית,3,12693
292,אריה 28,81.6,2019,1000000,1297-6-7,דירה בבית,4,12255
293,איילה 7,131.2,2019,1200000,1296-42-29,דירה בבית,5,9146
294,יהדות בריטניה 13,64.7,2019,750000,1296-16-28,דירה בבית,3,11592
295,אריה 4,82,2019,968000,1296-8-30,דירה בבית,3,11805
296,נווה שלום 19,74.6,2019,1020000,1296-18-61,דירה בבית,3.5,13673
297,איילה 1,70.46,2019,1035000,1297-10-6,דירה בבית,3.5,14689
298,איילה 25,80,2019,1100000,1296-12-54,דירה בבית,4,13750
299,אריה 4,84.1,2019,1050000,1296-8-3,דירה בבית,4,12485
300,אריה 30,90.2,2019,600000,1297-6-21,דירה בבית,4,6652
301,יהדות בריטניה 13,64.7,2019,935000,1296-16-32,דירה בבית,3,14451
302,נווה שלום 17,67.2,2019,920000,1296-18-15,דירה בבית,3,13690
303,אריה 24,94.2,2019,1000000,1297-5-2,דירה בבית,4,10616
304,נווה שלום 25,84.7,2019,1065000,1297-7-22,דירה בבית,4,12574
305,איילה 1,72.89,2019,1000000,1297-10-21,דירה בבית,4,13719
306,איילה 15,87.23,2019,1075000,1296-15-57,דירה בבית,4,12324
307,אריה 30,91.44,2019,1040000,1297-6-24,דירה בבית,4,11374
308,אריה 6,59.4,2019,850000,1296-8-72,דירה בבית,3,14310
309,אריה 30,68.8,2019,910000,1297-6-38,דירה בבית,3.5,13227
310,אריה 14,64.7,2019,840000,1296-16-108,דירה בבית,3,12983
311,אריה 24,86.6,2019,950000,1297-5-4,דירה בבית,4,10970
312,איילה 31,66.15,2019,940000,1296-7-38,דירה בבית,3,14210
313,אריה 16,93.95,2019,1100000,1296-43-7,דירה בבית,4,11708
314,נווה שלום 22,83.3,2019,820000,1297-8-5,דירה בבית,4,9844
315,איילה 29,68.6,2019,860000,1296-10-7,דירה בבית,3,12536
316,אריה 30,83.5,2019,970000,1297-6-22,דירה בבית,4,11617
