מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,שוהם 1,103.2,"2025","3000000",4041-169-28,דירה בבית קומות,5,שביעית
2,יהלום 5,130,"2025","3375000",4041-197-68,דירה בבית קומות,5,רביעית
3,שוהם 4,119.11,"2025","3010000",4041-163-62,דירה בבית קומות,5,קומה ‎4‏
4,שביט 19,101,"2025","2590000",4245-25-128,דירה בבית קומות,4,קומה ‎5‏
5,לשם 12,130.55,"2025","3185000",4041-152-25,דירה בבית קומות,5,שמינית
6,ברקת 1,150,"2025","3250000",4041-200-13,דירה בבית קומות,5,שישית
7,יהלום 2,118.4,"2025","3220000",4041-198-50,דירה בבית קומות,5,קומה ‎13‏
8,ברקת 2,108.4,"2025","2830000",4041-170-63,דירה בבית קומות,4,שש עשרה
9,ברקת 2,108.55,"2025","3010000",4041-170-67,דירה בבית קומות,4,שבע עשרה
10,ברקת 1,115,"2025","3080000",4041-200-12,דירה בבית קומות,5,ראשונה
11,הרב שפירא 6,113,"2025","2565000",4245-30-5,דירה בבית קומות,4,שלוש עשרה
12,אודם 2,116.2,"2025","3300000",4041-141-35,דירה בבית קומות,5,קומה ‎10‏
13,שוהם 14,158.25,"2025","5000000",4041-161-124,דירה בבית קומות,5,קומה ‎17‏
14,הרב שפירא 6,185,"2025","3150000",4245-30-6,דירה בבית קומות,5,חמש עשרה
15,אודם 3,96.6,"2025","2800000",4041-150-6,דירה בבית קומות,4,שלישית
16,יהלום 6,107,"2025","2590000",4041-157-13,דירה בבית קומות,4,תשיעית
17,שוהם 5,91.8,"2025","2700000",4041-168-61,דירה בבית קומות,4,קומה ‎5‏
18,יהלום 8,116.2,"2025","3325000",4041-156-49,דירה בבית קומות,5,שלוש עשרה
19,שביט 19,79,"2025","2250000",4245-25-142,דירה בבית קומות,3,קומה ‎8‏
20,שוהם 12,107.64,"2025","2695000",4041-161-173,דירה בבית קומות,4,קומה ‎13‏
21,טופז 2,127.15,"2025","3400000",4041-209-34,דירה בבית קומות,5,תשיעית
22,לשם 12,100.85,"2025","2670000",4041-152-48,דירה בבית קומות,4,שלוש עשרה
23,לשם 2,115.1,"2025","2620000",4041-154-54,דירה בבית קומות,4,שניה
24,אודם 4,132,"2025","4200000",4041-308-32,דירה בבית קומות,5,קומה ‎8‏
25,נופך 1,107.93,"2025","2820000",4041-166-31,דירה בבית קומות,4,קומה ‎8‏
26,יהלום 8,116.2,"2025","3275000",4041-156-59,דירה בבית קומות,5,שש עשרה
27,שוהם 5,103.2,"2025","2800000",4041-168-62,דירה בבית קומות,5,קומה ‎5‏
28,אודם 25,118.31,"2025","3100000",4041-140-7,דירה בבית קומות,5,קומה ‎2‏
29,ברקת 2,108.55,"2025","3020000",4041-170-34,דירה בבית קומות,4,תשיעית
30,אודם 4,137,"2025","3100000",4041-308-25,דירה בבית קומות,5,קומה ‎6‏
31,ברקת 6,106.9,"2025","2700000",4041-171-71,דירה בבית קומות,4,שביעית
32,אודם 9,110,"2025","2690000",4041-147-46,דירה בבית קומות,4,קומה ‎12‏
33,שביט 15,101,"2025","2840000",4245-25-67,דירה בבית קומות,4,קומה ‎8‏
34,ברקת 6,126.75,"2025","3000000",4041-171-70,דירה בבית קומות,5,שביעית
35,אודם 9,110,"2025","2620000",4041-147-78,דירה בבית קומות,4,קומה ‎7‏
36,ספיר 20,104.9,"2025","3140000",4041-159-38,דירה בבית קומות,5,קומה ‎10‏
37,שביט 9,101,"2025","2670000",4245-24-19,דירה בבית קומות,4,קומה ‎5‏
38,אודם 2,105,"2025","2780000",4041-141-1,דירה בבית קומות,4,קומה ‎1‏
39,אודם 4,137,"2025","2950000",4041-308-24,דירה בבית קומות,5,קומה ‎6‏
40,שבו 1,148.6,"2025","5000000",4041-164-42,דירה בבית קומות,5,קומה ‎11‏
41,יהלום 9,116,"2025","3100000",4041-205-54,דירה בבית קומות,5,קומה ‎14‏
42,0,121,"2025","3375000",4041-309-3,דירה בבית קומות,5,שניה
43,שוהם 14,107.64,"2025","2730000",4041-161-83,דירה בבית קומות,4,קומה ‎6‏
44,שוהם 16,124.47,"2025","3270000",4041-161-18,דירה בבית קומות,5,קומה ‎5‏
45,חושן 3,127.15,"2025","3440000",4041-201-27,דירה בבית קומות,5,שביעית
46,חושן 1,128.4,"2025","3000000",4041-207-31,דירה בבית קומות,5,שמינית
47,שביט 5,80,"2025","2370000",4245-29-2,דירה בבית קומות,3,שניה
48,יהלום 6,134,"2025","3480000",4041-157-14,דירה בבית קומות,5,שניה
49,אודם 5,96.8,"2025","2660000",4041-149-41,דירה בבית קומות,4,שתים עשרה
50,טופז 4,129.25,"2025","2550000",4041-208-7,דירה בבית קומות,5,שניה
51,הרב שפירא 6,110,"2024","2650000",4245-30-7,דירה בבית קומות,4,ראשונה
52,יהלום 11,115.3,"2024","3310000",4041-158-45,דירה בבית קומות,5,קומה ‎12‏
53,יהלום 4,172,"2024","3325000",4041-196-88,דירה בבית קומות,5,תשיעית
54,יהלום 1,123.83,"2024","4912000",4041-199-65,דירה בבית קומות,5,קומה ‎17‏
55,יהלום 6,145,"2024","3200000",4041-157-15,דירה בבית קומות,5,ראשונה
56,שוהם 16,124.47,"2024","2905000",4041-161-42,דירה בבית קומות,5,קומה ‎11‏
57,אודם 5,96.7,"2024","2600000",4041-149-27,דירה בבית קומות,4,שמינית
58,נופך 16,232,"2024","5510000",4041-173-44,דירה בבית קומות,6,לא ידוע
59,נופך 16,218,"2024","5230000",4041-173-45,קוטג' דו משפחתי,6,ראשונה
60,ברקת 8,107.4,"2024","2850000",4041-171-108,דירה בבית קומות,4,שישית
61,הרב שפירא 4,180,"2024","3220000",4245-29-9,דירה בבית קומות,5,חמישית
62,נופך 16,240,"2024","5860000",4041-173-46,דירה בבית קומות,7,ראשונה
63,טופז 2,202.4,"2024","4800000",4041-209-54,דירה בבית קומות,5,ארבע עשרה
64,יהלום 11,98.4,"2024","2800000",4041-158-59,דירה בבית קומות,4,קומה ‎15‏
65,שביט 3,124,"2024","3440000",4245-30-4,דירה בבית קומות,5,תשע עשרה
66,נופך 16,205,"2024","5000000",4041-173-47,דירת גן,7,ראשונה
67,יהלום 6,139,"2024","3040000",4041-157-16,דירה בבית קומות,5,עשירית
68,יהלום 9,98.4,"2024","2815000",4041-205-23,דירה בבית קומות,4,קומה ‎6‏
69,נופך 5,93.6,"2024","2745000",4041-167-52,דירה בבית קומות,4,קומה ‎13‏
70,נופך 16,479,"2024","5830000",4041-173-48,קוטג' דו משפחתי,7,ראשונה
71,ברקת 6,106.9,"2024","2720000",4041-171-55,דירה בבית קומות,4,שלישית
72,אודם 1,135.1,"2024","4250000",4041-151-46,דירה בבית קומות,5,קומה ‎13‏
73,נופך 16,479,"2024","5840000",4041-173-49,דירת גן,7,ראשונה
74,יהלום 11,116.5,"2024","3000000",4041-158-3,דירה בבית קומות,5,קומה ‎1‏
75,יהלום 1,105.17,"2024","2750000",4041-199-37,דירה בבית קומות,4,קומה ‎10‏
76,ברקת 2,108.4,"2024","2799000",4041-170-47,דירה בבית קומות,4,שתים עשרה
77,יהלום 8,116.2,"2024","3330000",4041-156-28,דירה בבית קומות,5,שמינית
78,אודם 19,117.01,"2024","2800000",4041-144-12,דירה בבית קומות,5,קומה ‎4‏
