מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","הזורע 1","4477","23/04/2025","5919000","38477-2-1","תעשיה","לא ידוע","לא ידוע"
"2","הבדיל 19","114","19/02/2025","2000000","38143-10-2","חנות","לא ידוע","לא ידוע"
"3","0","79","19/12/2024","1580000","38469-2-1","דירה בבית קומות","3","שלישית"
"4","חופית 12","1924","11/11/2024","1475000","38440-101-1","תעשיה","לא ידוע","לא ידוע"
"5","תפוח 1","5779","11/04/2024","5400000","38440-7-3","ללא תיכנון","לא ידוע","לא ידוע"
"6","פעמונית 12","1990","31/03/2024","3630000","38440-68-1","ללא תיכנון","לא ידוע","לא ידוע"
"7","0","26","24/10/2023","258000","38477-24-1","מחסנים","לא ידוע","ראשונה"
"8","תפוז 1","1994","10/07/2023","2450000","38440-121-1","תעשיה","לא ידוע","לא ידוע"
"9","דליה 7","3324","18/08/2022","8000000","38440-45-3","מסחרי + משרדים","לא ידוע","לא ידוע"
"10","דליה 7","3324","30/06/2022","430000","38440-45-2","ללא תיכנון","לא ידוע","לא ידוע"
"11","דולפין 15","1770","20/06/2022","666000","38440-83-2","תעשיה","לא ידוע","לא ידוע"
"12","דולפין 8","13000","14/06/2022","30000000","38440-84-1","ללא תיכנון","לא ידוע","לא ידוע"
"13","חופית 14","7634","08/02/2022","12602000","38440-102-2","תעשיה","לא ידוע","לא ידוע"
"14","ירדן 39","3781","25/11/2021","5600000","38440-39-2","מסחרי + משרדים","לא ידוע","לא ידוע"
"15","דליה 7","3324","07/10/2021","3500000","38440-45-1","מסחרי + משרדים","לא ידוע","לא ידוע"
"16","קישון 41","2992","13/09/2021","2000000","38440-6-1","תחנת דלק","לא ידוע","לא ידוע"
"17","דולב 9","2000","02/08/2021","1058000","38459-38-1","תעשיה","לא ידוע","לא ידוע"
"18","חופית 14","3819","05/07/2021","4100000","38440-102-1","ללא תיכנון","לא ידוע","לא ידוע"
"19","הבונים 2","52819","08/06/2021","73946000","38440-12-1","תעשיה","לא ידוע","לא ידוע"
"20","צוער 19","לא ידוע","17/02/2021","2000000","38455-26-1","ללא תיכנון","לא ידוע","לא ידוע"
"21","הזורע 5","3204","31/01/2021","4445000","38477-26-4","תעשיה","לא ידוע","לא ידוע"
"22","תפוח 15","1981","19/01/2021","2129000","38440-125-2","ללא תיכנון","לא ידוע","לא ידוע"
"23","קישון 17","2043","19/01/2021","2196000","38440-126-2","קרקע למגורים","לא ידוע","לא ידוע"
"24","הבונים 22","3483","24/12/2020","2000000","38440-92-2","תעשיה","לא ידוע","לא ידוע"
"25","הבונים 33","2044","16/12/2020","1730000","38459-49-1","ללא תיכנון","לא ידוע","לא ידוע"
"26","שורק 14","1000","05/11/2020","1000000","38459-42-1","ללא תיכנון","לא ידוע","לא ידוע"
"27","שורק 16","1000","05/11/2020","1000000","38459-41-1","ללא תיכנון","לא ידוע","לא ידוע"
"28","תפוח 1","5779","26/10/2020","700000","38440-7-2","תעשיה","לא ידוע","לא ידוע"
"29","תפוח 1","5779","21/10/2020","1400000","38440-7-1","ללא תיכנון","לא ידוע","לא ידוע"
"30","שיפון 9","2591","03/08/2020","859000","38457-5-1","ללא תיכנון","לא ידוע","לא ידוע"
"31","0","3153","29/07/2020","996000","38477-19-1","ללא תיכנון","לא ידוע","לא ידוע"
"32","הפחח 7","780","04/06/2020","2500000","38143-27-1","תעשיה","לא ידוע","לא ידוע"
"33","חופית 10","1892","08/04/2020","1050000","38440-100-1","תעשיה","לא ידוע","לא ידוע"
"34","אגס 10","2894","03/03/2020","3360000","38453-4-4","תעשיה","לא ידוע","ראשונה"
"35","הזורע 10","93","01/03/2020","1100000","38471-11-1","דירה בבית קומות","4","ראשונה"
"36","החרט 9","45","19/02/2020","90000","38144-24-2","תעשיה","לא ידוע","לא ידוע"
"37","דליה 4","1795","11/02/2020","819000","38440-120-1","קרקע למגורים","לא ידוע","לא ידוע"
"38","הבדיל 3","1133","11/02/2020","1350000","38141-2-1","תעשיה","לא ידוע","לא ידוע"
"39","0","36000","22/12/2019","350000000","38440-9-1","חנות","לא ידוע","ראשונה"
"40","הבדיל 23","250","17/12/2019","2749000","38143-12-1","תעשיה","לא ידוע","לא ידוע"
"41","ירדן 39","3781","03/12/2019","4400000","38440-39-1","ללא תיכנון","לא ידוע","לא ידוע"
"42","קישון 17","2043","31/10/2019","1300000","38440-126-1","מסחרי + מגורים","לא ידוע","לא ידוע"
"43","תפוח 15","1981","31/10/2019","1299000","38440-125-1","קרקע למגורים","לא ידוע","לא ידוע"
"44","החשמלאי 8","לא ידוע","07/10/2019","3800000","38142-20-2","משרד","לא ידוע","לא ידוע"
"45","שיפון 15","4298","04/09/2019","65000","38457-8-1","תעשיה","לא ידוע","לא ידוע"
"46","החרט 3","1226","04/06/2019","300000","38144-27-1","תעשיה","לא ידוע","לא ידוע"
"47","הפחח 9","2502","28/02/2019","7200000","38143-26-2","תעשיה","לא ידוע","לא ידוע"
"48","הפועלים 25","937","20/02/2019","2600000","38143-1-3","תעשיה","לא ידוע","לא ידוע"
"49","הפלס 22","166","12/02/2019","699000","38141-15-3","מחסנים","לא ידוע","לא ידוע"
"50","הפועלים 19","1572","13/01/2019","1544000","38143-4-1","ללא תיכנון","לא ידוע","לא ידוע"
"51","קישון 12","23059","19/12/2018","15103000","38440-15-1","ללא תיכנון","לא ידוע","לא ידוע"
"52","דליה 2","3383","21/11/2018","1200000","38440-119-1","ללא תיכנון","לא ידוע","לא ידוע"
"53","הפחח 9","2500","07/10/2018","4200000","38143-26-1","תעשיה","לא ידוע","לא ידוע"
"54","הזורע 15","1000","07/09/2018","5800000","38477-11-1","תעשיה","לא ידוע","לא ידוע"
"55","החשמלאי 8","1289","19/08/2018","1450000","38142-20-1","תעשיה","לא ידוע","לא ידוע"
"56","החשמלאי 6","400","19/08/2018","1450000","38142-21-1","תעשיה","לא ידוע","לא ידוע"
"57","הגנן 15","1135","08/07/2018","2350000","38470-13-2","תעשיה","לא ידוע","לא ידוע"
"58","הדגן 8","120","06/07/2018","1525000","38142-1-1","דירה בבית קומות","4","עשירית"
"59","חופית 1","2482","04/07/2018","1500000","38440-91-1","תעשיה","לא ידוע","לא ידוע"
"60","הדגן 7","1336","02/07/2018","3099000","38142-11-4","תעשיה","לא ידוע","לא ידוע"
"61","שורק 6","7000","26/06/2018","2500000","38459-22-1","תעשיה","לא ידוע","לא ידוע"
"62","קישון 4","2640","27/05/2018","744000","38440-56-1","תעשיה","לא ידוע","לא ידוע"
"63","דולפין 5","1900","11/03/2018","800000","38440-78-1","ללא תיכנון","לא ידוע","לא ידוע"
"64","הזורע 14","6020","27/02/2018","9850000","38471-5-1","תעשיה","לא ידוע","לא ידוע"
"65","הזורע 12","2952","27/02/2018","9850000","38471-6-1","תעשיה","לא ידוע","ראשונה"
"66","ד"ר פליקס זנדמן 22","5250","15/02/2018","10500000","38477-13-2","תעשיה","לא ידוע","לא ידוע"
"67","הרתך 8","לא ידוע","14/02/2018","222000","38453-7-2","משרד","לא ידוע","ראשונה"
"68","הבדיל 11","1138","04/02/2018","2725000","38141-6-1","תעשיה","לא ידוע","לא ידוע"
"69","הבדיל 9","1137","02/01/2018","2349000","38141-5-3","תעשיה","לא ידוע","לא ידוע"
"70","שורק 23","27","31/12/2017","219000","38455-49-1","תעשיה","לא ידוע","ראשונה"
"71","שחף 8","989","03/12/2017","470000","38457-20-1","תעשיה","לא ידוע","לא ידוע"
"72","0","2033","23/10/2017","217000","38477-17-1","תעשיה","לא ידוע","לא ידוע"
"73","עמיעז 23","462","21/10/2017","2450000","38455-25-1","תעשיה","לא ידוע","לא ידוע"
"74","הפלס 22","116","17/09/2017","240000","38141-15-2","תעשיה","לא ידוע","לא ידוע"
"75","הפחח 3","2096","17/09/2017","4850000","38143-31-1","תעשיה","לא ידוע","לא ידוע"
"76","0","1058","30/08/2017","2600000","38144-56-1","תעשיה","לא ידוע","לא ידוע"
"77","שחף 21","200","26/06/2017","1900000","38457-38-1","משרד","לא ידוע","לא ידוע"
"78","הזורע 5","3180","19/06/2017","2100000","38477-26-3","ללא תיכנון","לא ידוע","לא ידוע"
"79","ירדן 19","2098","04/05/2017","394000","38440-48-1","ללא תיכנון","לא ידוע","לא ידוע"
"80","החשמלאי 7","726","06/04/2017","1625000","38142-27-1","חנות","לא ידוע","לא ידוע"
"81","אגס 10","לא ידוע","29/03/2017","806000","38453-4-2","חנות","לא ידוע","לא ידוע"
"82","שחף 19","987","06/02/2017","1030000","38457-37-1","תעשיה","לא ידוע","לא ידוע"
"83","אגס 10","2984","09/01/2017","22950000","38453-4-1","תעשיה","לא ידוע","לא ידוע"
"84","החרט 1","2000","04/01/2017","3270000","38144-28-2","חנות","לא ידוע","ראשונה"
"85","הדגן 7","500","20/12/2016","2550000","38142-11-3","חנות","לא ידוע","ראשונה"
"86","הבדיל 9","2000","06/11/2016","3080000","38141-5-2","חנות","לא ידוע","ראשונה"
"87","הפלס 5","750","05/08/2016","1250000","38141-27-4","חנות","לא ידוע","ראשונה"
"88","הרתך 8","25841","17/06/2016","6250000","38453-7-1","תעשיה","לא ידוע","ראשונה"
"89","החורש 18","3788","05/04/2016","3399000","38470-26-2","משרד","לא ידוע","ראשונה"
"90","הכשרת היישוב 49","3105","25/10/2015","5000000","38477-5-1","תעשיה","לא ידוע","לא ידוע"
"91","החורש 20","300","22/10/2015","1600000","38470-25-1","חנות","לא ידוע","ראשונה"
"92","הפועלים 25","לא ידוע","03/08/2015","3500000","38143-1-2","חנות","לא ידוע","ראשונה"
"93","החורש 18","לא ידוע","22/12/2014","1100000","38470-26-1","תעשיה","לא ידוע","ראשונה"
"94","הזורע 9","1000","17/10/2014","10000000","38477-8-3","חנות","לא ידוע","ראשונה"
"95","הפלדה 10","658","15/08/2014","1250000","38141-36-1","תעשיה","לא ידוע","ראשונה"
"96","הפלדה 21","1000","13/02/2014","7772000","38144-42-1","חנות","לא ידוע","ראשונה"
"97","קישון 49","1190","24/11/2013","4500000","38440-98-1","תעשיה","לא ידוע","ראשונה"
"98","הפלס 16","לא ידוע","24/10/2013","1100000","38141-18-1","תעשיה","לא ידוע","ראשונה"
"99","הדגן 8","134","15/10/2013","1390000","38142-1-3","דירה בבית קומות","5","שמינית"
"100","הפחח 11","500","14/07/2013","2000000","38143-23-1","תעשיה","לא ידוע","ראשונה"
"101","הדגן 12","138","21/02/2013","1360000","38142-3-2","דירה בבית קומות","5","חמישית"
"102","הדגן 12","113","13/01/2013","1280000","38142-3-3","דירה בבית קומות","4","ארבע עשרה"
"103","הדגן 18","149","27/12/2012","1244000","38142-6-1","דירה בבית קומות","5","שלישית"
"104","הדגן 18","138","26/12/2012","1339000","38142-6-3","דירה בבית קומות","5","שמינית"
"105","החרט 1","500","20/12/2012","1099000","38144-28-1","תעשיה","לא ידוע","ראשונה"
"106","הדגן 12","113","10/12/2012","1215000","38142-3-4","דירה בבית קומות","4","שמינית"
"107","הדגן 12","138","12/11/2012","1200000","38142-3-5","דירה בבית קומות","5","שישית"
"108","הדגן 18","138","01/11/2012","1250000","38142-6-4","דירה בבית קומות","5","רביעית"
"109","הדגן 18","138","31/10/2012","1359000","38142-6-5","דירה בבית קומות","5","אחת עשרה"
"110","הדגן 12","138","30/08/2012","1419000","38142-3-6","דירה בבית קומות","5","לא ידוע"
"111","הדגן 12","138","29/08/2012","1400000","38142-3-7","דירה בבית קומות","5","לא ידוע"
