מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
8,הארבעה 25,61.8,2024,525000,22923-47-27,דירה בבית,3,8495
9,הארבעה 15,126.1,2024,910000,22923-46-9,דירה בבית,5,7216
10,הארבעה 37,137.1,2024,1280000,22923-48-44,דירה בבית,6,9336
11,הארבעה 39,70.6,2024,730000,22923-49-31,דירה בבית,4,10340
12,שאול המלך 84,62.7,2024,680000,22918-16-7,דירה בבית,4,10845
13,0,120,2024,1100000,22923-7-48,דירה בבית,4,9167
14,0,122,2024,1300000,22923-7-47,דירה בבית,5,10656
15,שאול המלך 86,83.8,2024,760000,22918-15-18,דירה בבית,4,9069
16,הארבעה 19,61.6,2024,670000,22923-46-32,דירה בבית,3,10877
17,הארבעה 41,62.2,2024,670000,22923-49-23,דירה בבית,3,10772
18,הארבעה 33,80.7,2024,720000,22923-48-21,דירה בבית,4,8922
19,הארבעה 21,62,2024,350000,22923-46-56,דירה בבית,3,5645
20,שאול המלך 86,63.8,2024,685000,22918-15-12,דירה בבית,4,10737
21,יהושע אביטן 6,61,2024,780000,22918-11-8,דירה בבית,3,12787
22,הארבעה 23,63.8,2024,520000,22923-47-14,דירה בבית,3,8150
24,שאול המלך 86,82.7,2024,660000,22918-15-11,דירה בבית,4,7981
25,השישה 14,69.1,2024,1140000,22918-10-2,דירה בבית,4,16498
26,הארבעה 15,127.5,2024,830000,22923-46-6,דירה בבית,5,6510
27,הארבעה 31,62.2,2024,700000,22923-48-3,דירה בבית,3,11254
28,הארבעה 29,62.2,2024,620000,22923-47-47,דירה בבית,3,9968
