מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","בן זומא 9","124","10/07/2025","4000000","6192-137-5","דירה בבית קומות","5","ראשונה"
"2","שמעון הצדיק 6","64","10/07/2025","1800000","6192-182-3","דירה בבית קומות","3","חמישית"
"3","רבי מאיר 6","108","03/07/2025","2666600","6192-1200-1","דירה בבית קומות","4","ראשונה"
"4","שמעון הצדיק 11","91","19/06/2025","2600000","6192-164-3","דירה בבית קומות","4","שישית"
"5","דון יוסף הנשיא 6","86","16/06/2025","2530000","6190-827-11","דירה בבית קומות","4","ב"
"6","הרב משה פרדו 13","99.07","15/06/2025","3500000","6192-1162-8","דירה בבית קומות","4","שניה"
"7","שמעון הצדיק 6","99","04/06/2025","3100000","6192-182-4","דירה בבית קומות","5","ראשונה"
"8","שמעון הצדיק 11","87","03/06/2025","2500000","6192-164-4","דירה בבית קומות","4","ראשונה"
"9","שמעון הצדיק 6","107","22/05/2025","5400000","6192-182-5","דירה בבית קומות","4","לא ידוע"
"10","רוזנהיים 5","110","21/05/2025","3100000","6192-986-14","דירה בבית קומות","5","שלישית"
"11","נחום 8","140","20/05/2025","4800000","6192-252-4","דירה בבית קומות","7","ב"
"12","חזון איש 23","24","11/05/2025","600000","6190-324-3","חנות","לא ידוע","קרקע"
"13","שמעון הצדיק 6","96","06/05/2025","2500000","6192-182-6","דירה בבית קומות","4","חמישית"
"14","בן זומא 9","124","05/05/2025","3700000","6192-137-6","דירה בבית קומות","5","שלישית"
"15","ריינס 8","70","23/04/2025","2930000","6192-469-10","דירה בבית קומות","4","רביעית"
"16","ברנדשטטר 5","56","09/04/2025","2600000","6190-519-8","דירה בבית קומות","3","ב"
"17","אליהו הנביא 7","87","09/04/2025","3163200","6192-223-1","דירה בבית קומות","4","א"
"18","אלישע 19","54","09/04/2025","2320000","6192-788-8","דירה בבית קומות","3.5","ג"
"19","נחמן מברסלב 16","54","18/03/2025","2250000","6190-432-5","דירה בבית קומות","3","ב"
"20","בן זומא 9","162","10/03/2025","7000000","6192-137-8","דירה בבית קומות","5","שמינית"
"21","שמעון הצדיק 6","100","10/03/2025","3475000","6192-182-7","דירה בבית קומות","5","רביעית"
"22","נחמיה 19","85.4","04/03/2025","1150000","6190-424-1","דירה בבית קומות","3","ראשונה"
"23","שמעון הצדיק 6","71","02/03/2025","4380000","6192-182-8","דירה בבית קומות","4","שלישית"
"24","נחמיה 7","64","26/02/2025","1600000","6190-540-10","דירה בבית קומות","3","ג"
"25","בן זומא 7","70.39","25/02/2025","2500000","6192-136-2","דירה בבית קומות","3","ראשונה"
"26","אור החיים 45","62","18/02/2025","2500000","6190-345-2","דירה בבית קומות","3","א"
"27","שמעון הצדיק 6","64","18/02/2025","1825000","6192-182-10","דירה בבית קומות","3","רביעית"
"28","הרב משה פרדו 10","141.5","29/01/2025","4120000","6192-1171-15","דירה בבית קומות","6","רביעית, חמישית"
"29","הרב טולידנו 4","62","29/01/2025","2272700","6192-1020-2","דירה בבית קומות","3","ראשונה"
"30","שמעון הצדיק 6","100","26/01/2025","3320000","6192-182-13","דירה בבית קומות","5","שלישית"
"31","שמעון הצדיק 7","82","20/01/2025","2500000","6192-162-15","דירה בבית קומות","4","חמישית"
"32","בית הלל 12","72","13/01/2025","2400000","6190-280-1","דירה בבית קומות","3","ראשונה"
"33","הרב כהנמן 69","77.5","12/01/2025","2800000","6192-1010-3","דירה בבית קומות","3","ראשונה"
"34","הרב מלצר 23","84.5","02/01/2025","4900000","6190-1043-9","דירה בבית קומות","5","קרקע"
"35","האדמו"ר מגור 18","90","31/12/2024","2020000","6190-332-3","דירה בבית קומות","4","לא ידוע"
"36","שמעון הצדיק 6","71","31/12/2024","2025000","6192-182-14","דירה בבית קומות","3","שניה"
"37","שמעון הצדיק 13","73","29/12/2024","2250000","6192-165-3","דירה בבית קומות","3","רביעית"
"38","שמעון הצדיק 7","61","23/12/2024","2585000","6192-162-16","דירה בבית קומות","3","שישית"
"39","שמעון הצדיק 6","62","16/12/2024","2025000","6192-182-15","דירה בבית קומות","3","חמישית"
"40","חזון איש 11","58.4","12/12/2024","2700000","6190-298-3","דירה בבית קומות","3","קרקע"
"41","נועם אלימלך 13","124.7","12/12/2024","220000","6192-1148-8","קרקע למגורים","לא ידוע","רביעית+חמישית"
"42","בית הלל 18","138","01/12/2024","4900000","6190-938-7","דירה בבית קומות","7","שניה"
"43","אלישע 14","57","26/11/2024","2020000","6192-897-4","דירה בבית קומות","2.5","א"
"44","אלישע 17","74","25/11/2024","2850000","6192-880-10","דירה בבית קומות","3.5","א"
"45","האדמו"ר מגור 11","72","25/11/2024","1850000","6190-303-1","דירה בבית קומות","3","שלישית"
"46","בית הלל 18","69","24/11/2024","2700000","6190-938-3","דירה בבית קומות","4","ראשונה"
"47","רמב"ן 1","115","20/11/2024","3400000","6190-434-6","דירה בבית קומות","5","ב"
"48","אור החיים 43","60","19/11/2024","2900000","6190-345-17","דירה בבית קומות","3","ב"
"49","שמעון הצדיק 6","93","17/11/2024","3520000","6192-182-16","דירה בבית קומות","3.5","ראשונה"
"50","שמעון הצדיק 6","63","14/11/2024","2300000","6192-182-17","דירה בבית קומות","3","ראשונה"
"51","0","126","03/11/2024","2400000","6189-279-2","דירה בבית קומות","5","שניה"
"52","עזרא 26","62","29/10/2024","2700000","6190-1142-9","דירה בבית קומות","4","ב"
"53","עזרא 30","87.18","14/10/2024","2980000","6190-418-2","דירה בבית קומות","5","א"
"54","דון יוסף הנשיא 14","116","14/10/2024","2300000","6190-823-7","דירה בבית קומות","4","ב"
"55","הרב כהנמן 63","63.5","10/10/2024","2100000","6192-1005-4","דירה בבית קומות","3","ראשונה"
