Area Name,Area ID,Type,מחיר למר
"צפון-מערב","65209666","Neighborhood",
"מרכז העיר","65209667","Neighborhood",
"רמת הנשיא","65209697","Neighborhood",
"דרום-מערב","65209768","Neighborhood",
"רמת יוסף","65209881","Neighborhood",
"עמידר","65209893","Neighborhood",
"אזור תעשיה","65210468","Neighborhood",
"בית וגן","65210514","Neighborhood",
"ותיקים","65210515","Neighborhood",
"מתחם גן העיר","65210516","Neighborhood",
"העמק","62000543","Street",
"הנרייטה סאלד","62000514","Street",
"אילת","62000505","Street",
"לכיש","62000540","Street",
"מגידו","62000539","Street",
"החלוצים","62000111","Street",
"תל חי","62000545","Street",
"ליבורנו","62000522","Street",
"מבצע סיני","62000503","Street",
"דוד רזיאל","62000534","Street",
"אסירי ציון","62000614","Street",
"ניצנה","62000108","Street",
"הכרמל","62000542","Street",
"כובשי החרמון","62000541","Street",
"קיבוץ גלויות","62000105","Street",
"קרן קיימת לישראל","62000101","Street",
"יוספטל גיורא","62000310","Street",
"אלי כהן","62000518","Street",
"מודיעין","62000538","Street",
"העצמון","62000535","Street",
"הגבעות","62000511","Street",
"כ"ט בנובמבר","62000521","Street",
"מתתיהו גנם","62000131","Street",
"שבזי","62000617","Street",
"הרב הרצוג","62000416","Street",
"משה שרת","62000439","Street",
"משה סנה","62000507","Street",
"העצמאות","62000201","Street",
"בן-גוריון","62000212","Street",
"ירושלים","62000102","Street",
"הירש","62000232","Street",
"ההגנה","62000430","Street",
"אהוד קינמון","62000601","Street",
"אתרוג","62000434","Street",
"החרושת","62000422","Street",
"הרב יצחק ניסנבוים","62000508","Street",
"טבנקין","62000639","Street",
"אלמליח","62000315","Street",
"קדושי קהיר","62000213","Street",
"קלויזנר","62000418","Street",
"הרשת","62000413","Street",
"פרץ","62000616","Street",
"זרובבל","62000654","Street",
"רוטשילד","62000220","Street",
"בר-אילן","62000402","Street",
"הפועל","62000404","Street",
"הרצל","62000210","Street",
"קרייתי","62000441","Street",
"ד"ר נחום ניר","62000313","Street",
"אחד העם","62000657","Street",
"הפלדה","62000609","Street",
"קורצ'אק","62000421","Street",
"הרב לוי","62000523","Street",
"חלמית","62000133","Street",
"הלפר","62000208","Street",
"הקוממיות","62000311","Street",
"חנה סנש","62000211","Street",
"הרב קוק","62000214","Street",
"זלמן מייזל","62000442","Street",
"עגנון","62000655","Street",
"השר שפירא","62000446","Street",
"טשרניחובסקי","62000412","Street",
"אצ"ל","62000645","Street",
"הנביאים","62000304","Street",
"מוכרי הסיגריות","62000634","Street",
"שלום אש","62000506","Street",
"השרון","62000533","Street",
"השלושה","62000106","Street",
"קדושי לוצק","62000118","Street",
"האדמו"ר מבאבוב","62000669","Street",
"הרב צבי יהודה","62000628","Street",
"אנילביץ","62000406","Street",
"ארלוזורוב","62000209","Street",
"מנדלי מוכר ספרים","62000436","Street",
"יחזקאל דנין","62000301","Street",
"דניאל","62000426","Street",
"קרן היסוד","62000626","Street",
"יוסף הנשיא","62000132","Street",
"רהב","62000502","Street",
"ברל כצנלסון","62000401","Street",
"בלפור","62000221","Street",
"הרב לוזון","62000544","Street",
"מ"ג","62000425","Street",
"אורט ישראל","62000510","Street",
"הגדוד העברי","62000419","Street",
"חי"ש","62000667","Street",
"הרב מימון","62000613","Street",
"מסריק","62000216","Street",
"יצחק נפחא","62000677","Street",
"יוטבתה","62000537","Street",
"מקס נורדאו","62000443","Street",
"העמל","62000607","Street",
"דליה","62000615","Street",
"הגלעד","62000642","Street",
"השקמה","62000308","Street",
"ד"ר משה כהן","62000135","Street",
"ליבסקינד","62000224","Street",
"הגיבורים","62000120","Street",
"האורגים","62000606","Street",
"דוד המלך","62000660","Street",
"המעפילים","62000113","Street",
"אנה פרנק","62000612","Street",
"גנרל פייר קניג","62000553","Street",
"ניסים בכר","62000622","Street",
"הראשונים","62000226","Street",
"החשמונאים","62000403","Street",
"פיינשטיין","62000206","Street",
"השחרור","62000222","Street",
"מסיקה","62000225","Street",
"נרקיס","62000630","Street",
"השבטים","62000623","Street",
"כינרת","62000433","Street",
"ברנר","62000314","Street",
"קהילת סלונים","62000640","Street",
"סוקולוב","62000215","Street",
"שאול הדדי ציון","62000512","Street",
"ויצמן","62000117","Street",
