מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","מרחבים 68","73","21/07/2025","580000","39518-102-21","דירה בבית קומות","4","שניה"
"2","דוגית 27","94.9","17/06/2025","1000000","39943-42-16","דירה בבית קומות","4","ראשונה"
"3","המעלה 18","200","18/05/2025","1200000","39517-102-1","דירה בבית קומות","5","לא ידוע"
"4","מורג 16","237","23/04/2025","2850000","39943-21-1","דירה בבית קומות","8","לא ידוע"
"5","הפסגה 10","300","07/04/2025","500000","39517-80-1","קוטג' חד משפחתי","1","לא ידוע"
"6","דוד אלעזר 2","60","26/03/2025","575000","39518-82-6","דירה בבית קומות","3","שניה"
"7","השלווה 8","73","11/03/2025","590000","39518-81-11","דירה בבית קומות","4","שלישית"
"8","דוד אלעזר 1","60","27/02/2025","500000","39518-89-28","דירה בבית קומות","3","שלישית"
"9","מורג 11","153.65","27/02/2025","1850000","39943-34-1","דירה בבית קומות","5","קרקע, ראשונה"
"10","משה דיין 72","73","11/02/2025","615000","39518-104-28","דירה בבית קומות","4","שלישית"
"11","השלווה 6","73","29/01/2025","700000","39518-80-3","דירה בבית קומות","4","ראשונה"
"12","הגיא 14","153","06/01/2025","1850000","39942-11-2","דירה בבית קומות","5","ראשונה"
"13","דוגית 31","115.05","08/12/2024","1700000","39943-41-5","דירה בבית קומות","5","קרקע"
"14","השלווה 8","73","06/11/2024","420000","39518-81-9","דירה בבית קומות","4","שלישית"
"15","משה דיין 72","73","30/09/2024","600000","39518-104-21","דירה בבית קומות","4","שניה"
"16","השלווה 18","78","30/09/2024","690000","39518-90-7","דירה בבית קומות","4","שניה"
"17","דוד אלעזר 2","60","12/09/2024","565000","39518-82-17","דירה בבית קומות","3","ראשונה"
"18","השלווה 2","60","08/09/2024","565000","39518-79-10","דירה בבית קומות","3","שלישית"
"19","השלווה 18","78","05/09/2024","665000","39518-90-30","דירה בבית קומות","4","שמינית"
"20","מרחבים 68","73","04/09/2024","500000","39518-102-14","דירה בבית קומות","4","רביעית"
"21","משה דיין 72","73","08/08/2024","622000","39518-104-9","דירה בבית קומות","4","שלישית"
"22","דוגית 31","102.3","09/06/2024","1240000","39943-41-7","קוטג' דו משפחתי","3.5","ראשונה"
"23","השלווה 18","76","09/05/2024","630000","39518-90-29","דירה בבית קומות","4","שמינית"
"24","משה דיין 72","73","24/03/2024","434000","39518-104-4","דירה בבית קומות","4","ראשונה"
"25","השלווה 2","60","13/03/2024","670000","39518-79-18","דירה בבית קומות","3","ראשונה"
"26","דוגית 47","113.9","06/03/2024","1660000","39943-40-6","קוטג' דו משפחתי","5","קרקע"
"27","דוגית 8","190","21/02/2024","2580000","39945-7-1","קוטג' חד משפחתי","5","ראשונה"
"28","דוגית 29","102.3","30/01/2024","1070000","39943-42-11","דירה בבית קומות","4","ראשונה"
"29","הפסגה 31","290","03/01/2024","2000000","39517-15-4","דירה בבית קומות","5","ראשונה"
"30","דוגית 41","96.25","18/12/2023","1200000","39943-41-1","דירת גן","4","קרקע"
"31","דוגית 33","94.9","13/12/2023","1090000","39943-42-4","דירה בבית קומות","4","ראשונה"
"32","הגיא 14","153","12/12/2023","1800000","39942-11-1","בית בודד","5","ראשונה"
"33","הרמה 35","189","12/09/2023","1820000","39945-19-1","דירה בבית קומות","5","לא ידוע"
"34","השלווה 18","78","04/09/2023","300000","39518-90-27","דירה בבית קומות","4","שביעית"
"35","משה דיין 72","73","23/08/2023","600000","39518-104-2","דירה בבית קומות","4","ראשונה"
"36","השלווה 2","60","19/07/2023","500000","39518-79-17","דירה בבית קומות","3","ראשונה"
"37","דוגית 35","94.9","20/06/2023","900000","39943-41-15","דירה בבית קומות","4","ראשונה"
"38","דוגית 47","112.7","01/06/2023","1310000","39943-40-7","דירה בבית קומות","5","ראשונה"
"39","הרכס 15","184","14/05/2023","1900000","39945-24-1","דירה בבית קומות","5","ראשונה"
"40","המעפיל 71","219","19/04/2023","225000","39517-97-2","דירה בבית קומות","5","שניה"
"41","המעפיל 71","219","11/04/2023","850000","39517-97-1","דירה בבית קומות","5","שניה"
"42","השלווה 2","60","31/03/2023","620000","39518-79-29","דירה בבית קומות","3.5","רביעית"
"43","הפסגה 79","158","29/03/2023","2000000","39517-40-1","בית בודד","5","ראשונה"
"44","משה דיין 72","73","23/03/2023","450000","39518-104-29","דירה בבית קומות","4","רביעית"
"45","מרחבים 68","73","15/03/2023","625000","39518-102-5","דירה בבית קומות","4","שניה"
"46","הפסגה 54","185","13/03/2023","1770000","39517-41-2","בית בודד","6","ראשונה"
"47","השלווה 8","73","14/02/2023","615000","39518-81-12","דירה בבית קומות","4","שלישית"
"48","השלווה 18","76","02/02/2023","730000","39518-90-4","דירה בבית קומות","4","ראשונה"
