מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","הנחל 4","80.86","12/03/2025","2650000","6657-370-20","דירה בבית קומות","3","רביעית"
"2","שפרינצק 16","110","10/11/2024","1600000","6657-115-2","קרקע למגורים","לא ידוע","לא ידוע"
"3","החרמון 1","178","03/11/2024","225000","6662-5-1","קרקע למגורים","לא ידוע","לא ידוע"
"4","שחל 38","41.8","24/09/2024","284000","6657-186-2","קרקע למגורים","לא ידוע","ראשונה"
"5","הנחל 4","99.41","23/06/2024","2935000","6657-370-27","דירה בבית קומות","4","חמישית"
"6","שחל 38","41.8","19/06/2024","520000","6657-186-1","קוטג' דו משפחתי","3","ראשונה"
"7","מבצע קדש 11","70","05/06/2024","700000","6657-136-3","דירה בבית קומות","2","ראשונה"
"8","יסוד המעלה 33","60.69","29/05/2024","2100000","6410-293-24","דירה בבית קומות","3","שלישית"
"9","קיבוץ גלויות 22","814","28/03/2024","541000","6653-70-1","קרקע למגורים","לא ידוע","לא ידוע"
"10","המעגל 54","282.1","27/02/2024","642000","6653-317-2","קוטג' דו משפחתי","7","מרתף+קרקע+ראשונה"
"11","הר מירון 1","113.5","19/12/2023","140000","6657-154-1","קרקע למגורים","לא ידוע","קרקע"
"12","שנת היובל 4","152","20/09/2023","4050000","6657-366-3","קוטג' דו משפחתי","5","קרקע + ראשונה + שניה"
"13","הנחל 4","103","27/06/2023","2850000","6657-370-15","דירה בבית קומות","4","שניה"
"14","המעגל 26","157","30/05/2023","527000","6653-216-1","קרקע למגורים","6","א'"
"15","שנת היובל 86","132.5","03/04/2023","1700000","6657-358-1","דירה בבית קומות","5","קרקע+ראשונה+שניה"
"16","שנת היובל 101","138.1","02/03/2023","3700000","6657-364-2","דירה בבית קומות","5","קרקע+ראשונה+שניה"
"17","מבצע קדש 11","72","15/02/2023","530000","6657-136-2","קוטג' דו משפחתי","3","ראשונה"
"18","אילת 14","86.8","20/12/2022","6800000","6653-308-1","דירה בבית קומות","5","קרקע"
"19","החרמון 17","965","06/12/2022","6000000","6653-98-1","קרקע למגורים","לא ידוע","לא ידוע"
"20","הנחל 4","71.3","27/11/2022","2802000","6657-370-24","דירה בבית קומות","3","חמישית"
"21","שנת היובל 56","266.83","02/11/2022","2075000","6657-328-2","קוטג' דו משפחתי","6","מרתף ‎-1‏, קומה ‎0‏, קומה ‎1‏"
"22","המעגל 38","77","19/06/2022","2406000","6653-210-2","קרקע למגורים","לא ידוע","לא ידוע"
"23","המעגל 48","83","30/05/2022","6200000","6652-20-1","קרקע למגורים","3","ראשונה"
"24","שפרינצק 6","128","16/03/2022","397000","6657-110-3","קרקע למגורים","לא ידוע","לא ידוע"
"25","הנחל 2","155.43","15/02/2022","3850000","6657-370-2","דירה בבית קומות","5","מרתף, קרקע"
"26","אילת 6","95","09/02/2022","525000","6653-255-1","קרקע למגורים","לא ידוע","לא ידוע"
"27","קיבוץ גלויות 33","לא ידוע","07/02/2022","2000000","6653-102-6","קרקע למגורים","לא ידוע","לא ידוע"
"28","קיבוץ גלויות 33","לא ידוע","18/01/2022","1825000","6653-102-5","ללא תיכנון","לא ידוע","לא ידוע"
"29","קיבוץ גלויות 33","200","16/12/2021","4625000","6653-102-4","קרקע למגורים","לא ידוע","לא ידוע"
"30","ששת הימים 5","32.26","06/12/2021","320000","6410-121-2","קרקע למגורים","3","ראשונה"
