מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","האודם 7","151.17","29/06/2025","2000000","6446-316-9","דירה בבית קומות","5","מרתף,קרקע,ראשונה"
"2","זמיר 5","166","21/04/2025","4850000","6446-348-4","דירה בבית קומות","5","מרתף+קרקע+ראשונה"
"3","טווס 3","131.5","30/03/2025","4150000","6446-356-18","דירה בבית קומות","5","רביעית"
"4","פשוש 26","196.3","27/03/2025","3150000","6446-352-10","קוטג' דו משפחתי","5","קרקע+ראשונה+שניה"
"5","האודם 12","138.22","04/03/2025","4400000","6446-307-13","דירה בבית קומות","5","מרתף+שניה"
"6","טווס 12","163","23/02/2025","642000","6446-418-5","קוטג' דו משפחתי","5.5","קרקע+ראשונה"
"7","דוכיפת 51","182","16/02/2025","6628500","6446-353-2","דירה בבית קומות","7","קרקע+ראשונה+שניה"
"8","שחף 9","235.6","17/11/2024","581000","6446-401-1","קוטג' דו משפחתי","8","קרקע+ראשונה+שניה"
"9","האודם 19","136.9","13/10/2024","4800000","6446-312-5","דירת גג","5","שלישית + רביעית"
"10","האודם 43","130.5","01/10/2024","4400000","6446-292-3","דירה בבית קומות","5","ראשונה +שניה"
"11","טווס 5","131.5","30/09/2024","4200000","6446-356-102","דירה בבית קומות","5","רביעית"
"12","ישפה 20","240","29/09/2024","6265000","6446-241-2","קוטג' דו משפחתי","6","ראשונה"
"13","חוחית 3","162.4","14/08/2024","4850000","6446-417-20","דירה בבית קומות","6","קרקע+ראשונה"
"14","טווס 5","131.5","01/08/2024","3720000","6446-356-120","דירה בבית קומות","5","שמינית"
"15","טווס 8","162.4","18/07/2024","442000","6446-416-10","דירת גן","6","קרקע+ראשונה"
"16","האודם 36","133.4","04/07/2024","2134000","6446-299-7","דירה בבית קומות","5","רביעית"
"17","חוחית 24","189.8","02/07/2024","1482000","6446-355-2","דירה בבית קומות","6","קרקע+ראשונה+שניה"
"18","טווס 5","131.5","09/06/2024","3900000","6446-356-139","דירה בבית קומות","5","שתים עשרה"
"19","דוכיפת 27","294.1","03/05/2024","8300000","6446-351-3","קוטג' דו משפחתי","8","מרתף+קרקע+ראשונה"
"20","0","301","21/04/2024","2417000","6446-145-1","קוטג' חד משפחתי","6","ראשונה"
"21","האודם 39","129.8","18/03/2024","4580000","6446-293-4","דירה בבית קומות","5","ראשונה +שניה"
"22","האודם 21","117.8","25/02/2024","3900000","6446-311-9","דירה בבית קומות","4","שניה"
"23","חוחית 10","190","19/02/2024","5756000","6446-355-9","דירה בבית קומות","5.5","קרקע+ראשונה+שניה"
"24","שלדג 15","201.1","31/01/2024","6425000","6446-350-19","קוטג' דו משפחתי","8","קרקע+ראשונה+שניה"
"25","הציונות 11","100","30/01/2024","3670000","6446-456-34","דירה בבית קומות","4","שניה"
"26","דוכיפת 23","182.3","24/01/2024","4850000","6446-351-5","דירה בבית קומות","6","קרקע+ראשונה+שניה"
"27","ז'בוטינסקי 63","208","23/01/2024","4670000","6446-348-11","דירה בבית קומות","6","מרתף+קרקע+ראשונה+שני"
"28","האודם 28","155","18/01/2024","2900000","6446-302-7","דירה בבית קומות","6","רביעית"
"29","שלדג 28","235.6","17/01/2024","7500000","6446-408-1","קוטג' דו משפחתי","7","קרקע+ראשונה+שניה"
"30","שלדג 23","195.9","17/01/2024","6600000","6446-350-26","דירה בבית קומות","6","קרקע+ראשונה+שניה"
"31","חוחית 5","162.4","21/12/2023","424000","6446-417-17","דירה בבית קומות","6","קרקע+ראשונה"
"32","שלדג 21","194.4","30/10/2023","829000","6446-350-27","קוטג' דו משפחתי","6.5","קרקע+ראשונה+שניה"
"33","מרגלית 1","לא ידוע","02/10/2023","7300000","6446-262-1","קוטג' דו משפחתי","8","ראשונה"
"34","האודם 28","121.1","27/09/2023","3600000","6446-302-3","דירה בבית קומות","4","שניה"
"35","0","לא ידוע","10/08/2023","1000000","6446-26-1","ללא תיכנון","לא ידוע","לא ידוע"
"36","0","לא ידוע","10/08/2023","1000000","6446-25-1","ללא תיכנון","לא ידוע","לא ידוע"
"37","פשוש 21","279.7","07/08/2023","7775000","6446-440-2","קוטג' דו משפחתי","6","קרקע+ראשונה+שניה"
"38","חוחית 32","190.7","19/07/2023","1404000","6446-354-8","דירה בבית קומות","7","דירת קוטג' + מרפסת לא מקורה בש"
"39","שבו 6","155.6","10/04/2023","104000","6446-297-8","דירה בבית קומות","5","קרקע + ראשונה"
