מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","יהושע בן גמלא 39","153.89","20/07/2025","3700000","6455-1109-10","דירה בבית קומות","5","שלישית"
"2","ישורון 52","108.8","03/06/2025","3850000","6455-1012-47","דירה בבית קומות","5","שתים עשרה"
"3","ההסתדרות 8","62","28/05/2025","1925000","6455-584-5","דירה בבית קומות","3","שניה"
"4","רמתיים 78","66.64","28/05/2025","1200000","6455-590-16","דירה בבית קומות","3","שלישית"
"5","ההסתדרות 6","86","26/05/2025","2430000","6455-583-11","דירה בבית קומות","3","רביעית"
"6","יהושע בן גמלא 41","103.08","14/05/2025","3300000","6455-1035-63","דירה בבית קומות","4","ארבע עשרה"
"7","הבנים 14","122.18","07/05/2025","1750000","6455-764-67","דירה בבית קומות","1","חמישית"
"8","יהושע בן גמלא 22","132","10/04/2025","3640000","6455-1119-8","דירה בבית קומות","5","שביעית"
"9","ישורון 15","112.4","06/04/2025","2682000","6455-641-18","דירה בבית קומות","4","ראשונה"
"10","בן גוריון 19","223.5","24/03/2025","4000000","6455-827-5","דירת גג","5.5","שלישית+רביעית+גג"
"11","בן גוריון 26","71.52","24/03/2025","2550000","6455-531-16","דירה בבית קומות","4","רביעית"
"12","הגאולה 22","53.41","13/03/2025","2300000","6455-113-18","דירה בבית קומות","3","ג"
"13","בית הבד 2","257","11/03/2025","912000","6455-1130-4","דירה בבית קומות","5","תשיעית"
"14","ישורון 4","88.82","09/03/2025","1300000","6455-724-3","דירה בבית קומות","4","ראשונה"
"15","הרשות 1","83.35","07/03/2025","2100000","6455-620-66","דירה בבית קומות","4","ג"
"16","ישורון 34","73","03/03/2025","2400000","6455-577-11","דירה בבית קומות","3.5","שניה"
"17","ישורון 56","78.6","18/02/2025","3050000","6455-1105-76","דירה בבית קומות","3.5","שניה"
"18","יהושע בן גמלא 41","256.73","17/02/2025","7897200","6455-1035-73","דירה בבית קומות","5","שבע עשרה"
"19","מגדיאל 7","67.05","13/02/2025","2350000","6455-565-23","דירה בבית קומות","3","ג"
"20","ישורון 31","100.32","21/01/2025","2800000","6455-675-4","דירה בבית קומות","4","שניה"
"21","ההסתדרות 6","92","16/01/2025","2520000","6455-583-3","דירה בבית קומות","4","ראשונה"
"22","ההסתדרות 6","59","15/01/2025","2670000","6455-583-14","דירה בבית קומות","3","שישית"
"23","יהושע בן גמלא 41","103.33","14/01/2025","3360000","6455-1035-62","דירה בבית קומות","4","ארבע עשרה"
"24","האוטהקר 6","לא ידוע","09/01/2025","90000","6455-113-36","חנות","לא ידוע","קרקע"
"25","ישורון 19","92.5","31/12/2024","2900000","6455-710-5","דירה בבית קומות","4","שניה"
"26","רמתיים 7","95.5","17/12/2024","3500000","6455-1067-40","דירה בבית קומות","4","אחת עשרה"
"27","רמתיים 7","110.5","21/11/2024","3750000","6455-1067-49","דירה בבית קומות","5","שלוש עשרה"
"28","משאבים 26","82.33","15/11/2024","2615000","6455-616-15","דירה בבית קומות","4","רביעית"
"29","יהושע בן גמלא 39","164.33","29/10/2024","4200000","6455-1109-30","לא ידוע","6","שמינית"
"30","רמתיים 13","118","01/10/2024","3335000","6455-1062-1","דירה בבית קומות","4","קומה ‎1‏"
"31","האוטהקר 6","48.34","01/10/2024","2450000","6455-113-22","דירה בבית קומות","2","א"
"32","האוטהקר 6","66.4","25/09/2024","2600000","6455-113-43","דירה בבית קומות","3","ב"
"33","הגאולה 14","116.5","17/09/2024","4430000","6455-638-24","דירה בבית קומות","6","שישית+גג"
"34","יהושע בן גמלא 24","103.46","12/09/2024","3060000","6455-976-24","דירה בבית קומות","4","שישית"
"35","ישורון 58","117","02/09/2024","3950000","6455-1105-12","לא ידוע","5","רביעית"
"36","בן גוריון 28","79.5","27/08/2024","2400000","6455-610-21","דירה בבית קומות","3.5","שלישית"
"37","האילנות 5","121.7","19/08/2024","3900000","6455-1055-20","דירה בבית קומות","5","ראשונה"
"38","יהושע בן גמלא 24","103.46","15/08/2024","3000000","6455-976-9","דירה בבית קומות","4","שניה"
"39","ישורון 45","230","05/08/2024","4000000","6455-747-1","קוטג' דו משפחתי","6","מרתף+קרקע+ראשונה"
"40","ישורון 56","78.6","04/08/2024","2800000","6455-1105-80","דירה בבית קומות","4","שלישית"
"41","ישורון 58","78.7","02/08/2024","2950000","6455-1105-21","דירה בבית קומות","3.5","שישית"
"42","ההסתדרות 8","82","01/08/2024","3066000","6455-584-17","דירה בבית קומות","3.5","חמישית"
"43","הבוסתן 8","79.92","16/07/2024","2445000","6455-532-18","דירה בבית קומות","4","שלישית"
"44","רמתיים 7","95.5","14/07/2024","3340000","6455-1067-12","דירה בבית קומות","4","רביעית"
"45","עין חי 1","45","11/07/2024","2130000","6455-182-13","דירה בבית קומות","3.5","ג"
"46","הפרסה 7","50","09/07/2024","2200000","6455-458-3","דירה בבית קומות","2","ב"
"47","ההסתדרות 6","99","08/07/2024","3508000","6455-583-15","דירה בבית קומות","4","שביעית"
"48","ההסתדרות 8","156","07/07/2024","6252000","6455-584-18","דירה בבית קומות","5.5","חמישית"
"49","בן גוריון 20","97","01/07/2024","2650000","6455-633-28","דירה בבית קומות","4","חמישית"
"50","ההסתדרות 6","לא ידוע","27/06/2024","69000","6455-583-1","מחסנים","לא ידוע","קרקע"
"51","הפרסה 11","58","24/06/2024","2400000","6455-462-6","דירה בבית קומות","3","א"
"52","פסנתר 6","276","19/06/2024","8300000","6451-444-2","קוטג' דו משפחתי","5","לא ידוע"
"53","ההסתדרות 8","107","18/06/2024","3540000","6455-584-20","דירה בבית קומות","4","חמישית"
"54","משאבים 12","111","16/06/2024","3350000","6455-568-5","דירה בבית קומות","4","שניה"
"55","האוטהקר 4","63.8","16/06/2024","2513000","6455-113-33","דירה בבית קומות","3.5","ג"
"56","ההסתדרות 8","84","09/06/2024","3197000","6455-584-22","דירה בבית קומות","4","חמישית"
"57","ההסתדרות 6","59","09/06/2024","2750000","6455-583-16","דירה בבית קומות","3","שביעית"
"58","הבוסתן 8","82","09/06/2024","2950000","6455-532-10","דירה בבית קומות","4","שניה"
"59","יהושע בן גמלא 22","194","29/05/2024","2035000","6455-1119-6","דירה בבית קומות","6","שתים עשרה"
"60","ההסתדרות 6","59","28/05/2024","2610000","6455-583-17","דירה בבית קומות","3","חמישית"
"61","ישורון 37","79.54","22/05/2024","2395000","6455-695-3","דירה בבית קומות","4","ראשונה"
"62","הגאולה 4","131.1","17/05/2024","3400000","6455-657-21","דירה בבית קומות","6","שביעית"
"63","רמתיים 13","123.9","13/05/2024","3575000","6455-1062-26","דירה בבית קומות","4","קומה ‎7‏"
"64","רמתיים 38","38","12/05/2024","130000","6455-571-2","חנות","לא ידוע","קרקע"
"65","יהושע בן גמלא 36","לא ידוע","02/05/2024","2989000","6448-3-1","ללא תיכנון","לא ידוע","לא ידוע"
"66","הגאולה 15","104.03","21/04/2024","2660000","6455-635-10","דירה בבית קומות","5","חמישית"
"67","משאבים 30","74.16","21/04/2024","2080000","6455-726-9","דירה בבית קומות","3","ראשונה"
"68","ישורון 58","121.5","18/04/2024","4080000","6455-1105-58","דירה בבית קומות","5","חמש עשרה"
"69","ההסתדרות 6","59","16/04/2024","2580000","6455-583-18","דירה בבית קומות","3","רביעית"
"70","ההסתדרות 8","לא ידוע","14/04/2024","140000","6455-584-23","דירה בבית קומות","4","ראשונה"
"71","ההסתדרות 8","164","10/04/2024","6050000","6455-584-24","דירה בבית קומות","6","תשיעית"
"72","הבנים 12","67.9","08/04/2024","1850000","6455-660-87","חנות","לא ידוע","קרקע"
"73","אלכסנדר פן 28","287","04/04/2024","1442000","6455-1038-1","דירה בבית קומות","6","ראשונה"
"74","ישורון 19","96.5","02/04/2024","2686000","6455-710-9","דירה בבית קומות","4","שלישית"
"75","הבוסתן 8","79.92","28/03/2024","2680000","6455-532-12","דירה בבית קומות","4","שניה"
"76","מגדיאל 7","67.8","18/03/2024","2450000","6455-565-24","דירה בבית קומות","3","ג"
"77","הבנים 12","20.15","28/02/2024","340000","6455-660-24","חנות","לא ידוע","קרקע"
"78","ההסתדרות 6","75","26/02/2024","251000","6455-583-2","משרד","לא ידוע","ראשונה"
"79","יהושע בן גמלא 41","115.46","20/02/2024","3500000","6455-1035-28","דירה בבית קומות","5","חמישית"
"80","עין חי 7","87","18/02/2024","1800000","6455-1121-19","דירה בבית קומות","3.5","רביעית"
"81","עין חי 7","87","17/02/2024","1800000","6455-1121-16","לא ידוע","4","רביעית"
"82","ישורון 21","93.78","12/02/2024","3045000","6455-756-3","דירה בבית קומות","4","ראשונה"
"83","רמתיים 7","95.5","07/02/2024","3425000","6455-1067-7","דירה בבית קומות","4","שלישית"
"84","הבנים 12","25.53","28/01/2024","455000","6455-660-19","חנות","לא ידוע","קרקע"
"85","רמתיים 38","101","23/01/2024","2500000","6455-571-18","דירה בבית קומות","4","שלישית"
"86","ישורון 41","159.5","17/01/2024","5000000","6455-748-4","דירה בבית קומות","5","קרקע+ראשונה"
"87","הבוסתן 8","135","16/01/2024","2680000","6455-532-9","דירה בבית קומות","5","שניה"
"88","הפרסה 12","68.6","04/01/2024","3300000","6455-451-1","דירה בבית קומות","3.5","א"
"89","הבוסתן 8","79.92","03/01/2024","59000","6455-532-19","משרד","4","שלישית"
"90","ישורון 39","88.85","31/12/2023","2450000","6455-693-4","דירה בבית קומות","4","שניה"
"91","הבנים 14","51.4","14/12/2023","4450000","6455-764-81","משרד","לא ידוע","שלישית"
"92","משאבים 14","97.89","13/12/2023","3165000","6455-567-20","דירה בבית קומות","4","קומה ‎5‏"
"93","הגאולה 7","105.52","26/11/2023","2615000","6455-677-1","דירה בבית קומות","4","ראשונה"
"94","הבנים 14","45.99","08/11/2023","333000","6455-764-69","משרד","לא ידוע","חמישית"
"95","הגאולה 23","82.23","29/10/2023","95000","6455-511-3","ללא תיכנון","4","א'"
"96","ישורון 41","155.5","10/10/2023","54000","6455-748-3","דירת גן","6","קרקע+ראשונה"
"97","ישורון 64","1482","30/08/2023","1864000","6455-431-1","קומבינציה","לא ידוע","לא ידוע"
"98","הגאולה 4","93.1","29/08/2023","2800000","6455-657-36","דירה בבית קומות","4","שניה"
"99","הגאולה 4","131.1","21/08/2023","3260000","6455-657-39","דירה בבית קומות","6","שלישית"
"100","עין חי 7","116","17/08/2023","3200000","6455-176-14","דירה בבית קומות","5","רביעית"
"101","הגאולה 18","92","16/08/2023","3000000","6455-754-6","דירה בבית קומות","4","שניה"
"102","רמתיים 7","95.5","13/08/2023","3460000","6455-1067-51","דירה בבית קומות","4","ארבע עשרה"
"103","רמתיים 7","110.5","30/07/2023","3650000","6455-1067-74","דירה בבית קומות","5","עשרים"
"104","רמתיים 9","100.7","30/07/2023","3250000","6455-1068-35","דירה בבית קומות","4","קומה ‎9‏"
"105","ישורון 9","86.28","19/07/2023","2700000","6455-658-17","דירה בבית קומות","4","חמישית"
"106","רמתיים 7","110.5","29/06/2023","3897000","6455-1067-62","דירה בבית קומות","5","שבע עשרה"
"107","הבנים 12","88.76","30/05/2023","517000","6455-660-49","דירה בבית קומות","4","שלישית"
"108","ישורון 11","115.16","28/05/2023","3320000","6455-642-3","דירה בבית קומות","4","שניה"
"109","ישורון 28","132","23/05/2023","4595000","6455-1138-10","דירה בבית קומות","5","קומה ‎5‏"
"110","הגאולה 7","103.92","17/05/2023","2620000","6455-677-15","דירה בבית קומות","4.5","שניה"
"111","משאבים 12","114","15/05/2023","3900000","6455-568-6","דירה בבית קומות","4","ראשונה"
"112","בית הבד 6","87.37","03/05/2023","2850000","6455-942-17","דירה בבית קומות","4","רביעית"
"113","עין חי 1","186","20/04/2023","310000","6455-182-1","מחסנים","לא ידוע","מרתף"
"114","ישורון 41","165","03/04/2023","4540000","6455-748-1","דירה בבית קומות","6","קרקע+ראשונה"
"115","הבנים 14","357.29","02/04/2023","4150000","6455-764-30","חנות","לא ידוע","קרקע+ביניים"
"116","פסנתר 19","253","09/03/2023","6825000","6451-487-2","קוטג' דו משפחתי","6","ראשונה"
