מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","המנופים 6","לא ידוע","17/07/2025","3010000","6592-29-13","מסחרי + משרדים","לא ידוע","לא ידוע"
"2","0","117","10/04/2025","4550000","6422-82-1","דירה בבית קומות","5","שביעית"
"3","יד חרוצים 3","45","23/03/2025","155000","6420-48-1","מסחרי + משרדים","לא ידוע","לא ידוע"
"4","0","130","12/03/2025","6981000","6422-82-2","דירה בבית קומות","5","שישית"
"5","0","138","20/02/2025","7000000","6422-82-3","דירה בבית קומות","5","שישית"
"6","המנופים 8","306.1","26/12/2024","6750000","6592-105-41","משרד","לא ידוע","רביעית"
"7","משכית 22","לא ידוע","26/12/2024","1450000","6420-85-32","משרד","לא ידוע","ראשונה"
"8","המדע 6","136","10/12/2024","2825000","6518-247-18","משרד","לא ידוע","רביעית"
"9","מדינת היהודים 99","453.81","28/11/2024","2000000","6518-248-9","משרד","לא ידוע","ראשונה"
"10","אריה שנקר 4","700","29/09/2024","5899000","6592-68-4","משרד","לא ידוע","שלישית"
"11","החושלים 8","390","03/09/2024","11500000","6592-141-3","משרד","לא ידוע","שלישית"
"12","משכית 22","52.28","02/09/2024","1000000","6420-85-37","משרד","לא ידוע","ראשונה"
"13","החושלים 5","196","01/08/2024","4800000","6592-148-8","משרד","לא ידוע","ראשונה"
"14","משכית 22","83.31","27/07/2024","2022000","6420-85-36","משרד","לא ידוע","ראשונה"
"15","המנופים 6","22","19/06/2024","200000","6592-29-12","משרדים + מגורים","לא ידוע","לא ידוע"
"16","משכית 22","לא ידוע","27/05/2024","411000","6420-85-34","משרד","לא ידוע","ראשונה"
"17","המנופים 8","378","26/05/2024","11900000","6592-105-50","משרד","לא ידוע","רביעית"
"18","גלגל הפלדה 7","72","18/04/2024","3097000","6420-127-1","משרד","לא ידוע","קרקע"
"19","מדינת היהודים 60","88.3","19/03/2024","2400000","6518-251-20","חנות","לא ידוע","קרקע"
"20","החושלים 8","1936","18/01/2024","46250000","6592-141-1","משרד","לא ידוע","חמישית"
"21","מדינת היהודים 60","47.8","20/11/2023","158650000","6518-251-4","משרד","לא ידוע","קרקע"
"22","משכית 25","1000","12/07/2023","5000000","6420-55-7","משרד","לא ידוע","ראשונה"
"23","המנופים 8","485.8","09/07/2023","13500000","6592-105-30","משרד","לא ידוע","שניה"
"24","החושלים 5","147","21/06/2023","6401000","6592-148-7","משרד","לא ידוע","שלישית"
"25","החושלים 5","214","30/05/2023","4388000","6592-148-6","משרד","לא ידוע","ראשונה"
"26","החושלים 5","95","13/04/2023","3753000","6592-148-5","משרד","לא ידוע","שלישית"
"27","הסדנאות 4","340.05","14/02/2023","2100000","6592-110-3","משרד","לא ידוע","קרקע"
"28","0","לא ידוע","24/01/2023","100018000","6420-109-1","ללא תיכנון","לא ידוע","לא ידוע"
"29","אריה שנקר 14","427","18/01/2023","11000000","6592-34-20","משרד","לא ידוע","שניה"
"30","המנופים 7","לא ידוע","04/01/2023","4040000","6592-42-1","ללא תיכנון","לא ידוע","לא ידוע"
"31","המנופים 5","לא ידוע","04/01/2023","7982000","6592-41-3","ללא תיכנון","לא ידוע","לא ידוע"
"32","המנופים 5","לא ידוע","04/01/2023","2878000","6592-41-2","משרד","לא ידוע","ראשונה"
"33","המנופים 5","לא ידוע","04/01/2023","2423000","6592-41-1","מסחרי + משרדים","לא ידוע","לא ידוע"
"34","משכית 22","לא ידוע","19/12/2022","210000","6420-85-12","מחסנים","לא ידוע","קרקע"
"35","משכית 22","100","19/12/2022","2889000","6420-85-11","משרד","לא ידוע","קרקע"
"36","אבא אבן 8","לא ידוע","22/09/2022","65000000","6592-47-2","משרד","לא ידוע","ראשונה"
"37","החושלים 5","1249","21/09/2022","32100000","6592-148-4","משרד","לא ידוע","רביעית"
"38","החושלים 5","192","15/09/2022","6300000","6592-148-3","משרד","לא ידוע","שלישית"
"39","משכית 22","50.01","31/08/2022","1250000","6420-85-18","משרד","לא ידוע","קרקע"
"40","ספיר 6","לא ידוע","12/07/2022","20876000","6420-55-6","ללא תיכנון","לא ידוע","לא ידוע"
"41","המנופים 6","2007","28/04/2022","5000000","6592-29-11","ללא תיכנון","לא ידוע","לא ידוע"
"42","יוחנן הסנדלר 3","לא ידוע","25/04/2022","37000000","6420-42-1","חנות","לא ידוע","ראשונה"
"43","אריה שנקר 4","65","20/03/2022","1600000","6592-68-3","משרד","לא ידוע","חמישית"
"44","גלגל הפלדה 11","2682","09/03/2022","68500000","6420-27-19","משרד","לא ידוע","ראשונה"
"45","גלגל הפלדה 11","325","09/03/2022","6500000","6420-27-18","משרד","לא ידוע","רביעית"
"46","אבא אבן 17","3972","01/03/2022","25703000","6420-30-1","ללא תיכנון","לא ידוע","לא ידוע"
"47","משכית 22","133.44","23/02/2022","2450000","6420-85-49","משרד","לא ידוע","שניה"
"48","0","7115","22/02/2022","2356000","6592-58-1","מגורים","לא ידוע","לא ידוע"
"49","חרש 3","4968","22/02/2022","2821000","6420-94-6","קרקע למגורים","לא ידוע","לא ידוע"
"50","גלגל הפלדה 7","לא ידוע","20/01/2022","21000000","6420-32-1","משרד","לא ידוע","ראשונה"
"51","חרש 3","340","04/01/2022","4749000","6420-94-5","משרד","לא ידוע","לא ידוע"
