מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,דוד שמעוני 29,122,2025,2598000,10049-254-2,דירה בבית,5,21295
2,יחיעם 5,108,2025,2429000,10049-328-4,דירה בבית,4,22491
3,דוד שמעוני 29,98,2025,2327000,10049-254-52,דירה בבית,4,23745
4,יחיעם 5,85,2025,2168000,10049-328-33,דירה בבית,3,25506
5,יחיעם 5,41.2,2025,1753000,10049-328-26,דירה בבית,2,42549
6,דוד שמעוני 29,41,2025,1666000,10049-254-60,דירה בבית,2,40634
7,דוד שמעוני 29,41,2025,1697000,10049-254-84,דירה בבית,2,41390
8,פרנק 19,102,2025,1570000,10049-448-23,דירה בבית,4.5,15392
9,פרנק 21,80,2025,1415000,10049-448-22,דירה בבית,3,17688
10,דוד שמעוני 29,122,2025,2804000,10049-254-44,דירה בבית,5,22984
11,דוד שמעוני 29,98,2025,2425000,10049-254-49,דירה בבית,4,24745
12,פרנק 2,98,2025,2502000,10049-254-82,דירה בבית,4,25531
13,דוד שמעוני 29,34.5,2025,1719000,10049-254-21,דירה בבית,3,49826
14,דוד שמעוני 29,62,2025,1930000,10049-254-10,דירה בבית,3,31129
15,פרנק 13,80,2025,1460000,10049-448-21,דירה בבית,3.5,18250
16,דוד שמעוני 29,41,2025,1837000,10049-254-47,דירה בבית,3,44805
17,דוד שמעוני 29,64,2025,1722000,10049-254-33,דירה בבית,3,26906
18,פרנק 11,80,2025,1600000,10049-448-20,דירת גן,3,20000
19,פרנק 21,80,2025,1370000,10049-448-19,דירה בבית,3,17125
20,דוד שמעוני 29,41,2025,1934000,10049-254-58,דירה בבית,3,47171
21,דוד שמעוני 29,122,2025,2667000,10049-254-8,דירה בבית,5,21861
22,דוד שמעוני 29,98,2025,2328000,10049-254-28,דירה בבית,4,23755
23,דוד שמעוני 29,122,2025,2732000,10049-254-32,דירה בבית,5,22393
24,דוד שמעוני 29,124,2025,2686000,10049-254-36,דירה בבית,5,21661
25,פרנק 13,80,2025,1400000,10049-448-24,דירה בבית,3.5,17500
26,דוד אלעזר 27,60,2025,1100000,10049-425-10,דירה בבית,3,18333
27,דוד שמעוני 29,98,2025,2258000,10049-254-1,דירה בבית,4,23041
28,דוד שמעוני 29,70,2025,2095000,10049-254-6,דירה בבית,3,29929
29,דוד שמעוני 29,34.1,2025,2448000,10049-254-5,דירה בבית,3,71789
30,דוד שמעוני 29,98,2025,2348000,10049-254-40,דירה בבית,4,23959
