מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
88,חטיבת הראל 5,147,2020,1855000,10042-334-2,קוטג' דו משפחתי,5,12619
89,חטיבת הראל 7,168.2,2020,590000,10042-333-5,דירה בבית,7,3508
90,הנגינות 32,105.9,2020,1750000,10042-498-3,דירה בבית,5,16525
91,חטיבת גבעתי 14,190,2020,2330000,10042-29-1,דירת גן,5,12263
92,חטיבת הראל 4,79.9,2020,154000,10042-345-3,דירה בבית,4,1927
93,הדרור 18,76.1,2020,1830000,10042-319-1,קוטג' דו משפחתי,3,24047
94,0,121,2020,1365000,10042-471-57,דירה בבית,5,11281
95,הזמיר 1,95,2020,1165000,10042-299-1,קוטג' חד משפחתי,3.5,12263
96,הנבל 7,110,2020,1308000,10042-472-44,דירה בבית,4,11891
98,רוטמן 11,58.98,2020,1480000,10042-484-3,דירה בבית,3,25093
100,הגיתית 25,105.2,2020,1050000,10042-399-2,דירה בבית,5,9981
101,ה 43,152.2,2020,2050000,10042-434-1,קוטג' דו משפחתי,6,13469
102,רוטמן 28,148,2020,1765000,10042-494-2,קוטג' דו משפחתי,5,11926
103,הגיתית 23,105.3,2020,1133000,10042-400-6,דירה בבית,5,10760
104,חטיבת הראל 12,79.8,2020,239000,10042-341-10,דירה בבית,4,2995
105,היסמין 19,135.5,2020,1655000,10042-487-1,דירה בבית,5,12214
