מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","חטיבת הראל 1","120.54","24/07/2025","2075000","10042-336-6","דירה בבית קומות","5","ראשונה"
"2","הגפן 16","101","14/07/2025","2400000","10042-371-2","קוטג' דו משפחתי","3","לא ידוע"
"3","הגיתית 19","105.2","10/07/2025","1700000","10042-401-2","דירה בבית קומות","5","ראשונה"
"4","חטיבת הראל 14","62","09/07/2025","1250000","10042-340-6","דירה בבית קומות","3","שלישית"
"5","הכינור 8","145.55","18/05/2025","2850000","10042-480-3","קוטג' דו משפחתי","5.5","קרקע וראשונה"
"6","הנבל 10","77.22","29/04/2025","2570000","10042-476-3","דירה בבית קומות","4","קרקע"
"7","חטיבת הראל 14","59.7","08/04/2025","1320000","10042-340-1","דירה בבית קומות","3.5","ראשונה"
"8","חטיבת הראל 8","62","12/03/2025","1195000","10042-343-10","דירה בבית קומות","3","שניה"
"9","הגיתית 25","105.3","19/02/2025","1800000","10042-399-1","דירה בבית קומות","5","ראשונה"
"10","חטיבת הראל 16","79.9","23/01/2025","1350000","10042-339-7","דירה בבית קומות","4","ראשונה"
"11","היסמין 29","203","20/01/2025","3290000","10042-283-3","קוטג' דו משפחתי","6","ראשונה"
"12","הגיתית 9","150","14/11/2024","903000","10042-433-1","קוטג' חד משפחתי","5","ראשונה"
"13","הגפן 18","78","11/11/2024","2340000","10042-370-3","קוטג' חד משפחתי","3","ראשונה"
"14","הכינור 8","88.41","07/11/2024","2250000","10042-480-2","דירה בבית קומות","3","קרקע"
"15","הגיתית 26","157","10/10/2024","2700000","10042-409-2","קוטג' דו משפחתי","5","ראשונה"
"16","רש"י 20","207","22/07/2024","4000000","10042-20-3","קוטג' חד משפחתי","5","ראשונה"
"17","הכינור 27","127.3","12/07/2024","2600000","10042-493-2","קוטג' דו משפחתי","5","קרקע ראשונה"
"18","חטיבת הראל 10","77.2","01/07/2024","1310000","10042-342-9","דירה בבית קומות","4","שניה"
"19","הנבל 6","160","23/06/2024","2912000","10042-474-4","קוטג' דו משפחתי","5","ראשונה"
"20","הנבל 7","182","02/06/2024","2400000","10042-472-59","דירה בבית קומות","5","ארבע עשרה"
"21","הנבל 7","152","21/03/2024","2230000","10042-472-63","דירה בבית קומות","5","שניה"
"22","הגפן 7","95","16/01/2024","866000","10042-366-1","קוטג' דו משפחתי","4","קרקע"
"23","הנבל 7","70","27/12/2023","1685000","10042-472-57","דירה בבית קומות","3","חמש עשרה"
"24","חטיבת הראל 14","62","21/12/2023","1190000","10042-340-4","דירה בבית קומות","3","שניה"
"25","הגיתית 25","105.3","12/12/2023","1650000","10042-399-6","דירה בבית קומות","5","שלישית"
"26","הדרור 14","208","11/12/2023","3000000","10042-355-1","קוטג' דו משפחתי","5","ראשונה"
"27","0","125","31/08/2023","920000","10042-520-3","קרקע למגורים","לא ידוע","לא ידוע"
"28","רש"י 32","170","28/07/2023","3150000","10042-508-1","קוטג' דו משפחתי","6","ראשונה"
"29","רש"י 20","206","19/07/2023","3350000","10042-20-2","קוטג' חד משפחתי","5","ראשונה"
"30","הגיתית 32","148.5","10/07/2023","2750000","10042-406-4","קוטג' דו משפחתי","5","קרקע ראשונה"
"31","הכינור 4","88.23","09/07/2023","1850000","10042-482-4","קוטג' חד משפחתי","4","קרקע"
"32","חטיבת הראל 12","79.8","25/04/2023","329000","10042-341-12","דירה בבית קומות","4","שלישית"
"33","חטיבת גבעתי 21","202","29/03/2023","3700000","10042-36-2","קוטג' דו משפחתי","5","ראשונה"
"34","הנגינות 65","808","22/03/2023","2750000","10042-456-1","קוטג' חד משפחתי","5","ראשונה"
"35","הנבל 7","110","16/02/2023","2400000","10042-472-54","דירה בבית קומות","4","ראשונה"
"36","הגפן 6","123","27/12/2022","2470000","10042-375-3","קוטג' דו משפחתי","4","ראשונה"
"37","הגיתית 17","105.3","11/12/2022","1240000","10042-402-4","דירה בבית קומות","4","שניה"
"38","חטיבת הראל 16","59.7","04/12/2022","1230000","10042-339-4","דירה בבית קומות","3.5","שניה"
"39","היסמין 29","223","30/11/2022","3250000","10042-283-2","קוטג' דו משפחתי","5","ראשונה"
"40","הנבל 7","112","15/11/2022","2000000","10042-472-65","דירה בבית קומות","5","שישית"
"41","הנבל 7","152","21/09/2022","2200000","10042-472-53","דירה בבית קומות","5","עשירית"
"42","הנבל 7","112","05/09/2022","2100000","10042-472-66","דירה בבית קומות","5","אחת עשרה"
"43","היסמין 17","247","18/08/2022","3050000","10042-289-3","קוטג' חד משפחתי","6","ראשונה"
"44","הגיתית 16","134.4","24/05/2022","2470000","10042-414-4","קוטג' דו משפחתי","5","קרקע וראשונה"
"45","חטיבת הראל 4","77.2","24/03/2022","255000","10042-345-6","דירה בבית קומות","4","שלישית"
"46","הכינור 7","143.24","02/03/2022","2800000","10042-478-3","קוטג' דו משפחתי","7","קרקע, ראשונה"
"47","חטיבת הראל 10","79.8","21/02/2022","149000","10042-342-8","דירה בבית קומות","4","ראשונה"
"48","חטיבת גבעתי 6","280","13/02/2022","2320000","10042-27-1","קוטג' חד משפחתי","7","ראשונה"
"49","חטיבת הראל 10","79.9","03/02/2022","910000","10042-342-5","דירה בבית קומות","4","שלישית"
"50","חטיבת הראל 10","77.2","19/01/2022","900000","10042-342-7","דירה בבית קומות","4","ראשונה"
"51","הכינור 3","148.61","18/01/2022","2250000","10042-479-3","דירה בבית קומות","5","קרקע + ראשונה"
"52","הגפן 14","38","16/01/2022","800000","10042-372-2","קוטג' דו משפחתי","1","קרקע"
"53","הגפן 14","71","16/01/2022","1250000","10042-372-1","קוטג' דו משפחתי","3","קרקע"
"54","חטיבת הראל 12","79.9","05/01/2022","900000","10042-341-11","דירה בבית קומות","3","שלישית"
"55","רש"י 18","240","02/12/2021","2650000","10042-282-1","קוטג' דו משפחתי","5","ראשונה"
