מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","יום הכיפורים 27","113.18","13/07/2025","2900000","6750-247-9","דירה בבית קומות","5","שלישית"
"2","מפרץ שלמה 43","87.7","08/07/2025","2050000","6750-296-16","דירה בבית קומות","4","רביעית"
"3","שער ציון 14","52","06/07/2025","1850000","7344-73-52","דירה בבית קומות","3","ראשונה"
"4","צפת 7","78.15","03/07/2025","2060000","6755-323-5","דירה בבית קומות","4","שניה"
"5","משה שרת 18","106","30/06/2025","2680000","7344-107-76","דירה בבית קומות","4.5","רביעית"
"6","גבעת התחמושת 33","105.43","29/06/2025","2150000","6755-332-1","דירה בבית קומות","5","ראשונה"
"7","עמק דותן 1","73","09/06/2025","1780000","7341-32-27","לא ידוע","3","שביעית"
"8","יריחו 22","81","03/06/2025","1950000","6750-268-7","דירה בבית קומות","4","שלישית"
"9","בית לחם 18","88.6","22/05/2025","2500000","7341-9-21","דירה בבית קומות","4","קומה ‎5‏"
"10","קרית שמונה 7","109.32","11/05/2025","2000000","6750-231-10","דירה בבית קומות","5","שניה"
"11","בית לחם 20","62","29/04/2025","1700000","7341-10-14","דירה בבית קומות","3","רביעית"
"12","אח"י דקר 6","65","10/04/2025","1200000","7341-26-11","דירה בבית קומות","3","שניה"
"13","אח"י דקר 1","82","08/04/2025","1875000","7341-29-15","דירה בבית קומות","3.5","רביעית"
"14","צפת 1","100","01/04/2025","2303000","6755-329-12","דירה בבית קומות","5","רביעית"
"15","0","126","23/03/2025","3496000","7341-106-32","דירה בבית קומות","5","שישית"
"16","גבעת התחמושת 4","90","23/03/2025","2150000","7344-16-21","דירה בבית קומות","3.5","חמישית"
"17","אח"י דקר 14","65","19/03/2025","3366000","7341-25-14","דירה בבית קומות","3","שלישית"
"18","עמק דותן 1","73","19/03/2025","1770000","7341-32-23","דירה בבית קומות","3","שישית"
"19","קרן קיימת 20","89.05","17/03/2025","2350000","6750-255-9","דירה בבית קומות","4","שלישית"
"20","בית לחם 10","75","16/03/2025","2140000","7344-24-21","דירה בבית קומות","4","שלישית"
"21","קרית שמונה 29","87.5","10/03/2025","2240000","6750-288-5","דירה בבית קומות","4","שניה"
"22","מטולה 20","88.85","06/03/2025","2400000","6757-256-4","דירה בבית קומות","4","שניה"
"23","בית לחם 10","102","04/03/2025","2000000","7344-24-19","דירה בבית קומות","5","רביעית"
"24","יום הכיפורים 28","122.5","28/02/2025","2650000","6750-318-7","דירה בבית קומות","4","שלישית"
"25","מפרץ שלמה 31","69.8","27/02/2025","1900000","6755-293-37","דירה בבית קומות","4","שישית"
"26","קרן היסוד 21","81.19","26/02/2025","2050000","6750-237-15","דירה בבית קומות","4","רביעית"
"27","0","76","25/02/2025","2641000","7341-106-33","דירה בבית קומות","3","חמש עשרה"
"28","בית לחם 10","97","25/02/2025","2400000","7344-24-67","דירה בבית קומות","4","חמישית"
"29","קרן קיימת 22","97.98","16/02/2025","2650000","6750-254-15","דירה בבית קומות","5","חמישית ושישית"
"30","צפת 7","88.5","11/02/2025","2849000","6755-323-13","דירה בבית קומות","5","רביעית+חמישית"
"31","דוד אלעזר 81","96","09/02/2025","2220000","6757-234-9","לא ידוע","4","שלישית"
"32","קרן היסוד 22","79.8","06/02/2025","2150000","7344-90-15","דירה בבית קומות","4","רביעית"
"33","שער ציון 16","52","06/02/2025","1930000","7344-73-70","דירה בבית קומות","3","שניה"
"34","אלופי צה"ל 27","96","03/02/2025","1900000","7344-107-52","דירה בבית קומות","4","שישית"
"35","עטרות 3","73","03/02/2025","2050000","7341-38-23","דירה בבית קומות","3","שישית"
"36","צפת 15","88.24","30/01/2025","2230000","6757-247-12","דירה בבית קומות","4","רביעית"
"37","בית לחם 14","75.4","29/01/2025","1870000","7341-8-27","דירה בבית קומות","4","שלישית"
"38","צפת 4","98","27/01/2025","3230000","6755-319-17","דירה בבית קומות","5","חמישית ושישית"
"39","קרן קיימת 18","110.04","26/01/2025","2800000","6750-256-13","דירה בבית קומות","5","חמישית ששית"
"40","יריחו 24","87","22/01/2025","2340000","6750-267-10","דירה בבית קומות","4","רביעית"
"41","בית לחם 18","80.26","22/01/2025","2070000","7341-9-13","דירה בבית קומות","4","קומה ‎3‏"
"42","אח"י דקר 16","65","19/01/2025","2216000","7341-25-2","דירה בבית קומות","3","ראשונה"
