מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
16,נתן אלבז 21,42,2023,250000,10679-31-8,דירה בבית,3,5952
17,האלה 28,35,2023,840000,10678-90-4,דירה בבית,2,24000
18,לוי אשכול 15,88.16,2023,228000,10678-11-4,דירה בבית,4,2586
19,האלה 20,54,2023,650000,10678-88-12,דירה בבית,3,12037
20,ויצמן 51,44.2,2023,915000,10677-59-17,דירה בבית,3,20701
21,האלה 36,54,2023,750000,10679-118-5,דירה בבית,3,13889
22,כג יורדי הסירה 5,63.3,2023,1790000,10677-33-3,דירה בבית,2,28278
23,ויצמן 53,44.2,2023,238000,10677-57-11,דירה בבית,3,5385
24,האלה 36,44,2023,205000,10679-118-23,דירה בבית,2,4659
25,ויצמן 51,44.2,2023,350000,10677-59-5,דירה בבית,3,7919
26,הארז 11,34.7,2023,800000,10679-29-3,דירה בבית,3,23055
27,דוד נורי 26,84.5,2023,368000,10677-46-6,דירה בבית,3,4355
28,דוד נורי 58,114,2023,2170000,10677-48-6,דירה בבית,4,19035
