מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,ח'לת אל-ראעי 22,307,"2025","220000",18581-51-8,ללא תיכנון,לא ידוע,לא ידוע
2,0,1080,"2025","80000",18567-55-4,ללא תיכנון,לא ידוע,לא ידוע
3,0,1343,"2025","200000",18578-16-1,ללא תיכנון,לא ידוע,לא ידוע
4,0,1077,"2025","500000",18579-26-2,ללא תיכנון,לא ידוע,לא ידוע
5,0,497,"2025","241000",18563-10-1,מגורים,לא ידוע,לא ידוע
6,חבאל אל-ביר 3,372,"2025","200000",18566-97-2,תעשיה,לא ידוע,לא ידוע
7,אל-ורוד 2,500,"2025","600000",18564-3-1,קרקע למגורים,לא ידוע,לא ידוע
8,0,563,"2025","100000",19600-40-1,ללא תיכנון,לא ידוע,לא ידוע
9,0,1115,"2024","1059000",18579-72-1,תעשיה,לא ידוע,לא ידוע
10,0,1000,"2024","950000",18579-72-2,תעשיה,לא ידוע,לא ידוע
11,0,211,"2024","200000",18579-87-7,ללא תיכנון,לא ידוע,לא ידוע
12,0,1000,"2024","200000",19600-3-2,ללא תיכנון,לא ידוע,לא ידוע
13,0,16880,"2024","100000",19600-3-1,לא מעובדת,לא ידוע,לא ידוע
14,0,1596,"2024","500000",18567-56-1,ללא תיכנון,לא ידוע,לא ידוע
15,0,1500,"2024","50000",18577-94-2,ללא תיכנון,לא ידוע,לא ידוע
16,אל-קודס 21,1665,"2024","266000",18566-44-1,מסחרי + משרדים,לא ידוע,לא ידוע
17,אל-פוראט 1,43512,"2024","200000",19600-38-4,לא מעובדת,לא ידוע,לא ידוע
18,אל-ארז 1,98,"2024","700000",18565-12-1,דירה בבית קומות,3,שניה
19,0,257,"2024","257000",18579-60-2,מסחרי + מגורים,לא ידוע,לא ידוע
20,0,1000,"2024","300000",18567-46-5,ללא תיכנון,לא ידוע,לא ידוע
21,אל-מראעי 1,721,"2024","648000",18585-13-1,קרקע למגורים,לא ידוע,לא ידוע
22,0,1000,"2024","300000",18567-46-2,ללא תיכנון,לא ידוע,לא ידוע
23,0,498,"2024","450000",18566-129-2,קרקע למגורים,לא ידוע,לא ידוע
24,0,135,"2024","50000",18586-41-2,קרקע למגורים,לא ידוע,לא ידוע
25,סלמאן אל-פארסי 10,866,"2024","368000",18579-93-2,תעשיה,לא ידוע,לא ידוע
26,0,811,"2024","730000",18586-41-1,קרקע למגורים,לא ידוע,לא ידוע
27,ח'לת אל-ראעי 22,650,"2024","474000",18581-51-7,קרקע למגורים,לא ידוע,לא ידוע
28,0,1211,"2024","250000",18576-78-6,ללא תיכנון,לא ידוע,לא ידוע
29,ואדי אל-דריג'את 2,150,"2024","110000",18566-61-5,ללא תיכנון,לא ידוע,לא ידוע
30,0,450,"2024","450000",18579-84-3,תעשיה,לא ידוע,לא ידוע
31,0,1000,"2024","150000",18567-46-1,ללא תיכנון,לא ידוע,לא ידוע
32,0,1000,"2024","125000",18551-12-1,ללא תיכנון,לא ידוע,לא ידוע
33,0,563,"2024","311000",18563-10-2,מגורים,לא ידוע,לא ידוע
34,0,1000,"2024","210000",19600-16-3,לא מעובדת,לא ידוע,לא ידוע
35,אל-בוחתרי 1,130,"2024","900000",18565-9-6,דירה בבית קומות,4,ראשונה
36,0,556,"2024","446000",18563-10-3,מגורים,לא ידוע,לא ידוע
37,0,226,"2024","200000",18579-87-6,ללא תיכנון,לא ידוע,לא ידוע
38,ואדי אל-דריג'את 2,150,"2024","110000",18566-61-4,קרקע למגורים,לא ידוע,לא ידוע
39,אל-עטא'א 8,171,"2024","111000",18565-15-1,ללא תיכנון,לא ידוע,לא ידוע
40,0,1000,"2024","800000",18566-129-1,קרקע למגורים,לא ידוע,לא ידוע
41,אל-קודס 112,174,"2024","62000",18565-101-1,חניה,לא ידוע,לא ידוע
42,0,622,"2024","550000",18560-1-1,מגורים,לא ידוע,לא ידוע
43,0,660,"2024","390000",18566-21-1,קרקע למגורים,לא ידוע,לא ידוע
44,0,1743,"2024","226000",12196-80-2,ללא תיכנון,לא ידוע,לא ידוע
45,0,1000,"2024","60000",18567-28-1,ללא תיכנון,לא ידוע,לא ידוע
46,0,2219,"2024","145000",18567-35-1,ללא תיכנון,לא ידוע,לא ידוע
47,0,508,"2024","265000",18563-10-4,מגורים,לא ידוע,לא ידוע
48,0,150,"2024","112000",18579-57-3,ללא תיכנון,לא ידוע,לא ידוע
49,0,7079,"2024","220000",19600-16-2,ללא תיכנון,לא ידוע,לא ידוע
50,סלמאן אל-פארסי 52,73,"2024","60000",18579-70-1,קרקע למגורים,לא ידוע,לא ידוע
