מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
186,אגס 7,200,2018,3270000,5170-70-1,קוטג' חד משפחתי,8,16350
187,ז'בוטינסקי 3,111.95,2018,1835000,5170-213-9,דירה בבית,4,16391
188,0,270,2018,2375000,5181-86-4,קוטג' דו משפחתי,6,8796
189,0,299,2018,3900000,5181-86-5,קוטג' דו משפחתי,5,13043
190,ז'בוטינסקי 11,97,2018,1740000,5170-213-39,דירה בבית,4,17938
191,ז'בוטינסקי 9,90.03,2018,1740000,5170-213-146,דירה בבית,4,19327
192,ז'בוטינסקי 5,112.31,2018,2035000,5170-213-128,דירה בבית,5,18119
193,ז'בוטינסקי 3,93.27,2018,1820000,5170-213-102,דירה בבית,4,19513
194,ז'בוטינסקי 11,121.76,2018,1800000,5170-213-6,דירה בבית,5,14783
196,כחלית 8,400,2018,3550000,4948-98-1,קוטג' דו משפחתי,7,8875
197,אתרוג 8,47,2018,1900000,5170-199-1,קוטג' חד משפחתי,2,40426
198,צאלון 23,190,2018,2700000,5180-144-1,קוטג' דו משפחתי,7,14211
199,דולב 2,188,2018,3000000,4905-93-1,קוטג' דו משפחתי,7,15957
200,ז'בוטינסקי 3,106.26,2018,1760000,5170-213-24,דירה בבית,4,16563
201,מרגנית 22,213,2018,3280000,5066-33-1,קוטג' חד משפחתי,7,15399
202,סתוונית 48,220,2018,3500000,5065-123-2,קוטג' חד משפחתי,6,15909
203,ערמון 4,311,2018,3300000,5181-49-2,קוטג' דו משפחתי,6,10611
204,השרון 49,226,2018,3300000,4948-189-1,קוטג' חד משפחתי,6,14602
205,ציפורן 8,240,2018,3399000,5065-47-1,דירה בבית,6,14163
206,לוע הארי 22,165,2018,3475000,4947-119-1,קוטג' חד משפחתי,6,21061
207,חצב 46,168,2018,3195000,4948-174-1,דירה בבית,6,19018
208,ציפורן 14,201,2018,2500000,5065-44-1,קוטג' חד משפחתי,6,12438
209,ז'בוטינסקי 3,112.1,2018,1850000,5170-213-27,דירה בבית,4,16503
210,0,169,2018,3050000,5181-86-6,קוטג' דו משפחתי,5,18047
211,ז'בוטינסקי 11,99.96,2018,1660000,5170-213-22,דירה בבית,4,16607
