מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
81,0,131,2022,2200000,12566-124-4,דירה בבית,5,16794
82,0,143,2022,2365000,12566-123-1,דירה בבית,5,16538
83,אביטל 21,107.7,2022,2700000,12569-123-2,דירה בבית,5,25070
84,0,131,2022,2400000,12566-125-7,דירה בבית,5,18321
85,גולן 17,102.84,2022,1998000,12566-108-32,דירה בבית,4,19428
86,יער אודם 4,78.92,2022,1565600,12569-49-68,דירה בבית,4,19838
87,אביטל 66,83.6,2022,2050000,12566-51-42,דירה בבית,4,24522
88,אביטל 69,88.3,2022,1720000,12566-104-17,דירה בבית,4,19479
89,0,162,2022,2950000,12566-124-5,דירה בבית,5,18210
90,יער אודם 4,78.36,2022,1200000,12569-49-74,דירה בבית,4,15314
91,יער אודם 4,76.31,2022,1325000,12569-49-75,דירה בבית,4,17363
92,יער אודם 14,89.35,2022,1555000,12569-64-22,דירה בבית,4,17403
93,גולן 9,142,2022,3500000,12566-4-35,דירה בבית,5,24648
94,0,152,2022,2750000,12566-123-2,דירה בבית,5,18092
95,גולן 15,103.28,2022,2050000,12566-108-26,דירה בבית,4,19849
96,החרמון 88,91,2022,1550000,12567-58-19,דירה בבית,3,17033
97,0,180,2022,2320000,12566-3-1,דירה בבית,5,12889
98,אורטל 17,81.85,2022,1330000,12567-63-5,דירה בבית,4.5,16249
99,0,147,2022,2295000,12566-123-3,דירה בבית,5,15612
100,אורטל 23,87.85,2022,1800000,12567-66-2,דירה בבית,4,20489
101,החרמון 28,115.2,2022,2600000,12567-8-2,דירה בבית,6,22569
102,יער אודם 40,113,2022,1400000,12567-59-7,דירה בבית,4,12389
103,יער אודם 4,95.99,2022,1550000,12569-49-58,דירה בבית,4,16148
104,0,140,2022,2340000,12566-123-4,דירה בבית,5,16714
105,אורטל 5,83.8,2022,1250000,12567-61-6,דירה בבית,4.5,14916
106,אביטל 72,110.1,2022,2250000,12566-54-2,דירה בבית,4,20436
107,אורטל 25,81.25,2022,1500000,12567-67-9,דירה בבית,4,18462
108,0,160,2022,2320000,12566-3-3,דירה בבית,5,14500
109,יער אודם 4,122.55,2022,2050000,12569-49-62,דירה בבית,4,16728
110,אכזיב 5,118.4,2022,2800000,12569-78-2,דירה בבית,6,23649
111,0,160,2022,2638000,12566-123-5,דירה בבית,5,16488
112,אביטל 71,82.46,2022,1470000,12566-104-26,דירה בבית,4,17827
113,גולן 19,103.6,2022,1905000,12566-108-2,דירה בבית,4,18388
114,בנטל 46,121.43,2022,2800000,12566-29-2,קוטג' דו משפחתי,5,23059
115,בנטל 36,121.43,2022,2490000,12566-34-2,דירה בבית,5,20506
116,אביטל 69,124.79,2022,2350000,12566-104-33,דירה בבית,5,18832
117,מירון 12,135.77,2022,2670000,12569-83-1,דירה בבית,5,19666
118,0,121,2022,2040000,12566-3-4,דירה בבית,5,16860
119,נחל שורק 10,120,2022,1100000,12567-47-18,דירה בבית,4,9167
120,בנטל 6,122.37,2022,2900000,12566-56-1,קוטג' דו משפחתי,5,23699
121,אורטל 12,81.8,2022,1330000,12567-69-12,דירה בבית,4,16259
122,יער אודם 26,114.35,2022,1400000,12567-53-40,דירה בבית,5,12243
123,אורטל 11,72,2022,1150000,12567-62-5,דירה בבית,3,15972
124,נחל שורק 9,136,2022,2500000,12567-49-3,דירה בבית,5,18382
125,נחל שורק 10,86,2022,1108000,12567-47-17,דירה בבית,3,12884
126,אביטל 5,86.9,2022,1970000,12569-115-3,קוטג' דו משפחתי,4,22670
127,יער אודם 4,91.47,2022,1460000,12569-49-37,דירה בבית,4,15962
128,בנטל 18,122.58,2022,2475000,12566-51-66,דירה בבית,5,20191
129,אביטל 71,88.3,2022,1500000,12566-104-23,דירה בבית,4,16988
130,אביטל 71,82.24,2022,1550000,12566-104-13,דירה בבית,4,18847
131,יער אודם 26,114.35,2022,1440000,12567-53-49,דירה בבית,5,12593
132,החרמון 23,116,2022,2200000,12567-22-16,דירה בבית,5,18966
133,אביטל 43,86.9,2022,246000,12569-133-1,קוטג' דו משפחתי,4,2831
134,יער אודם 4,79.09,2022,1125000,12569-49-69,דירה בבית,4,14224
135,יער אודם 16,86.83,2022,1280000,12569-64-5,דירת גן,4,14741
