מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
