מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","0","147","30/06/2025","5080000","30194-91-67","דירה בבית קומות","6","עשרים ואחת"
"2","0","81","24/06/2025","3221000","30194-91-68","דירה בבית קומות","3","שמינית"
"3","אברהם פררה 3","100.45","24/06/2025","3300000","30194-92-330","דירה בבית קומות","4","קומה ‎10‏"
"4","0","81","09/06/2025","3193000","30194-91-69","דירה בבית קומות","3","חמישית"
"5","אברהם פררה 5","70.75","26/05/2025","2300000","30194-92-236","דירה בבית קומות","3","קומה ‎3‏"
"6","0","96","29/04/2025","2900000","30194-90-55","לא ידוע","4","קומה ‎11‏"
"7","אברהם פררה 7","94.16","06/04/2025","2900000","30194-92-177","דירה בבית קומות","4","קומה ‎3‏"
"8","0","58.17","02/04/2025","2135000","30194-90-71","דירה בבית קומות","2.5","קומה ‎14‏"
"9","0","130","30/03/2025","4557000","30194-91-70","דירה בבית קומות","5","שמונה עשרה"
"10","0","78","26/03/2025","2700000","30194-101-92","לא ידוע","3","שישית"
"11","אברהם פררה 9","100.84","02/03/2025","2970000","30194-92-103","לא ידוע","4","קומה ‎2‏"
"12","אברהם פררה 9","116","23/02/2025","4300000","30194-92-86","דירה בבית קומות","4","מרתף ‎-1‏"
"13","0","130","23/01/2025","4700000","30194-91-71","דירה בבית קומות","5","תשע עשרה"
"14","0","130","31/12/2024","4450000","30194-91-72","דירה בבית קומות","5","עשרים וחמש"
"15","0","130","30/12/2024","4560000","30194-91-78","דירה בבית קומות","5","עשרים ושלוש"
"16","אברהם פררה 3","114.6","24/12/2024","2754000","30194-92-302","דירה בבית קומות","4","קומה ‎5‏"
"17","0","186","23/12/2024","13500000","30194-91-79","דירה בבית קומות","6","שלושים ואחת"
"18","0","130","19/12/2024","4420000","30194-91-80","דירה בבית קומות","5","תשיעית"
"19","0","110","15/12/2024","3930000","30194-91-81","דירה בבית קומות","4","שמינית"
"20","0","147","05/12/2024","4982000","30194-91-82","דירה בבית קומות","6","עשרים"
