מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
110,מקווה ישראל 128,54.1,2019,1520000,30100-134-49,דירה בבית,3,28096
111,לוי אשכול 120,95,2019,2650000,30100-123-24,דירה בבית,5,27895
112,לוי אשכול 124,70,2019,2000000,30100-125-3,דירה בבית,3,28571
113,מחל 28,104.1,2019,2450000,31331-30-36,דירה בבית,4,23535
114,מחל 10,94.2,2019,1742000,31331-34-47,דירה בבית,3.5,18493
115,לוי אשכול 121,84,2019,2150000,30100-129-6,דירה בבית,4,25595
116,מקווה ישראל 118,66,2019,2050000,30100-131-9,דירה בבית,3,31061
117,נטר 125,77,2019,925000,30100-202-15,דירה בבית,3,12013
118,מקווה ישראל 128,60,2019,300000,30100-134-2,דירה בבית,3,5000
119,לוי אשכול 121,84,2019,2110000,30100-129-4,דירה בבית,3,25119
120,מחל 2,98,2019,2300000,31331-36-13,דירה בבית,4,23469
121,נטר 135,58,2019,1665000,30102-252-18,דירה בבית,3,28707
122,אליעזר סוקניק 11,99,2019,2549000,30102-235-6,דירה בבית,5,25747
123,מחל 8,98.7,2019,2100000,31331-35-31,דירה בבית,3,21277
