מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,מקור חיים 17,89.7,2025,4140000,30141-236-25,דירה בבית,4,46154
2,הפרסה 2,105,2025,3900000,30130-341-3,דירה בבית,4,37143
3,הפרסה 2,105,2025,3880000,30130-341-4,דירה בבית,4,36952
4,0,41,2025,2075000,30130-5-49,דירה בבית,2,50610
5,מקור חיים 12,93.25,2025,4357000,30198-85-21,דירה בבית,4,46724
6,מקור חיים 38,104.5,2025,4700000,30141-225-15,דירה בבית,4,44976
7,מקור חיים 17,107.9,2025,4980000,30141-236-31,דירה בבית,4,46154
8,הפרסה 2,105,2025,3550000,30130-341-5,דירה בבית,3,33810
9,0,118,2025,5700000,30130-171-3,דירה בבית,4,48305
10,מקור חיים 35,114,2025,6335000,30141-113-20,דירה בבית,4,55570
11,0,133,2025,6400000,30130-171-4,דירה בבית,5,48120
12,0,140,2025,5940000,30130-5-50,דירה בבית,6,42429
13,0,75,2025,3050000,30130-5-48,דירה בבית,3,40667
14,0,112,2025,5214000,30130-171-5,דירה בבית,5,46554
16,מקור חיים 17,117.6,2025,5200000,30141-236-30,דירה בבית,5,44218
17,מקור חיים 17,113.2,2025,5000000,30141-236-26,דירה בבית,5,44170
18,אביטל 4,68.2,2025,1900000,30130-22-9,דירה בבית,3,27859
19,0,49,2025,2090000,30130-5-51,דירה בבית,2,42653
20,מקור חיים 13,79.54,2025,3131300,30141-41-2,דירה בבית,3,39368
21,מקור חיים 17,90.2,2025,3950000,30141-236-11,דירה בבית,4,43792
22,הפרסה 2,85,2025,3580000,30130-341-2,דירה בבית,3,42118
23,מקור חיים 17,98.8,2024,4600000,30141-236-21,דירה בבית,4,46559
24,מקור חיים 17,52.4,2024,2450000,30141-236-10,דירה בבית,2,46756
25,מקור חיים 7,85.1,2024,2750000,30198-41-28,דירה בבית,4,32315
26,מקור חיים 35,109,2024,4500000,30141-113-21,דירה בבית,4,41284
27,מקור חיים 55,105,2024,4526000,30130-28-2,דירה בבית,4,43105
28,0,76,2024,2800000,30130-5-54,דירה בבית,3,36842
30,מקור חיים 35,210,2024,9000000,30141-113-22,דירה בבית,6,42857
31,0,131,2024,6400000,30130-5-55,דירה בבית,5,48855
32,0,111,2024,3723000,30130-5-56,דירה בבית,4,33541
