מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","0","לא ידוע","10/06/2025","670000","30049-184-5","משרד","1","ראשונה"
"2","0","56.25","08/06/2025","3150000","30043-90-2","דירה בבית קומות","3","ראשונה"
"3","0","36","05/06/2025","2485000","30037-166-14","דירה בבית קומות","1.5","שלישית"
"4","בן יהודה 34","275","04/06/2025","4385000","30846-5-16","משרד","לא ידוע","חמש עשרה"
"5","עליאש 9","38","25/05/2025","2000000","30845-4-7","דירה בבית קומות","2.5","שניה"
"6","0","49","22/05/2025","262000","30049-119-1","חנות","לא ידוע","ראשונה"
"7","0","32","22/05/2025","1500000","30049-119-5","דירה בבית קומות","1","חמישית"
"8","0","32","22/05/2025","1750000","30049-119-4","דירה בבית קומות","1","רביעית"
"9","0","לא ידוע","20/05/2025","489000","30049-71-105","משרד","לא ידוע","שניה"
"10","0","54.5","13/05/2025","487000","30035-152-155","לא ידוע","3","רביעית"
"11","המלך ג'ורג' 16","86","09/04/2025","3425000","30845-5-31","דירה בבית קומות","4","שניה"
"12","0","53","08/04/2025","1901000","30049-305-1","דירה בבית קומות","2","רביעית"
"13","0","44","01/04/2025","2513000","30074-509-5","דירה בבית קומות","2","חמישית"
"14","0","42","27/03/2025","2520000","30052-98-1","דירה בבית קומות","2","שישית"
"15","בן יהודה 34","67","18/03/2025","1516000","30846-5-15","משרד","לא ידוע","ראשונה"
"16","0","48","17/03/2025","1500000","30043-74-3","דירה בבית קומות","2","מרתף"
"17","0","88","06/03/2025","2777000","30049-305-2","דירה בבית קומות","4","חמישית"
"18","0","לא ידוע","05/03/2025","720000","30043-58-7","חנות","לא ידוע","קרקע"
"19","0","48","05/03/2025","2850000","30052-98-3","דירה בבית קומות","2","שישית"
"20","שץ 10","55","02/03/2025","2275000","30043-39-1","דירה בבית קומות","3","רביעית"
"21","0","54.5","02/03/2025","2270000","30035-152-126","דירה בבית קומות","3","שניה"
"22","0","55","26/02/2025","1505000","30049-305-3","דירה בבית קומות","2","ראשונה"
"23","0","68.62","20/02/2025","3050000","30847-6-2","דירה בבית קומות","3","כניסה"
"24","0","46","12/02/2025","2835000","30052-98-4","דירה בבית קומות","2","שישית"
"25","0","88","11/02/2025","2712000","30049-305-4","דירה בבית קומות","4","שלישית"
"26","0","103.6","10/02/2025","3532000","30052-81-10","דירה בבית קומות","4","קומה ‎1‏"
"27","0","64","10/02/2025","3050000","30037-164-128","דירה בבית קומות","2","חמישית"
"28","שץ 10","57","10/02/2025","2540000","30043-39-2","דירה בבית קומות","3","שלישית"
"29","עזרת ישראל 8","30","03/02/2025","1500000","30050-37-1","דירה בבית קומות","2","ראשונה"
"30","0","92.1","03/02/2025","4800000","30074-502-38","דירה בבית קומות","4","קומה ‎7‏"
"31","0","110","29/01/2025","3950000","30043-83-6","דירה בבית קומות","4","רביעית"
"32","0","131","29/01/2025","9500000","30037-164-129","דירה בבית קומות","5","חמישית"
"33","0","89","26/01/2025","3023000","30049-305-5","דירה בבית קומות","3","ראשונה"
"34","עזרת ישראל 8","35","26/01/2025","1601000","30050-37-2","דירה בבית קומות","3","ראשונה"
"35","0","48","23/01/2025","2730000","30052-98-6","דירה בבית קומות","2","ראשונה"
"36","0","29.4","21/01/2025","1250000","30035-152-24","דירה בבית קומות","2","שניה"
"37","0","119","21/01/2025","6500000","30037-164-130","דירה בבית קומות","4","ראשונה"
"38","0","89","20/01/2025","3300000","30049-305-7","דירה בבית קומות","3","חמישית"
"39","0","86","17/01/2025","2150000","30035-153-57","משרד","לא ידוע","שישית"
"40","0","68","15/01/2025","3964600","30037-103-17","דירה בבית קומות","4","שלישית"
"41","0","44","14/01/2025","2590000","30037-146-68","דירה בבית קומות","2","שמינית"
"42","0","לא ידוע","09/01/2025","79000","30037-164-131","מחסנים","לא ידוע","לא ידוע"
"43","0","לא ידוע","09/01/2025","1155000","30037-153-75","ללא תיכנון","לא ידוע","לא ידוע"
