מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","רמב"ן 51","58","10/07/2025","3025000","30025-16-3","דירה בבית קומות","3","שלישית"
"2","מולכו 7","59","27/06/2025","1826000","30026-90-10","דירה בבית קומות","3","שניה"
"3","יצחק בן צבי 39","78.61","19/06/2025","1831000","30040-86-186","דירה בבית קומות","3","עשירית"
"4","הרב הרצוג 2","46","04/06/2025","2500000","30025-188-8","דירה בבית קומות","2","שניה"
"5","חרל"פ 18","109","03/06/2025","7408000","30023-243-2","דירה בבית קומות","4","ראשונה"
"6","בן סרוק 4","75","28/05/2025","3300000","30025-164-5","לא ידוע","3","ראשונה"
"7","חרל"פ 18","70","22/04/2025","4686000","30023-243-3","דירה בבית קומות","3","לא ידוע"
"8","דיסקין 13","90","08/04/2025","4410000","30165-38-49","דירה בבית קומות","4","שניה"
"9","בלפור 14","922","07/04/2025","378000","30026-69-0","קרקע למגורים","לא ידוע","לא ידוע"
"10","בן מימון 23","80","02/04/2025","58000","30025-39-15","דירה בבית קומות","3","רביעית"
"11","אלפסי 25","41.7","02/04/2025","2740000","30025-113-2","דירה בבית קומות","2","קרקע"
"12","יצחק בן צבי 35","112","30/03/2025","4750000","30040-86-4","דירה בבית קומות","4","ראשונה"
"13","בנימין מטודלה 10","80","27/03/2025","4680000","30025-117-9","דירה בבית קומות","3","רביעית"
"14","בנימין מטודלה 10","64","27/03/2025","4950000","30025-117-6","דירה בבית קומות","3","שלישית"
"15","בנימין מטודלה 28","50","16/03/2025","2500000","30025-98-5","דירה בבית קומות","2","קרקע"
"16","ארלוזורוב 20","64","06/03/2025","2810000","30026-85-17","דירה בבית קומות","3","שלישית"
"17","התיבונים 8","77","26/02/2025","3400000","30025-158-11","דירה בבית קומות","3","שניה"
"18","בלפור 8","85","30/01/2025","5350000","30026-58-1","דירה בבית קומות","4","קרקע"
"19","עובדיה מברטנורה 4","71","23/01/2025","3115000","30026-80-9","דירה בבית קומות","3","שלישית"
"20","רד"ק 21","70","21/01/2025","700000","30026-99-15","דירה בבית קומות","3","שלישית"
"21","0","66","20/01/2025","1890000","30042-39-1","דירה בבית קומות","3","רביעית"
"22","בלפור 20","97","15/01/2025","5470000","30026-76-7","דירה בבית קומות","4","שניה"
"23","אלפסי 15","68","15/01/2025","3820000","30025-122-9","דירה בבית קומות","3","שניה"
"24","ארלוזורוב 10","78","14/01/2025","2050000","30026-59-8","דירה בבית קומות","4","ראשונה"
"25","0","89.7","14/01/2025","3800000","30038-160-4","דירה בבית קומות","4","ראשונה"
"26","בן מימון 6","87.17","13/01/2025","6387500","30026-3-5","דירה בבית קומות","3","שלישית"
"27","0","130","13/01/2025","7800000","30042-80-9","דירה בבית קומות","4","שלישית"
"28","האר"י 13","158","31/12/2024","14050000","30026-120-13","דירה בבית קומות","5","חמישית"
"29","דיסקין 9","107","22/12/2024","1325000","30165-53-30","דירה בבית קומות","5","תשיעית"
"30","בנימין מטודלה 26","49","19/12/2024","2870000","30025-99-10","דירה בבית קומות","2","שלישית"
"31","דיסקין 15","142","18/12/2024","549000","30165-38-48","דירה בבית קומות","5","שישית"
"32","יצחק בן צבי 37","102.36","18/12/2024","3800000","30040-86-75","דירה בבית קומות","4","שמינית"
"33","חרל"פ 18","80","17/12/2024","5350000","30023-243-4","דירה בבית קומות","3","ראשונה"
"34","0","109","15/12/2024","7825000","30038-86-1","דירה בבית קומות","4","ראשונה"
"35","אלפסי 9","38","12/12/2024","375000","30025-126-1","מחסנים","לא ידוע","מרתף"
"36","אלפסי 9","90","12/12/2024","5800000","30025-126-2","קרקע למגורים","לא ידוע","תחתונה"
"37","אלפסי 9","90","12/12/2024","5200000","30025-126-6","דירה בבית קומות","4","שניה"
"38","אלפסי 9","90","12/12/2024","6600000","30025-126-7","קרקע למגורים","לא ידוע","שניה"
"39","אלפסי 9","43","12/12/2024","5125000","30025-126-8","דירה בבית קומות","2","שלישית"
"40","אלפסי 9","41","12/12/2024","3225000","30025-126-9","קרקע למגורים","לא ידוע","שלישית"
"41","האר"י 10","62","10/12/2024","3450000","30026-133-18","דירה בבית קומות","3","שניה"
"42","חרל"פ 18","194","10/12/2024","11556000","30023-243-5","דירה בבית קומות","6","ראשונה"
"43","ארלוזורוב 10","95","01/12/2024","4190000","30026-59-9","דירה בבית קומות","3.5","ראשונה"
"44","הנשיא 4","82","01/12/2024","5300000","30023-69-4","דירה בבית קומות","3","שניה"
"45","עזה 46","68","21/11/2024","2850000","30025-139-9","דירה בבית קומות","3","שניה"
"46","0","105.88","18/11/2024","4250000","30038-152-6","דירה בבית קומות","4","שניה"
"47","עזה 7","67","18/11/2024","2875000","30026-52-2","דירה בבית קומות","3","קרקע"
"48","בלפור 14","לא ידוע","14/11/2024","3406000","30026-69-1","קרקע למגורים","לא ידוע","מרתף"
"49","בלפור 14","30","14/11/2024","15352000","30026-69-13","קרקע למגורים","לא ידוע","שניה"
"50","חרל"פ 18","109","14/11/2024","7486000","30023-243-6","דירה בבית קומות","4","רביעית"
"51","דיסקין 13","346","14/11/2024","14804000","30165-38-50","דירה בבית קומות","5","חמש עשרה"
"52","בן מימון 6","95","05/11/2024","8400000","30026-3-3","דירה בבית קומות","4","ראשונה"
"53","אלפסי 37","79","03/11/2024","5750000","30025-100-1","קרקע למגורים","לא ידוע","קרקע תחתונה"
"54","התיבונים 4","90","03/11/2024","1800000","30025-160-5","דירה בבית קומות","3","ראשונה"
"55","בן מימון 29","28","30/10/2024","1825000","30025-42-11","דירה בבית קומות","2","שניה"
"56","התיבונים 11","46","15/10/2024","2525200","30025-183-3","דירה בבית קומות","2","קרקע"
"57","האר"י 4","211.4","13/10/2024","11699000","30026-129-4","דירה בבית קומות","7","שניה"
"58","האר"י 4","94.2","01/10/2024","6150000","30026-129-5","דירה בבית קומות","4","שלישית"
"59","0","127.6","30/09/2024","7500000","30042-80-37","דירה בבית קומות","4","שלישית"
"60","0","62.1","24/09/2024","900000","30038-64-4","דירה בבית קומות","3","ראשונה"
"61","0","62.44","23/09/2024","3600000","30042-63-20","דירה בבית קומות","3","שלישית"
"62","אבן שפרוט 20","65","22/09/2024","2200000","30038-116-1","דירה בבית קומות","3","ראשונה"
"63","עזה 7","47.7","19/09/2024","2850000","30026-52-7","דירה בבית קומות","2","ראשונה"
"64","0","77.8","19/09/2024","635000","30038-22-5","קרקע למגורים","לא ידוע","שניה"
"65","אלפסי 37","95","19/09/2024","6800000","30025-100-10","דירה בבית קומות","4","שלישית"
"66","דיסקין 9","135","18/09/2024","5680000","30165-53-29","דירה בבית קומות","5","שביעית"
"67","אלפסי 37","95","18/09/2024","6800000","30025-100-9","לא ידוע","4","שלישית"
"68","בן מימון 8","191.6","15/09/2024","10342000","30026-4-2","דירה בבית קומות","5","ראשונה"
"69","חרל"פ 18","123","12/09/2024","8250000","30023-243-8","דירה בבית קומות","5","רביעית"
"70","עזה 53","80.06","12/09/2024","3600000","30023-24-3","דירה בבית קומות","4","שניה"
"71","חרל"פ 18","123","11/09/2024","8250000","30023-243-1","לא ידוע","5","רביעית"
"72","עזה 24","83","11/09/2024","4646400","30026-38-1","דירה בבית קומות","4","קרקע"
"73","עזה 60","47","27/08/2024","2515000","30025-161-2","דירה בבית קומות","2","קרקע"
"74","0","71","22/08/2024","1162000","30038-21-7","דירה בבית קומות","3","ראשונה"
"75","דיסקין 5","25","22/08/2024","585000","30165-2-11","ללא תיכנון","לא ידוע","לא ידוע"
"76","בן מימון 18","42","20/08/2024","1037000","30026-11-2","דירה בבית קומות","2","קרקע"
"77","0","80","15/08/2024","2000000","30038-80-5","דירה בבית קומות","4","שניה"
"78","0","89.9","11/08/2024","3925000","30042-80-44","דירה בבית קומות","3","חמישית"
"79","בנימין מטודלה 16","46","04/08/2024","2200000","30025-108-5","דירה בבית קומות","2","ראשונה"
"80","0","70","01/08/2024","3500000","30042-25-9","דירה בבית קומות","3","שניה"
