מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
"1","סוקולוב 18","100.01","20/07/2025","2570000","6426-650-25","דירה בבית קומות","4.5","שביעית"
"2","ששת הימים 11","100.81","02/01/2025","3050000","6426-984-4","דירה בבית קומות","4","ראשונה"
"3","ששת הימים 3","69.76","19/11/2024","2550000","6426-379-11","דירה בבית קומות","3","ב"
"4","ששת הימים 27","41.1","19/08/2024","2200000","6426-576-14","דירה בבית קומות","3","ב"
"5","גאולה 26","107.92","23/07/2024","3000000","6426-667-17","דירה בבית קומות","4","ראשונה"
"6","סוקולוב 18","88.54","02/07/2024","1185000","6426-650-20","דירה בבית קומות","4","חמישית"
"7","הדרור 4","127","27/06/2024","4150000","6426-648-26","דירת גג","5.5","שביעית+גג"
"8","0","6690","10/06/2024","4500000","6426-574-0","קרקע למגורים","לא ידוע","לא ידוע"
"9","ששת הימים 25","3084","10/06/2024","3200000","6426-576-0","ללא תיכנון","לא ידוע","לא ידוע"
"10","ששת הימים 11","100.2","10/06/2024","1570000","6426-984-6","דירה בבית קומות","4","ראשונה"
"11","בני ברית 26","58","28/03/2024","2243000","6426-591-5","דירה בבית קומות","3","א"
"12","גאולה 30","122.37","03/03/2024","3070000","6426-668-1","דירה בבית קומות","5","ראשונה"
"13","סוקולוב 20","131.12","14/12/2023","2900000","6426-651-16","דירה בבית קומות","5","שישית"
"14","גאולה 26","107.92","13/03/2023","2770000","6426-667-5","דירה בבית קומות","4","שניה"
"15","גאולה 26","107.92","22/12/2022","233000","6426-667-11","דירה בבית קומות","4","רביעית"
"16","ששת הימים 9","53.91","13/12/2022","2300000","6426-376-3","דירה בבית קומות","3","א"
"17","זאב גלר 19","47","01/08/2022","1125000","6426-592-11","דירה בבית קומות","3","ג"
"18","הפרדס 6","133.7","10/07/2022","3400000","6426-666-16","דירה בבית קומות","5","ה' ושישית"
"19","ששת הימים 17","41.1","20/06/2022","912000","6426-574-9","דירה בבית קומות","3","א"
"20","ששת הימים 11","101.2","21/03/2022","3000000","6426-984-7","דירה בבית קומות","4","שניה"
"21","סוקולוב 18","100.01","09/03/2022","2300000","6426-650-9","דירה בבית קומות","4","שלישית"
"22","הפרדס 6","116.24","02/02/2022","1475000","6426-666-4","דירה בבית קומות","5","ראשונה"
"23","גאולה 28","110.41","19/12/2021","2670000","6426-671-17","דירה בבית קומות","5","רביעית"
"24","ששת הימים 33","58","16/11/2021","2200000","6426-589-2","דירה בבית קומות","3","א"
"25","זאב גלר 19","60","19/10/2021","2325000","6426-592-6","דירה בבית קומות","3","ב"
"26","סוקולוב 18","100.01","17/08/2021","950000","6426-650-1","דירה בבית קומות","4","ראשונה"
"27","גאולה 30","127.86","26/07/2021","2625000","6426-668-14","דירה בבית קומות","4","חמישית+גג"
"28","ששת הימים 27","41.1","06/07/2021","1700000","6426-576-15","דירה בבית קומות","3","ב"
"29","הדרור 4","117","04/07/2021","2170000","6426-648-1","דירה בבית קומות","4","ראשונה"
"30","סוקולוב 18","100.01","17/06/2021","1950000","6426-650-17","דירה בבית קומות","4","חמישית"
"31","גאולה 26","103.02","25/05/2021","640000","6426-667-6","דירה בבית קומות","4","שניה"
"32","סוקולוב 20","131.12","24/05/2021","1668000","6426-651-22","דירה בבית קומות","5","שמינית"
"33","זאב גלר 19","47","07/01/2021","1600000","6426-592-7","דירה בבית קומות","2","ב"
"34","ששת הימים 21","41.1","17/11/2020","412000","6426-574-30","דירה בבית קומות","3","ב"
"35","ששת הימים 7","71.3","02/08/2020","1650000","6426-377-6","דירה בבית קומות","3","ב"
"36","הפרדס 8","175","18/06/2020","3850000","6426-670-22","דירה בבית קומות","6","ששית+גג"
"37","זאב גלר 19","47","20/05/2020","1725000","6426-592-3","דירה בבית קומות","3","א"
"38","ששת הימים 27","41.1","04/03/2020","1750000","6426-576-11","דירה בבית קומות","3","א"
"39","ששת הימים 9","54.63","13/12/2019","1780000","6426-376-9","דירה בבית קומות","3.5","ג"
"40","סוקולוב 18","91.75","08/09/2019","1670000","6426-650-14","דירה בבית קומות","4","רביעית"
"41","זאב גלר 19","65","11/06/2019","1620000","6426-592-1","דירה בבית קומות","3","א"
"42","ששת הימים 33","58","05/06/2019","1050000","6426-589-3","דירה בבית קומות","3","ב"
"43","גאולה 32","119.3","29/05/2019","2230000","6426-669-17","דירה בבית קומות","5","חמישית"
"44","גאולה 23","122.49","27/05/2019","2040000","6426-647-22","דירה בבית קומות","4.5","ששית"
"45","הפרדס 6","107.25","24/02/2019","2040000","6426-666-23","דירה בבית קומות","5","שניה"
"46","גאולה 32","96.21","23/01/2019","2060000","6426-669-8","דירה בבית קומות","4","שניה"
"47","גאולה 32","119.3","01/11/2018","2050000","6426-669-9","דירה בבית קומות","5","שלישית"
"48","ששת הימים 11","154.48","29/10/2018","3100000","6426-984-26","דירה בבית קומות","5","שישית + גג"
"49","ששת הימים 11","100.81","24/10/2018","2350000","6426-984-12","דירה בבית קומות","4","שלישית"
"50","גאולה 23","122.49","24/08/2018","800000","6426-647-3","דירה בבית קומות","4","ראשונה"
"51","ששת הימים 21","80","02/05/2018","1740000","6426-574-25","דירה בבית קומות","4","א"
