מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
118,בציר 68,118.6,2021,1295000,19067-173-5,דירה בבית,5,10919
119,קטיף 22,67.7,2021,1325000,19067-186-8,דירה בבית,4,19572
120,עומר 67,128,2021,1455000,19068-85-7,דירה בבית,5,11367
121,עומר 47,117.2,2021,1520000,19067-196-11,דירה בבית,5,12969
122,קטיף 4,88.7,2021,1060000,19067-180-4,דירה בבית,3,11950
123,קציר 50,57.3,2021,1150000,19065-18-2,דירת גן,3,20070
124,שבט 26,116,2021,1800000,19067-95-2,דירת גן,5,15517
125,קטיף 23,88.8,2021,1150000,19067-116-1,דירה בבית,3,12950
126,אסיף 52,127.1,2021,1170000,19067-177-65,דירה בבית,4,9205
127,תשרי 41,116,2021,650000,19068-105-4,דירה בבית,5,5603
128,שבט 22,171.7,2021,1935000,19067-94-2,קוטג' חד משפחתי,6,11270
129,עומר 8,100,2021,1290000,19068-94-1,דירה בבית,4,12900
130,קטיף 35,165,2021,1700000,19067-61-1,דירה בבית,5,10303
131,ניסן 10,163.8,2021,1840000,19067-45-2,דירה בבית,6,11233
132,עומר 15,75.5,2021,900000,19067-199-17,דירה בבית,3,11921
133,בציר 90,72.7,2021,905000,19066-96-9,דירה בבית,3,12448
134,בציר 54,126.2,2021,1250000,19067-178-31,דירה בבית,5,9905
135,סיוון 33,130,2021,1725000,19066-74-1,דירה בבית,5,13269
136,בציר 76,87.1,2021,970000,19067-172-9,דירה בבית,3,11137
137,בציר 80,92.9,2021,1125000,19066-81-14,דירה בבית,4,12110
138,עומר 27,112.16,2021,1430000,19067-198-15,דירה בבית,5,12750
139,אסיף 58,68.8,2021,890000,19067-177-15,דירה בבית,3,12936
140,ביכורים 65,78.1,2021,650000,19066-66-2,דירה בבית,3,8323
141,שבט 64,58.1,2021,1000000,19067-12-1,דירה בבית,3,17212
142,תשרי 10,142,2021,1630000,19068-112-3,קוטג' דו משפחתי,6,11479
143,עומר 59,125,2021,1500000,19067-195-14,דירה בבית,6,12000
144,טבת 21,111.9,2021,1750000,19067-120-2,דירה בבית,5,15639
145,עומר 3,108,2021,1180000,19067-200-14,דירה בבית,5,10926
146,בציר 54,72.2,2021,960000,19067-178-23,דירה בבית,3,13296
147,בציר 60,112.1,2021,1050000,19067-175-12,דירה בבית,5,9367
148,קטיף 8,143.3,2021,1170000,19067-180-18,דירה בבית,5,8165
149,כסלו 33,249.6,2021,1650000,19068-20-2,דירה בבית,8,6611
150,עומר 33,108,2021,1590000,19067-197-5,דירה בבית,5,14722
151,הזורעים 63,108.6,2021,1670000,19065-51-1,דירה בבית,4,15378
152,תשרי 8,120,2021,1325000,19068-113-4,דירה בבית,5,11042
153,קטיף 16,114.5,2021,1000000,19067-182-11,דירה בבית,5,8734
154,ביכורים 56,57.3,2021,1350000,19067-15-2,דירה בבית,3,23560
155,אסיף 58,89.26,2021,980000,19067-177-25,דירה בבית,4,10979
156,אסיף 58,70.9,2021,895000,19067-177-23,דירה בבית,3,12623
157,קטיף 16,93.4,2021,1230000,19067-182-7,דירה בבית,4,13169
158,קטיף 2,83.7,2021,1420000,19067-179-2,דירה בבית,4,16965
159,בציר 54,122.13,2021,1300000,19067-178-18,דירה בבית,5,10644
160,בציר 74,112.1,2021,1160000,19067-172-6,דירה בבית,5,10348
161,עומר 59,90.9,2021,1090000,19067-195-8,דירה בבית,4,11991
162,אביב 107,120,2021,1555000,19068-102-1,דירה בבית,5,12958
163,בציר 54,72.35,2021,1230000,19067-178-10,דירה בבית,3,17001
164,קטיף 24,72.7,2021,900000,19067-186-3,דירה בבית,3,12380
165,אייר 4,57.3,2021,664000,19067-29-1,דירה בבית,3,11588
166,ביכורים 18,81.7,2021,1270000,19067-5-2,קוטג' דו משפחתי,3,15545
167,תמוז 11,63,2021,1160000,19066-23-1,דירה בבית,4,18413
168,תשרי 37,149,2021,1550000,19068-106-5,דירת גן,6,10403
169,תשרי 37,149,2021,1560000,19068-106-4,דירה בבית,5,10470
170,סיון 26,62.5,2021,1250000,19066-62-2,דירה בבית,3,20000
171,בציר 54,106.18,2021,1180000,19067-178-7,דירה בבית,4,11113
172,תשרי 20,187.7,2021,1680000,19068-6-1,דירה בבית,6,8950
173,בציר 88,67.7,2021,1050000,19066-96-1,דירה בבית,3,15510
174,קטיף 39,133,2021,1590000,19067-60-2,דירה בבית,6,11955
