מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,התדהר 11,115,"2025","1500000",17448-167-79,דירה בבית קומות,4,ראשונה
2,התדהר 9,136,"2025","1845000",17448-167-78,דירה בבית קומות,5,שניה
3,כליל החורש 6,77,"2025","1000000",17697-40-5,דירה בבית קומות,4,שלישית
4,התדהר 20,76.05,"2025","1150000",17697-22-13,דירה בבית קומות,3,שלישית ומרתף
5,התדהר 1,120,"2025","1600000",17448-166-29,דירה בבית קומות,4,שמינית
6,התדהר 1,106,"2025","940000",17448-166-28,דירה בבית קומות,4,שמינית
7,כליל החורש 8,78,"2024","1100000",17697-40-17,דירה בבית קומות,4,שניה
8,התדהר 11,90,"2024","2150000",17448-167-77,דירה בבית קומות,5,לא ידוע
9,הערבה 20,86,"2024","1700000",17697-36-6,דירה בבית קומות,4,קרקע וראשונה
10,התדהר 7,157,"2024","1775000",17448-167-80,דירה בבית קומות,5,שלישית
11,השקמה 5,66,"2024","810000",17697-25-6,דירה בבית קומות,3,שלישית
12,התדהר 18,92.79,"2024","1800000",17697-22-20,דירה בבית קומות,4,קרקע ומרתף
13,התדהר 9,178,"2024","1890000",17448-167-76,דירה בבית קומות,5,ראשונה
14,התדהר 5,153,"2023","2020000",17448-167-74,דירת גן,5,לא ידוע
15,כליל החורש 3,86,"2023","1800000",17697-33-1,דירה בבית קומות,4,קרקע וראשונה
16,השקמה 8,74,"2023","107000",17697-24-8,דירה בבית קומות,3,ראשונה
17,כליל החורש 8,76,"2023","820000",17697-40-20,דירה בבית קומות,4,שלישית
18,השקמה 3,67,"2023","294000",17697-25-14,דירה בבית קומות,3,שלישית
19,התדהר 7,100,"2022","1500000",17448-167-72,דירה בבית קומות,4,שלישית
20,התדהר 14,87,"2022","1032000",17697-23-6,דירה בבית קומות,4,שניה
21,התדהר 1,130,"2022","1490000",17448-166-26,דירה בבית קומות,5,חמישית
22,השקמה 8,67,"2022","750000",17697-24-14,דירה בבית קומות,3,רביעית
23,התדהר 9,96,"2022","1140000",17448-167-71,דירה בבית קומות,3,רביעית
24,כליל החורש 7,86,"2022","1500000",17697-37-6,דירה בבית קומות,4,קרקע וראשונה
25,הערבה 24,86,"2022","1230000",17697-39-3,דירה בבית קומות,4,קרקע וראשונה
26,השקמה 11,65,"2022","760000",17697-26-27,דירה בבית קומות,3,שניה
27,השקמה 8,66,"2022","550000",17697-24-12,דירה בבית קומות,3,שלישית
28,התדהר 14,93,"2022","980000",17697-23-15,דירה בבית קומות,4,רביעית
29,התדהר 1,144,"2022","1369000",17448-166-25,דירה בבית קומות,5,רביעית
30,השקמה 13,76,"2022","620000",17697-26-47,דירה בבית קומות,4,רביעית
31,השקמה 6,78,"2022","605000",17697-24-21,דירה בבית קומות,4,רביעית
32,התדהר 3,158,"2022","2050000",17448-166-24,דירה בבית קומות,5,תשיעית
33,התדהר 5,120,"2022","1920000",17448-167-70,דירה בבית קומות,5,ראשונה
34,התדהר 6,83,"2022","930000",17697-23-47,דירת גן,4,ראשונה
35,התדהר 18,76.85,"2022","890000",17697-22-30,דירה בבית קומות,3,שניה ומרתף
36,כליל החורש 7,86,"2022","1046000",17697-37-3,קוטג' דו משפחתי,4,קרקע וראשונה
37,התדהר 8,78,"2022","580000",17697-23-38,דירה בבית קומות,4,רביעית
38,התדהר 1,134,"2022","1388000",17448-166-23,דירה בבית קומות,5,חמישית
39,השקמה 11,73,"2021","815000",17697-26-25,דירה בבית קומות,3,ראשונה
40,השקמה 3,76,"2021","715000",17697-25-29,דירה בבית קומות,4,שלישית
41,התדהר 1,138,"2021","1162000",17448-166-30,דירה בבית קומות,5,שישית
42,השקמה 6,88,"2021","550000",17697-24-17,דירה בבית קומות,4,שניה
43,התדהר 1,136,"2021","1188000",17448-166-31,דירה בבית קומות,5,רביעית
44,התדהר 1,140,"2021","1500000",17448-166-22,דירה בבית קומות,5,ראשונה
45,השקמה 3,84,"2021","1150000",17697-25-18,דירה בבית קומות,4,ראשונה
46,השקמה 11,77,"2021","600000",17697-26-21,דירה בבית קומות,4,שלישית
47,התדהר 20,84.89,"2021","750000",17697-22-15,דירה בבית קומות,4,שלישית ומרתף
48,התדהר 1,130,"2021","1265000",17448-166-21,דירה בבית קומות,5,חמישית
49,כליל החורש 8,83,"2021","556000",17697-40-16,דירה בבית קומות,4,ראשונה
50,התדהר 1,134,"2021","1350000",17448-166-32,דירה בבית קומות,5,רביעית
51,הערבה 18,86,"2021","363000",17697-34-3,דירה בבית קומות,4,קרקע וראשונה
52,התדהר 1,145,"2021","1405000",17448-166-20,דירה בבית קומות,5,שניה
53,התדהר 1,138,"2021","1345000",17448-166-19,דירה בבית קומות,5,שלישית
54,התדהר 1,142,"2021","1400000",17448-166-18,דירה בבית קומות,5,שניה
55,התדהר 12,79,"2021","820000",17697-23-31,דירה בבית קומות,4,רביעית
56,הערבה 20,86,"2021","1130000",17697-36-2,דירה בבית קומות,4,קרקע וראשונה
57,התדהר 1,134,"2021","1280000",17448-166-17,דירה בבית קומות,5,רביעית
58,התדהר 6,77,"2021","620000",17697-23-59,דירה בבית קומות,4,רביעית
59,התדהר 11,100,"2021","1050000",17448-167-68,דירה בבית קומות,3,ראשונה
60,התדהר 1,135,"2021","1102000",17448-166-33,דירה בבית קומות,5,חמישית
61,התדהר 1,134,"2021","1111000",17448-166-34,דירה בבית קומות,5,רביעית
62,כליל החורש 8,78,"2021","610000",17697-40-21,דירה בבית קומות,4,רביעית
63,התדהר 1,87,"2021","980000",17448-166-35,דירה בבית קומות,3,חמישית
64,כליל החורש 6,85,"2021","1050000",17697-40-1,דירה בבית קומות,4,ראשונה
65,התדהר 1,120,"2021","1000000",17448-166-36,דירה בבית קומות,4,שביעית
66,התדהר 1,120,"2021","1076000",17448-166-37,דירה בבית קומות,4,ראשונה
67,התדהר 1,116,"2020","976000",17448-166-38,דירה בבית קומות,4,שישית
68,התדהר 8,85,"2020","980000",17697-23-40,דירה בבית קומות,5,ראשונה
69,התדהר 1,110,"2020","1094000",17448-166-39,דירה בבית קומות,4,שלישית
70,התדהר 1,119,"2020","982000",17448-166-40,דירה בבית קומות,4,שמינית
71,התדהר 1,128,"2020","1098000",17448-166-41,דירה בבית קומות,5,ראשונה
72,התדהר 1,124,"2020","991000",17448-166-42,דירה בבית קומות,4,שמינית
73,התדהר 1,126,"2020","1350000",17448-166-43,דירה בבית קומות,5,לא ידוע
74,הערבה 18,86,"2020","920000",17697-34-5,דירה בבית קומות,4,קרקע וראשונה
75,התדהר 1,110,"2020","1120000",17448-166-44,דירה בבית קומות,4,שביעית
76,השקמה 6,85,"2020","960000",17697-24-23,דירה בבית קומות,5,ראשונה
77,התדהר 1,130,"2020","1081000",17448-166-45,דירה בבית קומות,5,שלישית
78,השקמה 9,85,"2020","770000",17697-26-10,דירה בבית קומות,4,ראשונה
79,התדהר 1,112,"2020","974000",17448-166-48,דירה בבית קומות,4,שמינית
80,התדהר 1,106,"2020","965000",17448-166-49,דירה בבית קומות,4,לא ידוע
81,התדהר 1,118,"2020","970000",17448-166-50,דירה בבית קומות,4,שמינית
82,התדהר 1,118,"2020","974000",17448-166-51,דירה בבית קומות,4,חמישית
83,התדהר 6,95,"2020","930000",17697-23-54,דירה בבית קומות,4,ראשונה
84,התדהר 18,122.23,"2020","1025000",17697-22-36,דירה בבית קומות,5,רביעית ומרתף
85,התדהר 5,165,"2020","1265000",17448-167-81,דירה בבית קומות,5,לא ידוע
86,התדהר 5,122,"2020","1213000",17448-167-82,דירה בבית קומות,5,לא ידוע
87,התדהר 5,150,"2020","1260000",17448-167-67,דירה בבית קומות,5,לא ידוע
88,התדהר 5,122,"2020","1297000",17448-167-83,דירה בבית קומות,5,לא ידוע
89,התדהר 5,122,"2020","1195000",17448-167-84,דירה בבית קומות,5,ראשונה
90,כליל החורש 8,85,"2020","860000",17697-40-15,דירה בבית קומות,4,ראשונה
91,התדהר 8,67,"2020","555000",17697-23-36,דירה בבית קומות,3,שלישית
92,התדהר 5,123,"2020","1081000",17448-167-66,דירה בבית קומות,5,שלישית
93,השקמה 3,108,"2020","910000",17697-25-28,דירה בבית קומות,5,שניה
94,התדהר 5,122,"2020","1064000",17448-167-85,דירה בבית קומות,5,שלישית
95,התדהר 5,122,"2020","1064538",17448-167-65,דירה,5,לא ידוע
96,התדהר 5,122,"2019","1375000",17448-167-86,דירת גן,5,לא ידוע
97,התדהר 5,105,"2019","915900",17448-167-89,דירה בבית קומות,4,שלישית
98,התדהר 5,122,"2019","1240000",17448-167-90,דירה בבית קומות,5,ראשונה
99,התדהר 5,122,"2019","1200000",17448-167-91,דירה בבית קומות,5,ראשונה
100,השקמה 5,67,"2019","292000",17697-25-7,דירה בבית קומות,3,רביעית
101,התדהר 5,122,"2019","1220000",17448-167-93,דירה בבית קומות,5,לא ידוע
102,התדהר 5,123,"2019","1081000",17448-167-94,דירה בבית קומות,5,שלישית
103,התדהר 5,122,"2019","1220000",17448-167-59,דירה,5,לא ידוע
104,התדהר 5,122,"2019","1081137",17448-167-58,דירה,5,לא ידוע
105,השקמה 13,78,"2019","760000",17697-26-44,דירה בבית קומות,4,שניה
106,התדהר 5,122,"2019","1310000",17448-167-96,דירה בבית קומות,5,לא ידוע
107,התדהר 5,122,"2019","1310000",17448-167-57,דירה,5,לא ידוע
108,התדהר 5,122,"2019","1200000",17448-167-97,דירה בבית קומות,5,ראשונה
109,התדהר 5,122,"2019","1220000",17448-167-98,דירה בבית קומות,5,לא ידוע
110,התדהר 1,131,"2019","1350000",17448-166-16,דירת גן,5,לא ידוע
111,התדהר 5,122,"2019","1220000",17448-167-55,דירה,5,לא ידוע
112,התדהר 5,122,"2019","1260000",17448-167-99,דירה בבית קומות,5,ראשונה
113,התדהר 5,105,"2019","932000",17448-167-100,דירה בבית קומות,4,שניה
114,התדהר 5,104,"2019","932498",17448-167-54,דירה,4,לא ידוע
115,התדהר 5,105,"2019","915000",17448-167-101,דירה בבית קומות,4,שלישית
116,התדהר 5,104,"2019","915900",17448-167-53,דירה,4,לא ידוע
117,התדהר 1,111,"2019","1080000",17448-166-15,דירה,4,לא ידוע
118,התדהר 5,122,"2019","1253000",17448-167-52,דירה בבית קומות,5,ראשונה
119,התדהר 5,122,"2019","1253000",17448-167-51,דירה,5,לא ידוע
120,התדהר 5,123,"2019","1081000",17448-167-102,דירה בבית קומות,5,שניה
121,התדהר 5,122,"2019","1081137",17448-167-50,דירה,5,לא ידוע
122,התדהר 5,123,"2019","1064000",17448-167-103,דירה בבית קומות,5,שניה
123,התדהר 5,122,"2019","1064538",17448-167-49,דירה,5,לא ידוע
124,התדהר 5,123,"2019","1081000",17448-167-104,דירה בבית קומות,5,שניה
125,התדהר 5,123,"2019","1064000",17448-167-105,דירה בבית קומות,5,שלישית
126,התדהר 5,122,"2019","1081137",17448-167-48,דירה,5,לא ידוע
127,התדהר 5,122,"2019","1064538",17448-167-47,דירה,5,לא ידוע
128,התדהר 5,123,"2019","1081000",17448-167-106,דירה בבית קומות,5,שניה
129,התדהר 5,104,"2019","915900",17448-167-45,דירה,4,לא ידוע
130,התדהר 5,122,"2019","1081137",17448-167-46,דירה,5,לא ידוע
131,התדהר 5,113,"2019","1020000",17448-167-108,דירה בבית קומות,4,שניה
132,התדהר 5,104,"2019","915900",17448-167-44,דירה בבית קומות,4,ראשונה
