מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הניקרה 7,125,2025,2550000,63616-7-1,דירה בבית,5,20400
2,הרכס 1,107,2025,2730000,63616-105-1,דירה בבית,4,25514
3,האבן 20,120,2025,1886000,32014-21-1,דירה בבית,4,15717
4,הרכס 111,71,2025,2000000,63616-1-1,דירה בבית,4,28169
5,האבן 26,104,2025,2020000,63616-26-1,דירה בבית,4,19423
6,האבן 16,80,2025,1850000,32014-21-2,דירה בבית,3,23125
7,נופי הסלע 58,136,2025,3185000,63616-19-2,דירה בבית,5,23419
8,הגביש 4,116,2025,2060000,63616-27-1,דירה בבית,4,17759
9,השחם 8,149,2025,2815000,63616-8-1,דירה בבית,5,18893
10,הגביש 10,129,2025,2380000,63616-10-1,דירה בבית,5,18450
11,הרכס 14,122,2025,2460000,63616-420-1,דירה בבית,5,20164
12,הרכס 111,190,2025,3470000,63616-337-1,דירה בבית,6,18263
13,הרכס 91,109,2025,2085000,63616-337-2,דירה בבית,4,19128
14,הרכס 129,124,2025,2280000,63616-234-1,דירה בבית,4,18387
15,השחם 26,129,2025,2820000,63616-246-1,דירה בבית,4,21860
16,הציפחה 4,107,2025,2030000,63616-108-1,דירה בבית,4,18972
17,הגעש 4,120,2025,2060000,63616-3-1,דירה בבית,4,17167
18,הגביש 6,88,2025,1960000,63616-310-1,דירה בבית,3,22273
19,הגביש 4,120,2025,2150000,63616-309-1,דירה בבית,4,17917
20,הרכס 7,131,2025,2525000,63616-13-1,דירה בבית,5,19275
21,האלמוג 13,143,2025,2380000,63616-4-1,דירה בבית,5,16643
22,הנטיף 6,151,2025,2100000,63616-124-1,דירה בבית,1,13907
23,האבן 11,120,2025,480000,63616-277-1,דירה בבית,4,4000
24,הצור 19,140,2025,3480000,63616-253-1,דירה בבית,5,24857
25,הצורן 6,95,2025,945000,63616-107-1,דירה בבית,3,9947
26,הגרניט 16,120,2025,2000000,63616-2-1,דירה בבית,4,16667
27,הרכס 13,83,2025,2200000,63616-5-2,דירה בבית,3,26506
28,הגעש 2,100,2025,2275000,63616-1-5,דירה בבית,4,22750
29,הגעש 6,118,2025,2150000,63616-25-1,דירה בבית,4,18220
30,הרכס 16,122,2025,2600000,63616-420-2,דירה בבית,5,21311
31,האבן 20,106,2025,1900000,32014-21-3,דירה בבית,4,17925
32,הגעש 6,173,2025,2895000,63616-6-1,דירה בבית,5,16734
33,החרסית 2,180,2025,2980000,63616-120-1,דירה בבית,5,16556
34,הרכס 79,102,2025,2420000,63616-7-4,דירה בבית,4,23725
35,האלמוג 81,158,2025,3350000,63616-10-2,דירה בבית,5,21203
36,הרכס 36,75,2025,1860000,32013-306-1,דירה בבית,3,24800
37,השחם 45,108,2025,2570000,63616-236-1,דירה בבית,4,23796
38,השחם 36,133,2025,3050000,63616-5-3,דירה בבית,5,22932
39,הרכס 3,145,2025,2675000,63616-10-3,דירה בבית,5,18448
