מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,אנילביץ 2,79.7,"2025","2215000",3851-115-28,דירה בבית קומות,3,שביעית
2,הבנים 109,122.33,"2025","2500000",3851-108-1,דירה בבית קומות,4,קומה ‎1‏
3,אנילביץ 1,80.62,"2024","2230000",3851-112-2,דירה בבית קומות,4,ראשונה
4,הבנים 117,91.93,"2024","1600000",3851-111-19,דירה בבית קומות,4,חמישית
5,אנילביץ 1,91.55,"2024","2180000",3851-112-27,דירה בבית קומות,4,שביעית
6,אנילביץ 1,80.62,"2024","2275000",3851-112-10,דירה בבית קומות,3.5,שלישית
7,אנילביץ 2,86.8,"2024","2410000",3851-115-5,דירה בבית קומות,4,שניה
8,אנילביץ 8,91.55,"2023","2510000",3851-113-14,דירה בבית קומות,4,רביעית
9,ההדרים 17,111,"2023","3900000",3851-79-3,דירה בבית קומות,4,ראשונה
10,אנילביץ 1,80.62,"2023","1034000",3851-112-21,דירה בבית קומות,4,שישית
11,בן גוריון 42,129,"2023","4600000",3851-72-1,קרקע למגורים,לא ידוע,לא ידוע
12,ההדרים 23,166,"2022","547000",3851-82-1,קוטג' דו משפחתי,6,ראשונה
13,אנילביץ 8,80.62,"2022","2400000",3851-113-13,דירה בבית קומות,4,רביעית
14,הבנים 109,128,"2022","2900000",3851-108-29,דירה בבית קומות,5,חמישית
15,ההדרים 21,125,"2022","500000",3851-81-2,קרקע למגורים,לא ידוע,לא ידוע
16,הבנים 109,322,"2021","2225000",3851-108-28,דירה בבית קומות,5,שישית
17,הבנים 111,100.06,"2021","1840000",3851-109-11,דירה בבית קומות,4,שלישית
18,אנילביץ 1,91.55,"2021","1975000",3851-112-3,דירה בבית קומות,4,ראשונה
19,ההדרים 19,168,"2021","5400000",3851-80-1,קרקע למגורים,לא ידוע,לא ידוע
20,הפרטיזנים 11,236,"2021","4100000",3851-60-2,קוטג' דו משפחתי,7,ראשונה
21,הבנים 117,91.93,"2021","2100000",3851-111-22,דירה בבית קומות,4,שישית
22,בן גוריון 48,24.46,"2021","362000",3851-119-5,חנות,לא ידוע,קרקע
23,בן גוריון 48,24.46,"2021","327000",3851-119-4,חנות,לא ידוע,קרקע
24,אנילביץ 6,79.64,"2021","1770000",3851-114-18,דירה בבית קומות,4,חמישית
25,הבנים 111,100.06,"2021","1850000",3851-109-6,דירה בבית קומות,4,שניה
26,אנילביץ 1,122.74,"2021","2520000",3851-112-29,דירה בבית קומות,5,שמינית
27,הפרטיזנים 13,98,"2021","300000",3851-58-1,קרקע למגורים,לא ידוע,לא ידוע
28,אנילביץ 6,90.14,"2021","2060000",3851-114-23,דירה בבית קומות,4,שישית
29,אנילביץ 1,91.55,"2021","2060000",3851-112-15,דירה בבית קומות,4,רביעית
30,הבנים 109,116,"2020","2240000",3851-108-27,דירה בבית קומות,5,רביעית
31,אנילביץ 2,86.8,"2020","2000000",3851-115-26,דירה בבית קומות,4,שביעית
32,אנילביץ 1,80.62,"2020","1700000",3851-112-9,דירה בבית קומות,3.5,שלישית
33,הבנים 113,96.4,"2020","1700000",3851-110-12,דירה בבית קומות,4,שלישית
34,הבנים 109,116,"2020","2475000",3851-108-26,דירה בבית קומות,5,חמישית
35,הבנים 109,116,"2020","2475000",3851-108-24,דירה בבית קומות,5,חמישית
36,הבנים 109,107,"2019","2400000",3851-108-22,דירה בבית קומות,4,שישית
37,הבנים 109,116,"2019","2460000",3851-108-20,דירה בבית קומות,5,רביעית
38,אנילביץ 8,80.62,"2019","1760000",3851-113-17,דירה בבית קומות,4,חמישית
39,הבנים 111,100.06,"2019","1700000",3851-109-9,דירה בבית קומות,4,שלישית
40,הבנים 109,118,"2019","2550000",3851-108-18,דירה בבית קומות,5,חמישית
41,אנילביץ 1,91.55,"2019","1940000",3851-112-7,דירה בבית קומות,4,שניה
42,אנילביץ 8,91.55,"2019","1950000",3851-113-22,דירה בבית קומות,4,שישית
43,הבנים 117,91.93,"2018","1900000",3851-111-7,דירה בבית קומות,4,שניה
44,הבנים 109,118,"2018","2510000",3851-108-16,דירה בבית קומות,5,רביעית
45,אנילביץ 1,91.55,"2018","1830000",3851-112-8,דירה בבית קומות,4,שניה
46,הבנים 109,118,"2018","2530000",3851-108-14,דירה בבית קומות,5,חמישית
47,הבנים 109,130,"2018","2450000",3851-108-12,דירה בבית קומות,5,שלישית
48,הבנים 109,281,"2018","3600000",3851-108-10,דירה בבית קומות,5,שישית
49,הפרטיזנים 7,100,"2017","2300000",3851-64-1,קוטג' חד משפחתי,4,ראשונה
50,הבנים 113,96.4,"2017","1600000",3851-110-11,דירה בבית קומות,4,שלישית
51,אנילביץ 6,79.64,"2017","1665000",3851-114-6,דירה בבית קומות,3,שניה
52,הבנים 113,96.4,"2017","1620000",3851-110-9,דירה בבית קומות,4,שלישית
53,הבנים 117,110.67,"2017","2500000",3851-111-25,דירת גן,5,שביעית
54,אנילביץ 6,79.64,"2017","1500000",3851-114-17,דירה בבית קומות,3.5,חמישית
55,הבנים 117,80.89,"2016","1500000",3851-111-12,דירה בבית קומות,4,שלישית
56,הבנים 113,96.4,"2016","1580000",3851-110-14,דירה בבית קומות,4,ראשונה
57,הפרטיזנים 6,241,"2016","4100000",3851-65-1,דירה בבית קומות,5,לא ידוע
58,הבנים 113,96.4,"2016","1580000",3851-110-6,דירה בבית קומות,4,שניה
59,אנילביץ 2,86.8,"2016","1540000",3851-115-1,דירה בבית קומות,4,ראשונה
60,הבנים 109,99,"2016","1605000",3851-108-7,דירה בבית קומות,4,קומה ‎2‏
61,אנילביץ 2,79.7,"2015","625000",3851-115-16,דירה בבית קומות,3.5,רביעית
62,הבנים 111,100.06,"2015","1400000",3851-109-1,דירה בבית קומות,4,ראשונה
63,אנילביץ 8,91.55,"2014","1360000",3851-113-3,דירה בבית קומות,4,ראשונה
64,0,64,"2014","2000000",3851-78-1,קוטג' חד משפחתי,4,לא ידוע
65,אנילביץ 6,90.14,"2014","1485000",3851-114-20,דירה בבית קומות,4,חמישית
66,הצנחנים 3,111,"2014","2270000",3851-54-1,קוטג' דו משפחתי,5,לא ידוע
67,אנילביץ 2,86.8,"2014","1299000",3851-115-22,דירה בבית קומות,4,שישית
68,הבנים 111,100.06,"2014","1200000",3851-109-3,דירה בבית קומות,4,ראשונה
69,אנילביץ 6,90.14,"2014","1420000",3851-114-28,דירה בבית קומות,4,שביעית
70,בן גוריון 48,28.11,"2014","370000",3851-119-2,חנות,לא ידוע,קרקע
71,אנילביץ 8,91.55,"2014","1370000",3851-113-2,דירה בבית קומות,4,ראשונה
72,אנילביץ 6,90.14,"2013","1300000",3851-114-4,דירה בבית קומות,4,ראשונה
73,הבנים 117,80.98,"2013","1199000",3851-111-24,דירה בבית קומות,4,שישית
