מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,הרב משה חלפון הכהן 500,43.5,"2025","830000",39573-16-22,דירה בבית קומות,3,שלישית
2,ירושלים 20,63,"2025","950000",39573-107-18,דירה בבית קומות,4,ראשונה
3,הרב משה חלפון הכהן 1071,63,"2025","850000",39573-116-9,דירה בבית קומות,4,שלישית
4,מסעוד אלפסי 378,64,"2025","218000",39573-96-13,דירה בבית קומות,3,ראשונה
5,מסעוד אלפסי 1068,63,"2025","930000",39578-33-7,דירה בבית קומות,4,שניה
6,אבן דנן 1076,58.7,"2025","800000",39573-113-17,דירה בבית קומות,3,שלישית
"7","חב"ד 39","62.5","27/04/2025","500000","39578-8-1","בית בודד","4","ראשונה"
8,הגיבורים 529,79.8,"2025","825000",39573-125-8,דירה בבית קומות,4,רביעית
9,מסעוד אלפסי 1021,56.2,"2025","885000",39573-117-8,דירה בבית קומות,3,ראשונה
10,הגיבורים 1022,65.7,"2025","260000",39573-182-9,דירה בבית קומות,3,שניה
11,הרב משה חלפון הכהן 507,43.5,"2025","650000",39573-11-14,דירה בבית קומות,3,שלישית
12,החזון איש 607,80.1,"2025","982000",39578-2-2,דירה בבית קומות,4,ראשונה
13,מסעוד אלפסי 1074,71.7,"2025","915000",39573-153-13,דירה בבית קומות,4,שלישית
14,החזון איש 23,45.6,"2025","905000",39578-7-29,דירה בבית קומות,3,שלישית
15,הרב משה חלפון הכהן 507,43.5,"2025","220000",39573-11-33,דירת גן,3,ראשונה
16,אבן דנן 526,54.5,"2025","800000",39573-43-17,דירה בבית קומות,3,ראשונה
17,החזון איש 2,41.8,"2025","843400",39578-3-7,דירה בבית קומות,2,שניה
18,אבן דנן 526,54.5,"2024","715000",39573-43-13,דירה בבית קומות,3,שלישית
19,מסעוד אלפסי 1074,59.6,"2024","880000",39573-153-28,דירה בבית קומות,3,שניה
20,השר שפירא 1047,63,"2024","810000",39573-104-9,דירה בבית קומות,4,שלישית
