מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,יהושע בן נון 36,203,"2025","3400000",8232-87-1,דירה בבית קומות,5,מרתף+קרקע+ראשונה
2,רבן גמליאל 13,85,"2025","2200000",8230-311-13,דירה בבית קומות,4,שניה
3,רזיאל 32,72,"2025","2146000",8267-801-17,דירה בבית קומות,3,חמישית
4,גליקסון 39,93.9,"2025","1680000",8232-529-10,דירה בבית קומות,4,שלישית
5,יוספטל 2,73,"2025","1500000",8284-135-82,דירה בבית קומות,3,ראשונה
6,רזיאל 32,48,"2025","312000",8267-801-10,דירה בבית קומות,2,שניה
7,הרב ריינס 40,75.25,"2025","1870000",8232-64-2,דירה בבית קומות,4,ראשונה
8,נעמן בלקינד 7,41.74,"2025","1570000",8284-110-13,דירה בבית קומות,3,שלישית
9,יוחנן הסנדלר 5,45.65,"2025","476000",8230-263-2,דירה בבית קומות,2,ראשונה
10,עולי הגרדום 20,57.22,"2025","1460000",8284-104-6,דירה בבית קומות,3,ראשונה
11,0,208,"2025","4200000",8230-318-2,דירה בבית קומות,7,לא ידוע
12,רבן גמליאל 10,92,"2025","2100000",8230-306-16,דירה בבית קומות,4,שלישית
13,הרב ריינס 4,81.3,"2025","1900000",8232-132-2,דירה בבית קומות,4,ראשונה
14,יוספטל 13,34.39,"2025","960000",8284-85-16,דירה בבית קומות,2,ראשונה
15,המליץ 3,46,"2025","1600000",8232-431-1,דירה בבית קומות,3,קרקע
16,יוספטל 2,41.5,"2025","1115000",8284-135-34,דירה בבית קומות,2,קרקע
17,מינץ 8,79.27,"2025","1600000",8233-20-6,דירה בבית קומות,3,שניה
18,גליקסון 49,99,"2025","1550000",8232-562-1,דירה בבית קומות,4.5,שניה
19,הרב ריינס 6,68,"2025","1785000",8232-130-4,דירה בבית קומות,3,ראשונה
20,יוספטל 17,34.39,"2025","1350000",8284-86-15,דירה בבית קומות,2,ראשונה
21,רחל המשוררת 5,244,"2025","4300000",8230-356-8,קוטג' דו משפחתי,5,לא ידוע
22,0,130,"2024","3000000",8230-409-2,דירה בבית קומות,5,שלישית
23,0,241,"2024","4710000",8230-354-3,דירה בבית קומות,6,ראשונה
24,נעמן בלקינד 7,41.74,"2024","1260000",8284-110-9,דירה בבית קומות,3,ראשונה
25,0,103,"2024","2450000",8233-390-1,דירה בבית קומות,4,חמישית
26,דב הוז 7,171.25,"2024","3250000",8230-362-2,קוטג' דו משפחתי,7,מרתף+קרקע+ראשונה
27,0,785,"2024","3900000",8230-362-0,קוטג' דו משפחתי,5,ראשונה
28,יהושע בן נון 27,200,"2024","704000",8232-77-2,דירה בבית קומות,5,לא ידוע
29,יוחנן הסנדלר 6,40.74,"2024","1300000",8230-266-5,דירה בבית קומות,3,שלישית
30,נעמן בלקינד 6,41.74,"2024","1460000",8284-100-5,דירה בבית קומות,3,שלישית
31,אנדה עמיר 1,200,"2024","3070000",8230-345-5,דירה בבית קומות,5,לא ידוע
32,0,222,"2024","3600000",8230-318-3,דירה בבית קומות,7,שניה
33,יוספטל 20,42.77,"2024","733000",8284-99-1,דירה בבית קומות,3,ראשונה
34,עולי הגרדום 16,128.4,"2024","850000",8233-22-1,מחסנים,לא ידוע,מרתף
35,עולי הגרדום 22,57.22,"2024","1530000",8284-105-6,דירה בבית קומות,3,ראשונה
36,0,126.56,"2024","2600000",8233-7-24,דירת גג,5,קומה ‎6‏, קומה ‎7‏
37,גדעון 32,162,"2024","2350000",8232-359-4,דירה בבית קומות,5,קרקע
38,איסר הראל 2,148,"2024","2835000",9132-7-18,דירה בבית קומות,5,ראשונה
39,0,1050,"2024","38000000",8233-29-0,מסחרי + מגורים,לא ידוע,לא ידוע
40,0,106,"2024","2350000",8232-494-1,דירה בבית קומות,4,ראשונה
41,0,150,"2024","3860000",9132-22-23,דירה בבית קומות,8,ראשונה
42,0,106,"2024","2560000",8232-494-3,דירה בבית קומות,4,שביעית
43,0,102.74,"2024","2165000",8233-7-15,דירה בבית קומות,4,קומה ‎3‏
44,יהושע בן נון 19,102,"2024","2340000",8232-142-1,דירה בבית קומות,4,ראשונה
45,יוחנן הסנדלר 6,40.74,"2024","1400000",8230-266-6,דירה בבית קומות,3,שלישית
46,0,130,"2024","3250000",8230-409-3,דירה בבית קומות,5,ראשונה
47,0,142,"2024","3932000",8230-409-4,דירה בבית קומות,6,חמישית
48,0,106,"2024","2550000",8232-494-4,דירה בבית קומות,4,שישית
49,יוספטל 3,65.4,"2024","1050000",8284-137-15,דירה בבית קומות,3,שלישית
50,הרב ריינס 44,35,"2024","1430000",8232-483-11,דירה בבית קומות,2,שניה
51,יואב 44,175,"2024","2300000",8232-196-1,דירה בבית קומות,5,לא ידוע
52,יפתח הגלעדי 33,168,"2024","2276000",8232-253-4,קוטג' חד משפחתי,5,קרקע
53,0,130,"2024","3190000",8233-390-2,דירה בבית קומות,5,ראשונה
54,עולי הגרדום 16,56.35,"2024","1630000",8233-22-6,דירה בבית קומות,3,שניה
55,0,לא ידוע,"2024","2370000",8232-494-5,דירה בבית קומות,4,רביעית
56,0,100,"2024","2440000",8232-494-6,דירה בבית קומות,4,שמינית
57,0,206,"2024","3200000",9132-23-11,דירה בבית קומות,7,ראשונה
58,יוספטל 2,69.4,"2024","1450000",8284-135-20,דירה בבית קומות,3,ראשונה
59,0,103,"2024","2450000",8233-390-3,דירה בבית קומות,4,שביעית
60,יוספטל 12,42.77,"2024","893000",8284-113-5,דירה בבית קומות,3,שניה
61,עולי הגרדום 1,85.7,"2024","2360000",8233-394-17,דירה בבית קומות,4,קומה ‎8‏
62,0,106,"2024","2720000",8232-494-7,דירה בבית קומות,4,רביעית
63,0,125.54,"2024","2650000",8233-7-26,דירת גג,5,קומה ‎6‏, קומה ‎7‏
64,יפתח הגלעדי 13,21.38,"2024","1390000",8232-241-2,דירה בבית קומות,2,קרקע
65,יהושע בן נון 25,165,"2024","815000",8232-79-1,קוטג' דו משפחתי,5,ראשונה
66,עולי הגרדום 22,50.45,"2024","1390000",8284-105-1,דירה בבית קומות,2,קרקע
67,יהושע בן נון 17,88.61,"2024","1770000",8232-141-3,דירה בבית קומות,4,שניה
68,0,130,"2024","2950000",8230-409-5,דירה בבית קומות,5,שניה
69,קדושי בלזן 21,24.8,"2024","316000",8232-370-1,קוטג' דו משפחתי,2,קרקע
70,עמק חפר 4,50.6,"2024","1250000",8230-135-7,דירה בבית קומות,3,ראשונה
71,יוספטל 21,34.39,"2024","1275000",8284-87-23,דירה בבית קומות,2,שלישית
72,0,971,"2024","1216000",8230-15-1,ללא תיכנון,לא ידוע,לא ידוע
73,0,130,"2024","3150000",8230-409-6,דירה בבית קומות,5,ראשונה
74,יוספטל 45,34.39,"2024","1180000",8284-192-22,דירה בבית קומות,2,שלישית
75,יוספטל 45,34.39,"2024","1372000",8284-192-20,דירה בבית קומות,2.5,שניה
76,לאה גולדברג 6,158,"2024","3650000",8230-312-4,דירה בבית קומות,6,ראשונה
77,השופטים 6,105,"2024","933000",8232-143-1,קוטג' דו משפחתי,4,ראשונה
78,יוספטל 1,84.9,"2024","1500000",8284-136-18,דירה בבית קומות,5,שניה
79,דב הוז 23,43.66,"2024","1445000",8230-274-17,דירה בבית קומות,3,שלישית
80,מנדלסון 1,194,"2024","3350000",8230-90-1,קוטג' דו משפחתי,5,ראשונה
81,דב הוז 23,72,"2024","1500000",8230-274-3,דירה בבית קומות,4,שניה
82,אבנר בן נר 14,55,"2024","1850000",8232-289-2,דירה בבית קומות,3,קרקע
83,יוספטל 15,43.34,"2024","1290000",8284-85-12,דירה בבית קומות,3,שלישית
84,יפתח הגלעדי 5,178,"2024","2800000",8232-246-3,דירה בבית קומות,6,ראשונה
"85","אצ"ג 1","184","28/03/2024","3520000","8230-351-3","קוטג' דו משפחתי","5","ראשונה"
86,אבנר בן נר 21,לא ידוע,"2024","116000",8232-302-3,ללא תיכנון,לא ידוע,קרקע
87,הרב ריינס 42,70.1,"2024","1670000",8232-62-4,דירה בבית קומות,3.5,שניה
88,יוספטל 9,39.5,"2024","560000",8284-141-9,דירה בבית קומות,2,שניה
89,יוספטל 13,34.39,"2024","1000000",8284-85-21,דירה בבית קומות,2,שלישית
90,0,130,"2024","2980000",8230-409-7,דירה בבית קומות,5,רביעית
91,יוספטל 41,34.39,"2024","1170000",8284-96-24,דירה בבית קומות,2,שלישית
92,אהוד בן גרא 10,21.38,"2024","1000000",8232-284-2,קרקע למגורים,לא ידוע,קרקע
93,0,74,"2024","2100000",8230-409-8,דירה בבית קומות,3,רביעית
94,יוספטל 5,74.3,"2024","1450000",8284-139-11,דירה בבית קומות,3,ראשונה
95,ילין 27,75,"2023","2800000",8267-810-4,דירה בבית קומות,4,קרקע
96,יותם 7,172,"2023","3350000",8232-96-2,דירה בבית קומות,6,ראשונה
97,0,208,"2023","3200000",9132-22-22,דירה בבית קומות,8,ראשונה
98,יוחנן הסנדלר 12,40.74,"2023","1550000",8230-269-4,דירה בבית קומות,3,שניה
99,עולי הגרדום 22,115,"2023","1720000",8284-105-7,דירה בבית קומות,4,ראשונה
100,0,74,"2023","2090000",8230-409-9,דירה בבית קומות,3,שניה
101,0,142,"2023","3881000",8230-409-10,דירה בבית קומות,6,חמישית
102,התקופה 5,24.8,"2023","650000",8232-414-4,קוטג' טורי,2,קרקע
103,אלקלעי 19,107,"2023","2101000",8232-278-2,דירה בבית קומות,4,קרקע
104,יוספטל 2,69.4,"2023","1200000",8284-135-29,דירה בבית קומות,3,שלישית
105,0,92,"2023","362000",8266-116-1,דירה בבית קומות,4,רביעית
106,0,74,"2023","2130000",8230-409-11,דירה בבית קומות,3,שלישית
107,דב הוז 15,43.66,"2023","1550000",8230-272-15,דירה בבית קומות,3,שניה
108,0,209,"2023","3550000",9132-22-21,דירה בבית קומות,5,ראשונה
109,רבן גמליאל 13,87,"2023","2080000",8230-311-9,דירה בבית קומות,4,ראשונה
110,אלקלעי 25,100,"2023","550000",8232-255-1,דירה בבית קומות,4,קרקע
111,הרצל 83,110,"2023","1700000",8233-45-8,דירה בבית קומות,4,שלישית
112,יוספטל 37,75,"2023","350000",8284-95-20,דירה בבית קומות,4,שניה
113,דב הוז 29,40.74,"2023","1100000",8230-271-7,דירה בבית קומות,2,ראשונה
114,צבי פרץ חיות 2,152,"2023","476000",8230-91-1,דירה בבית קומות,5,ראשונה
115,התנאים 17,107.3,"2023","2515000",8230-415-7,דירה בבית קומות,5,שלישית
116,0,226,"2023","4055000",8230-318-4,דירה בבית קומות,8,שניה
117,עולי הגרדום 10,67.5,"2023","1400000",8233-25-8,דירה בבית קומות,3,שניה
118,יוספטל 39,40.74,"2023","1230000",8284-96-11,דירה בבית קומות,3,שלישית
119,יוספטל 2,69.4,"2023","1470000",8284-135-62,דירה בבית קומות,3,שלישית
120,הרב ריינס 18,96.47,"2023","1800000",8232-124-2,דירה בבית קומות,4,ראשונה
121,בובר 9,73.69,"2023","1708000",8230-74-3,דירה בבית קומות,3,שניה
122,אהוד בן גרא 9,68,"2023","2000000",8232-271-3,דירה בבית קומות,4,קרקע
123,יוחנן הסנדלר 1,לא ידוע,"2023","1500000",8230-261-4,דירה בבית קומות,1,ראשונה
124,עולי הגרדום 18,41.74,"2023","848000",8284-102-8,דירה בבית קומות,3,ראשונה
125,0,21.38,"2023","512000",8232-269-4,ללא תיכנון,לא ידוע,קרקע
126,יוחנן הסנדלר 10,40.7,"2023","1300000",8230-268-10,דירה בבית קומות,3,שניה
127,0,927,"2023","4200000",8230-354-2,קרקע למגורים,לא ידוע,לא ידוע
128,0,210,"2023","3200000",9132-23-10,דירה בבית קומות,7,ראשונה
129,0,74,"2023","2050000",8230-409-12,דירה בבית קומות,3,ראשונה
130,יוספטל 5,65.4,"2023","1300000",8284-139-19,דירה בבית קומות,3.5,שלישית
131,עמק חפר 4,37,"2023","1272700",8230-135-6,דירה בבית קומות,2,ראשונה
132,גדעון 6,104,"2023","2500000",8232-348-2,דירה בבית קומות,3,קרקע
133,0,67,"2023","300000",8266-117-1,דירה בבית קומות,3,ראשונה
134,השילוח 5,86,"2023","185000",8232-419-5,קוטג' דו משפחתי,4,ראשונה
135,השילוח 5,86,"2023","141000",8232-419-4,קוטג' חד משפחתי,4,קרקע
136,השילוח 5,86,"2023","283000",8232-419-2,קוטג' חד משפחתי,4,קרקע
137,השילוח 5,86,"2023","166000",8232-419-3,קוטג' חד משפחתי,4,קרקע
138,אלקלעי 19,42.35,"2023","1800000",8232-278-1,דירה בבית קומות,3,קרקע
139,עולי הגרדום 18,42.77,"2023","1280000",8284-103-4,דירה בבית קומות,3,שניה
140,השילוח 1,24.8,"2023","1420000",8232-417-2,דירה בבית קומות,2,קרקע
141,נעמן בלקינד 4,50.45,"2023","1130000",8284-101-5,דירה בבית קומות,3,ראשונה
142,גדעון 16,60,"2023","1600000",8232-363-1,קוטג' דו משפחתי,3,קרקע
143,פרופ' שור 10,100,"2023","2500000",8230-117-1,קוטג' חד משפחתי,4,ראשונה
144,אבא הלל סילבר 2,50,"2023","250000",8232-187-3,קוטג' חד משפחתי,3,ראשונה
145,יהושע בן נון 57,66,"2023","314000",8232-61-3,דירה בבית קומות,2,ראשונה
146,דב הוז 8,35,"2023","1200000",8232-480-6,דירה בבית קומות,3,ראשונה
147,גליקסון 28,68,"2023","1290000",8284-166-3,דירה בבית קומות,2,שניה
148,רזיאל 32,48,"2023","1420000",8267-801-12,דירה בבית קומות,2,שניה
149,פינס 11,143,"2023","3150000",8267-828-2,קוטג' דו משפחתי,5,ראשונה
150,פרישמן 4,61.78,"2023","1335000",8232-527-5,דירה בבית קומות,3,שניה
151,אבא הלל סילבר 2,102,"2023","50000",8232-187-1,קרקע למגורים,לא ידוע,לא ידוע
152,יוחנן הסנדלר 10,40.74,"2023","527000",8230-268-12,דירה בבית קומות,2,שלישית
153,פרופ' שור 6,70,"2023","260000",8230-113-1,דירה בבית קומות,4,ראשונה
154,0,80,"2023","591000",8266-117-2,דירה בבית קומות,4,שלישית
155,ברק בן אבינועם 7,245,"2023","2350000",8232-321-1,דירה בבית קומות,5,קרקע
156,יוספטל 12,40.96,"2023","1250000",8284-115-1,דירה בבית קומות,2,ראשונה
157,יוספטל 2,73,"2023","1275000",8284-135-88,דירה בבית קומות,3,רביעית
158,ברק בן אבינועם 8,24.8,"2023","1840000",8232-328-2,דירה בבית קומות,2,קרקע
159,נעמן בלקינד 3,41.74,"2023","1420000",8284-108-2,דירה בבית קומות,2,ראשונה
160,יוספטל 19,43.34,"2023","1365000",8284-86-8,דירה בבית קומות,3,ראשונה
161,0,92,"2023","1750000",8266-117-3,דירה בבית קומות,4,שביעית
162,גליקסון 37,62.5,"2023","417000",8232-530-12,דירה בבית קומות,3,שלישית
163,0,74,"2023","1240000",8266-117-4,דירה בבית קומות,3,שלישית
164,קדושי בלזן 31,24.8,"2023","1375000",8232-375-2,דירה בבית קומות,1,קרקע
165,הוז דב 2,139.77,"2022","2035000",8232-484-8,דירה בבית קומות,5,רביעית + חמישית
166,אלקלעי 1,170,"2022","3340000",8232-376-3,דירה בבית קומות,6,קרקע
