מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,מימון 17,117.09,2025,3200000,8273-205-4,דירת גן,4,27329
2,המלכים 26,139.3,2024,6140000,8322-238-1,קוטג' חד משפחתי,6,44078
4,המלכים 21,219.22,2023,4081000,8322-248-2,קוטג' דו משפחתי,6,18616
5,המלכים 13,119.56,2023,287000,8322-142-6,קוטג' דו משפחתי,5,2400
6,אחי דקר 3,356,2022,10000000,8322-245-1,קוטג' חד משפחתי,7,28090
7,מוריה 7,154,2022,2360000,8273-15-5,קוטג' דו משפחתי,5,15325
10,אחי דקר 17,425,2022,10397000,8322-87-1,קוטג' חד משפחתי,7,24464
12,מוריה 7,166,2022,2000000,8273-15-4,דירה בבית,5,12048
14,מימון 27,128,2021,2180000,8273-357-13,דירה בבית,5,17031
15,מוריה 7,141,2021,2300000,8273-15-3,דירת גן,5,16312
16,מימון 11,120,2021,2200000,8273-202-6,דירה בבית,4,18333
17,מימון 27,246,2021,3500000,8273-357-12,דירת גן,7,14228
18,מימון 27,120,2020,2000000,8273-357-11,דירת גן,4,16667
19,נווה שלום 33,65,2020,100000,8321-12-3,קוטג' חד משפחתי,4,1538
20,מימון 27,186,2020,2310000,8273-357-10,דירת גן,5,12419
21,מימון 21,191,2020,2000000,8273-428-2,דירת גן,5,10471
22,המלכים 15,140.02,2020,3250000,8322-141-2,קוטג' חד משפחתי,5,23211
23,מימון 11,120,2020,1900000,8273-202-5,דירה בבית,5,15833
24,מימון 11,125,2020,2200000,8273-202-4,דירת גן,5,17600
25,מימון 11,120,2020,2050000,8273-202-3,דירת גן,5,17083
26,מימון 11,120,2019,1880000,8273-202-2,דירה בבית,5,15667
27,מימון 27,130,2019,2300000,8273-357-9,דירה בבית,5,17692
28,מימון 27,120,2019,2460000,8273-357-8,דירה בבית,4,20500
29,מימון 11,180,2019,2850000,8273-202-1,דירה בבית,5,15833
30,מימון 27,120,2019,2070000,8273-357-7,דירה בבית,5,17250
31,מימון 11,125,2018,2000000,8273-202-7,דירה בבית,4,16000
32,מימון 27,120,2017,1900000,8273-357-6,דירה בבית,5,15833
35,מימון 27,120,2017,2050000,8273-357-5,דירה בבית,5,17083
36,מימון 27,126,2017,2190000,8273-357-14,דירה בבית,5,17381
37,דברי חיים 28,189,2017,2400000,8321-37-1,קוטג' דו משפחתי,5,12698
38,נווה שלום 33,135,2016,682000,8321-12-4,קוטג' דו משפחתי,5,5052
39,הגדוד העברי 36,234.8,2016,4150000,8321-74-2,קוטג' דו משפחתי,6,17675
40,אחי דקר 6,188.5,2016,3275000,8322-275-2,דירה בבית,6,17374
41,המלכים 13,108.72,2016,2600000,8322-142-2,דירה בבית,4,23915
43,המלכים 15,1026,2016,2700000,8322-141-0,קוטג' דו משפחתי,6,2632
44,נווה שלום 35,99,2015,749000,8321-73-1,דירה בבית,3,7566
45,מימון 27,130,2015,210000,8273-357-4,דירה בבית,5,1615
46,מימון 27,120,2015,700000,8273-357-3,דירה בבית,5,5833
47,הגדוד העברי 36,234.8,2015,3734000,8321-74-1,דירה בבית,6,15903
48,מימון 23,164.13,2015,2300000,8273-427-1,קוטג' דו משפחתי,6,14013
49,מימון 13,204,2015,2045000,8273-203-1,קוטג' דו משפחתי,5,10025
50,המלכים 13,110.74,2015,1066000,8322-142-1,קוטג' דו משפחתי,4,9626
51,מימון 27,245,2015,2350000,8273-357-2,דירה בבית,5,9592
52,מימון 27,126,2013,1980000,8273-357-15,דירה בבית,5,15714
54,מימון 27,189,2012,1850000,8273-357-16,דירה בבית,6,9788
57,נווה שלום 34,130,2010,1500000,8321-54-1,קוטג' חד משפחתי,5,11538
60,0,350,2009,1799000,8322-140-1,דירה בבית,8,5140
61,מוריה 7,136,2009,1160000,8273-15-2,קוטג' דו משפחתי,5,8529
62,מוריה 7,220,2009,1260000,8273-15-1,קוטג' חד משפחתי,6.5,5727
73,מימון 15,225,2006,2323000,8273-204-1,קוטג' דו משפחתי,6,10324
76,נווה שלום 31,100,2006,1423000,8321-43-1,דירת נופש,4,14230
77,הגדוד העברי 6,105,2006,1638000,8322-250-1,קוטג' דו משפחתי,לא ידוע,15600
78,אחי דקר 5,200,2005,2374000,8322-246-1,דירה בבית,6,11870
79,אחי דקר 2,285,2004,2961000,8322-344-1,דירה בבית,6,10389
80,המלכים 21,193.22,2004,1366000,8322-248-1,דירה בבית,6,7070
