מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,מזמור 18,151,"2025","2150000",38245-10-3,קוטג' חד משפחתי,5,לא ידוע
2,צבר 1,60.8,"2025","595000",38211-7-42,דירה בבית קומות,3,שלישית
3,נורית 7,66.1,"2025","615000",38211-61-22,דירה בבית קומות,3,שניה
4,צבר 1,60.8,"2025","605000",38211-7-46,דירה בבית קומות,3,רביעית
5,אופק 10,34.6,"2025","460000",38211-65-14,דירה בבית קומות,2,שלישית
6,ערבה 18,66.2,"2025","570000",38211-66-11,דירה בבית קומות,3,שלישית
7,צבר 3,60.8,"2025","600000",38211-6-16,דירה בבית קומות,3,רביעית
8,צבר 5,60.8,"2025","635000",38211-5-28,דירה בבית קומות,3,שלישית
9,שלווה 3,96,"2025","729000",38211-107-7,דירה בבית קומות,5,קרקע
"10","הפלמ"ח 38","72.6","08/04/2025","1200000","38211-122-1","דירה בבית קומות","3","קרקע"
11,רענן 3,45.5,"2025","520000",38232-16-11,דירה בבית קומות,2,שניה
12,אופק 10,66.4,"2025","610000",38211-65-16,דירה בבית קומות,3,שלישית
13,אופק 9,109,"2025","1500000",38211-32-3,קוטג' דו משפחתי,4,לא ידוע
14,מגשימים 2,117,"2025","1450000",38211-51-5,דירה בבית קומות,4,לא ידוע
"15","הפלמ"ח 56","64.4","30/03/2025","1000000","38211-129-2","דירה בבית קומות","4","קרקע"
16,רענן 1,47,"2025","440000",38232-15-29,דירה בבית קומות,2,שלישית
17,מזמור 13,213,"2025","1910000",38245-28-20,דירה בבית קומות,5,שלישית
18,נורית 10,96,"2025","1300000",38211-46-2,דירה בבית קומות,5,לא ידוע
19,עין התכלת 1,232,"2025","2100000",38280-16-2,דירה בבית קומות,6,לא ידוע
20,צבר 5,60.8,"2025","560000",38211-5-31,דירה בבית קומות,3,רביעית
21,צבר 1,60.8,"2025","605000",38211-7-39,דירה בבית קומות,3,שניה
22,מזמור 20,171,"2025","1800000",38245-9-2,דירה בבית קומות,5,ראשונה
23,ענבר 4,101,"2025","633000",38231-15-2,דירה בבית קומות,5,קרקע
24,ערבה 22,66.1,"2024","610000",38211-60-2,דירה בבית קומות,3,ראשונה
25,שלווה 10,144,"2024","533000",38211-77-3,דירה בבית קומות,6,לא ידוע
26,ערבה 22,66.1,"2024","580000",38211-60-27,דירה בבית קומות,3,שלישית
27,ערבה 22,66.1,"2024","560000",38211-60-10,דירה בבית קומות,3,שלישית
28,צבר 1,60.8,"2024","655000",38211-7-7,דירה בבית קומות,3,שנייה
29,ערבה 39,135,"2024","1615000",38231-6-2,דירה בבית קומות,5,קרקע
30,צבר 1,60.8,"2024","450000",38211-7-2,דירה בבית קומות,3,ראשונה
31,ערבה 9,120,"2024","1240000",38211-72-3,דירה בבית קומות,5,ראשונה
32,צבר 5,60.8,"2024","800000",38211-5-10,דירה בבית קומות,3,שלישית
