מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
156,פרת 6,84.85,2020,1320000,1534-66-1,דירת גן,4,15557
157,מלכי ישראל 102,82.36,2020,840000,1534-88-13,דירה בבית,3,10199
158,הרב עובדיה יוסף 14,63.01,2020,960000,1534-29-4,דירה בבית,3,15236
159,הצדיק משטפנשט 27,64.03,2020,850000,1534-17-2,דירה בבית,3,13275
160,נינוה 6,92.29,2020,1500000,1534-32-3,קוטג' חד משפחתי,4,16253
161,דור 7,64.21,2020,870000,1534-5-16,דירה בבית,3,13549
162,אדוריים 94,192,2020,2240000,2430-123-1,דירה בבית,6,11667
163,שבא 12,61.67,2020,1126000,1534-53-1,דירה בבית,3,18258
165,אופיר 3,135.97,2020,1820000,1534-46-1,דירה בבית,5,13385
166,אדוריים 104,390,2020,2100000,2430-127-1,קוטג' דו משפחתי,6,5385
167,שבא 4,84.85,2020,1200000,1534-38-2,דירה בבית,4,14143
168,הצדיק משטפנשט 3,64.03,2020,695000,1534-84-6,דירה בבית,3,10854
169,עדולם 19,135.97,2020,1600000,1534-45-2,קוטג' דו משפחתי,5,11767
170,אופיר 7,139.48,2020,1750000,1534-46-3,דירה בבית,5,12547
171,פרת 24,63.77,2020,770000,1534-86-11,דירה בבית,3,12075
172,הרב עובדיה יוסף 8,78.22,2020,1150000,1534-26-6,דירה בבית,4,14702
173,הרב עובדיה יוסף 18,78.22,2020,912000,1534-100-3,דירה בבית,4,11659
174,אתרי המקרא 2,83.79,2020,930000,1534-94-5,דירה בבית,4,11099
175,הרב עובדיה יוסף 13,83.79,2020,895000,1534-16-5,דירה בבית,4,10681
176,דור 3,83.79,2020,1025000,1534-6-5,דירה בבית,4,12233
177,הרב עובדיה יוסף 31,64.03,2020,800000,1534-81-2,דירה בבית,3,12494
178,הרב עובדיה יוסף 21,83.79,2020,950000,1534-15-5,דירה בבית,4,11338
179,גושן 3,106.4,2020,1220000,1534-70-3,דירה בבית,5,11466
180,אדוריים 38,180,2020,2045000,2430-30-1,דירה בבית,5,11361
181,דור 3,83.79,2020,900000,1534-6-1,דירה בבית,4,10741
