מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,0,3164,"2024","2560000",5419-22-3,תעשיה,לא ידוע,לא ידוע
2,0,256,"2023","4200000",5418-19-4,משרד,לא ידוע,שניה
3,0,300,"2023","5825000",5418-19-5,משרד,לא ידוע,ראשונה
4,0,38996,"2021","9350000",5418-18-0,מחסנים,לא ידוע,לא ידוע
5,0,7000,"2021","38500000",5418-40-1,ללא תיכנון,לא ידוע,לא ידוע
6,0,37855,"2019","2200000",5418-19-2,מסחרי + משרדים,לא ידוע,לא ידוע
7,0,1123.8,"2019","5000000",5418-18-22,מבנים חקלאיים,לא ידוע,קומה ‎0‏, קומה ‎1‏, קומה ‎2‏, קומה ‎3‏
8,0,לא ידוע,"2019","25417000",5419-7-1,מסחרי + משרדים,לא ידוע,לא ידוע
9,0,683.8,"2019","310000",5418-18-2,משרד,לא ידוע,קומה ‎0‏, קומה ‎1‏, קומה ‎2‏
10,0,לא ידוע,"2019","194000",5419-7-2,ללא תיכנון,לא ידוע,לא ידוע
11,0,לא ידוע,"2018","142000",5418-23-1,מחסנים,לא ידוע,ראשונה
12,0,527,"2018","1364000",5419-22-2,תעשיה,לא ידוע,לא ידוע
13,0,37855,"2017","144849000",5418-19-1,משרדים + מגורים,לא ידוע,לא ידוע
14,0,9000,"2017","36180000",5418-17-1,תעשיה,לא ידוע,לא ידוע
15,0,527,"2017","1290000",5419-22-1,תעשיה,לא ידוע,לא ידוע
16,0,8262,"2017","49572000",5419-30-1,תעשיה,לא ידוע,לא ידוע
17,0,12000,"2017","80000000",5419-30-2,תעשיה,לא ידוע,לא ידוע
18,0,לא ידוע,"2014","136000",5418-22-1,תעשיה,לא ידוע,לא ידוע
