מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,0,לא ידוע,"2025","274000",3941-41-2,מחסנים,לא ידוע,לא ידוע
2,0,לא ידוע,"2025","274000",3941-41-1,מחסנים,לא ידוע,לא ידוע
3,טוליפמן 1,53,"2025","327000",3942-165-77,משרד,לא ידוע,שישית
4,טוליפמן 1,לא ידוע,"2025","51000",3942-165-78,חניה,לא ידוע,לא ידוע
5,0,לא ידוע,"2025","468000",3939-572-11,משרד,לא ידוע,ראשונה
6,טוליפמן 1,75,"2025","479000",3942-165-79,משרד,לא ידוע,שישית
7,טוליפמן 1,49,"2025","317000",3942-165-80,משרד,לא ידוע,שישית
8,בקר 7,9022,"2024","20000000",3939-11-1,ללא תיכנון,לא ידוע,לא ידוע
9,0,22,"2024","350000",3939-572-10,משרד,לא ידוע,שניה
10,טוליפמן 1,49,"2024","734000",3942-165-82,משרד,לא ידוע,שביעית
11,טוליפמן 1,75,"2024","993000",3942-165-83,משרד,לא ידוע,שביעית
12,טוליפמן 1,64,"2024","1162512",3942-165-75,לא ידוע,1,שביעית
13,טוליפמן 1,75,"2024","1311476",3942-165-76,לא ידוע,1,שביעית
14,טוליפמן 1,71,"2024","447000",3942-165-85,משרד,לא ידוע,חמישית
15,טוליפמן 1,72,"2024","1017694",3942-165-74,לא ידוע,1,חמישית
16,טוליפמן 1,75,"2024","828000",3942-165-86,משרד,לא ידוע,שניה
17,טוליפמן 1,75,"2024","971162",3942-165-73,לא ידוע,1,שניה
18,טוליפמן 1,64,"2024","828172",3942-165-72,לא ידוע,1,שניה
19,טוליפמן 1,56,"2024","728533",3942-165-71,לא ידוע,1,שניה
20,פלוטיצקי 10,124.56,"2024","750000",3942-10-37,משרד,לא ידוע,שניה
21,טוליפמן 1,53,"2024","377000",3942-165-89,משרד,לא ידוע,שניה
22,טוליפמן 1,54,"2024","856867",3942-165-70,לא ידוע,1,שניה
23,בנימין שמוטקין 6,101,"2024","2000000",3939-164-9,חנות,לא ידוע,ראשונה
24,בקר 11,100.92,"2024","540000",3939-273-12,חנות,לא ידוע,קרקע ובניים
25,טוליפמן 1,71,"2024","1012000",3942-165-90,משרד,לא ידוע,חמישית
26,טוליפמן 1,72,"2024","1012084",3942-165-69,לא ידוע,1,חמישית
27,0,74,"2024","1000000",3942-188-5,משרד,לא ידוע,ראשונה
28,טוליפמן 1,71,"2024","443000",3942-165-91,משרד,לא ידוע,שביעית
29,טוליפמן 1,72,"2024","1008738",3942-165-68,לא ידוע,1,שביעית
30,טוליפמן 1,57,"2024","349000",3942-165-92,משרד,לא ידוע,שביעית
31,טוליפמן 1,57,"2024","794158",3942-165-67,לא ידוע,1,שביעית
32,טוליפמן 1,75,"2024","567000",3942-165-93,משרד,לא ידוע,שביעית
33,טוליפמן 1,56,"2024","1003310",3942-165-65,לא ידוע,1,שביעית
34,טוליפמן 1,75,"2024","1103024",3942-165-66,לא ידוע,1,שביעית
35,ברשבסקי 6,108.69,"2024","1300000",3939-565-7,משרד,לא ידוע,שלישית
36,טוליפמן 1,88,"2024","1104000",3942-165-95,משרד,לא ידוע,שביעית
37,יעקב פרימן 20,164,"2024","1180000",3939-514-12,משרד,לא ידוע,שניה
38,טוליפמן 1,89,"2024","1104008",3942-165-64,לא ידוע,1,שביעית
39,טוליפמן 1,159,"2024","3649000",3942-165-96,חנות,לא ידוע,לא ידוע
40,טוליפמן 1,152,"2024","3649370",3942-165-63,לא ידוע,1,ראשונה
41,טוליפמן 1,81,"2024","471000",3942-165-98,משרד,לא ידוע,שביעית
42,טוליפמן 1,89,"2024","1291689",3942-165-62,לא ידוע,1,שביעית
43,טוליפמן 1,81,"2024","1195183",3942-165-61,לא ידוע,1,שביעית
44,טוליפמן 1,72,"2024","1071344",3942-165-60,לא ידוע,1,שביעית
45,טוליפמן 1,54,"2024","840492",3942-165-58,לא ידוע,1,שביעית
