מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,כורש 9,78.12,"2025","2100000",5031-6-4,דירה בבית קומות,3,ראשונה
2,חיל הצנחנים 19,73.2,"2025","2150000",5037-30-9,דירה בבית קומות,3,שניה
"3","זלמן שז"ר 36","75","12/05/2025","1950000","2717-19-9","דירה בבית קומות","3","ראשונה"
4,חיל הצנחנים 25,91.2,"2025","2350000",5037-30-48,דירה בבית קומות,4,שניה
5,חיל החימוש 36,102.99,"2025","2840000",2717-21-4,דירה בבית קומות,4,ראשונה
6,חיל האוויר 5,96.25,"2025","3580000",2717-34-80,דירה בבית קומות,4,עשרים
"7","זלמן שז"ר 16","76.47","27/03/2025","2020000","5031-9-7","דירה בבית קומות","3","שניה"
8,הדסה 14,258,"2025","5525000",5030-135-3,קוטג' דו משפחתי,7,לא ידוע
9,חיל האוויר 3,98.85,"2025","3150000",2717-35-49,דירה בבית קומות,4,ארבע עשרה
10,חיל האוויר 3,91.95,"2025","2860000",2717-35-42,דירה בבית קומות,4,שתים עשרה
11,חיל הרגלים 31,80.75,"2025","2090000",5031-4-48,דירה בבית קומות,4,חמישית
12,חיל הרגלים 21,68.09,"2025","2400000",5031-5-4,דירה בבית קומות,3,שניה
13,חיל הרגלים 31,80.75,"2025","2120000",5031-4-31,דירה בבית קומות,4,ראשונה
14,חיל האוויר 5,91.95,"2025","3150000",2717-34-26,דירה בבית קומות,4,שביעית
15,חיל הצנחנים 10,90.8,"2025","2200000",5037-37-41,דירה בבית קומות,4,רביעית
16,0,138.25,"2025","1900000",5029-5-8,דירה בבית קומות,5,קרקע ראשונה ושניה
17,חיל הצנחנים 20,88,"2025","2440000",5037-29-63,דירה בבית קומות,4,שלישית
18,חיל החימוש 3,99.42,"2025","2375000",2717-4-20,דירה בבית קומות,4,רביעית
19,חיל השריון 5,122,"2025","3700000",2717-16-24,דירה בבית קומות,5,שביעית
20,חיל החימוש 18,155.25,"2024","3000000",2717-3-36,דירה בבית קומות,6,שביעית ושמינית
21,עטרת זהב 11,273,"2024","992000",5030-174-2,קוטג' דו משפחתי,6,לא ידוע
22,חיל השריון 13,64,"2024","2900000",2717-14-34,דירה בבית קומות,3,תשיעית
23,חיל החימוש 4,85.71,"2024","2340000",2717-33-19,דירה בבית קומות,4,רביעית
"24","זלמן שז"ר 28","127","06/11/2024","3400000","2717-20-51","דירה בבית קומות","5","רביעית"
25,אביחיל 13,218,"2024","136000",5030-146-3,קוטג' דו משפחתי,6,שניה
"26","זלמן שז"ר 16","76.47","30/09/2024","1955000","5031-9-15","דירה בבית קומות","3","רביעית"
27,חיל הרגלים 21,94,"2024","2535000",5031-5-41,דירה בבית קומות,4,חמישית
28,כורש 7,78.12,"2024","2270000",5031-7-24,דירה בבית קומות,3,שישית
29,חיל הרגלים 21,89,"2024","2500000",5031-5-42,דירה בבית קומות,4,שביעית
