מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
288,מנדלי מוכר ספרים 2,59,2020,1220000,3704-439-14,דירה בבית,2,20678
290,יעקב 30,83.73,2020,1738000,3704-717-6,דירה בבית,4,20757
291,הבנים 19,59.65,2020,1280000,3704-316-11,דירה בבית,3,21459
292,0,90,2020,1840000,3704-562-4,דירה בבית,4,20444
293,הבנים 19,36.14,2020,1150000,3704-316-1,דירה בבית,3,31821
294,בנימין 38,118.1,2020,1800000,3704-700-11,דירה בבית,5,15241
295,0,95,2020,1440000,3704-614-23,דירה בבית,4,15158
296,גולדין 5,69.92,2020,1720000,3704-785-32,דירה בבית,3,24600
297,הבנים 19,59.65,2020,1145000,3704-316-15,דירה בבית,3,19195
299,הראה 23,99.5,2020,1650000,3704-265-2,דירה בבית,4,16583
300,עזרא 35,83,2020,1700000,3704-575-26,דירה בבית,6,20482
301,בנימין 11,95.6,2020,1240000,3704-25-27,דירה בבית,4,12971
302,0,88,2020,1850000,3704-562-27,דירה בבית,3.5,21023
304,בנימין 8,69,2020,1145000,3704-603-4,דירה בבית,3,16594
305,0,89,2020,1840000,3704-562-29,דירה בבית,3.5,20674
307,0,88,2020,1900000,3704-562-30,דירה בבית,3.5,21591
308,0,88,2020,1900000,3704-562-17,דירה,4,21591
309,עזרא 3,95.17,2020,1600000,3704-61-44,דירה בבית,4,16812
310,0,88,2020,1850000,3704-562-31,דירה בבית,3.5,21023
311,גולדין 5,76.24,2020,1720000,3704-785-7,דירה בבית,3,22560
312,0,88,2020,1850000,3704-562-5,דירה,4,21023
313,0,88,2020,1850000,3704-562-32,דירה בבית,3.5,21023
314,0,88,2020,1850000,3704-562-1,דירה,4,21023
315,בנימין 35,184.8,2020,3020000,3704-754-17,דירה בבית,7,16342
316,עזרא 7,87.4,2020,1595000,3704-688-5,דירה בבית,4,18249
317,נורדאו 19,74.33,2020,1320000,3704-35-35,דירה בבית,3,17759
318,הרצל 140,67,2020,429000,3704-58-13,דירה בבית,3,6403
319,הבנים 2,44,2020,1035000,3704-567-32,דירה בבית,3,23523
320,אליעזר יעקבסון 5,100.8,2020,1865000,3704-270-6,דירה בבית,4.5,18502
321,עזרא 17,64.37,2020,1420000,3704-444-6,דירה בבית,3,22060
322,0,88,2020,1890000,3704-562-33,דירה בבית,3.5,21477
323,נורדאו 4,74.6,2020,1445000,3704-598-23,דירה בבית,3,19370
324,0,88,2020,1890000,3704-562-21,דירה,4,21477
325,נורדאו 34,68.23,2020,1400000,3704-434-10,דירה בבית,3,20519
326,בנימין 26,80.1,2020,1870000,3704-492-13,דירה בבית,3,23346
327,בנימין 26,139.83,2020,2260000,3704-492-9,דירה בבית,5,16162
328,עזרא 25,59.97,2020,1130000,3704-448-13,דירה בבית,3.5,18843
329,אליעזר יעקבסון 8,104,2020,1415000,3704-273-15,דירה בבית,4,13606
330,בנימין 3,85,2020,1332000,3704-398-1,דירה בבית,3,15671
331,מנדלי מוכר ספרים 2,67,2020,1210000,3704-439-15,דירה בבית,3,18060
332,עזרא 7,87.4,2020,1332000,3704-688-7,דירה בבית,4,15240
333,עזרא 25,56.97,2020,1185000,3704-448-6,דירה בבית,3,20800
334,עזרא 23,45.29,2020,950000,3704-447-13,דירה בבית,2,20976
335,0,95,2020,1500000,3704-614-10,דירה בבית,4,15789
336,הראה 15,77.81,2020,1500000,3704-269-11,דירה בבית,4,19278
337,הראה 10,126,2020,2180000,3704-286-7,דירה בבית,5,17302
338,0,142,2020,3000000,3704-562-34,דירה בבית,5,21127
340,הראה 10,103,2020,1860000,3704-286-8,דירה בבית,4,18058
341,יעקב 30,96.68,2020,1820000,3704-717-8,דירה בבית,4,18825
342,הראה 10,149,2020,2850000,3704-286-9,דירה בבית,6,19128
343,בנימין 15,76.1,2020,1470000,3704-669-23,דירה בבית,3,19317
344,הראה 10,129,2020,2440000,3704-286-10,דירה בבית,5,18915
345,הראה 10,103,2020,1870000,3704-286-11,דירה בבית,4,18155
346,הבנים 21,65.4,2020,1375000,3704-611-11,דירה בבית,3,21024
347,0,88,2020,1880000,3704-562-35,דירה בבית,3.5,21364
348,הבנים 19,59.65,2020,1190000,3704-316-7,דירה בבית,3,19950
349,0,83,2020,1590000,3704-614-8,דירה בבית,3,19157
350,הראה 10,126,2020,2079000,3704-286-12,דירה בבית,5,16500
351,הראה 10,126,2020,2080000,3704-286-1,דירה,5,16508
352,בנימין 9,57.8,2020,1130000,3704-200-22,דירה בבית,3,19550
353,אליעזר יעקבסון 11,79,2020,1600000,3704-613-5,דירה בבית,4,20253
355,0,88,2020,1830000,3704-562-36,דירה בבית,3.5,20795
356,0,88,2020,1830000,3704-562-16,דירה,4,20795
357,הראה 10,132,2020,2150000,3704-286-13,דירה בבית,5,16288
358,הראה 10,132,2020,2150000,3704-286-3,דירה,5,16288
360,הראה 10,133,2020,2500000,3704-286-14,דירה בבית,5,18797
361,עזרא 21,60.76,2020,1220000,3704-446-3,דירה בבית,3,20079
362,הראה 14,52,2020,277000,3704-288-2,דירה בבית,2,5327
363,מנדלי מוכר ספרים 2,63,2020,1282000,3704-439-16,דירה בבית,3,20349
364,הראה 10,126,2020,2090000,3704-286-15,דירה בבית,5,16587
365,נורדאו 6,59.1,2020,1165000,3704-596-7,דירה בבית,3,19712
366,הראה 10,103,2020,1870000,3704-286-16,דירה בבית,4,18155
367,מאפו 11,61,2020,1200000,3704-472-3,דירה בבית,3,19672
368,הבנים 3,58.52,2020,1200000,3704-623-5,דירה בבית,3,20506
369,הראה 10,103,2020,1860000,3704-286-17,דירה בבית,4,18058
370,הרצל 140,127.2,2020,1600000,3704-58-28,דירה בבית,5,12579
371,בנימין 9,75.1,2020,1400000,3704-200-10,דירה בבית,3.5,18642
372,יעקב 32,89,2020,1725000,3704-717-54,דירה בבית,4,19382
373,0,88,2020,1840000,3704-562-37,דירה בבית,3.5,20909
374,0,89,2020,1840000,3704-562-11,דירה,4,20674
375,אליעזר יעקבסון 11,79,2020,1500000,3704-613-1,דירה בבית,3.5,18987
