מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
150,ברזילי 7,130,2020,196000,5806-57-1,דירה בבית,4,1508
151,יהודה שטיין 16,56.9,2020,920000,5807-46-12,דירה בבית,3,16169
152,צהל 13,56.9,2020,760000,5806-41-32,דירה בבית,3,13357
153,לוי אשכול 16,68,2020,716000,5806-29-1,קוטג' דו משפחתי,3,10529
154,יצחק בן צבי 10,62.28,2020,990000,5806-46-58,דירה בבית,3,15896
155,יצחק בן צבי 26,38.5,2020,785000,5805-51-15,דירה בבית,2,20390
156,קרן היסוד 5,54,2020,933000,5806-143-3,דירה בבית,3,17278
157,תוחלת 5,180,2020,1800000,5806-30-2,קוטג' דו משפחתי,7,10000
158,יצחק בן צבי 8,82.53,2020,162000,5806-46-3,דירה בבית,4,1963
159,לוי אשכול 4,56.9,2020,820000,5806-43-23,דירה בבית,3,14411
160,צהל 13,56.9,2020,918100,5806-42-30,דירה בבית,3,16135
161,יצחק בן צבי 24,38.5,2020,830000,5805-50-25,דירה בבית,2,21558
162,לוי אשכול 8,76.8,2020,1740000,5806-34-2,דירה בבית,3,22656
163,יצחק בן צבי 30,45.3,2020,710000,5805-53-26,דירה בבית,2,15673
164,צהל 13,56.9,2020,835000,5806-42-13,דירה בבית,3,14675
165,יהודה שטיין 10,56.9,2020,200000,5807-42-20,דירה בבית,3,3515
166,צהל 13,56.9,2020,850000,5806-42-3,דירה בבית,3,14938
167,יצחק בן צבי 22,45.3,2020,850000,5805-49-18,דירה בבית,2,18764
168,תוחלת 13,120,2020,2600000,5806-137-1,דירה בבית,4,21667
169,יצחק בן צבי 8,82.53,2020,400000,5806-46-14,דירה בבית,4,4847
170,יצחק בן צבי 30,41.15,2020,760000,5805-53-7,דירה בבית,2,18469
171,לוי אשכול 4,56.9,2020,875000,5806-43-28,דירה בבית,3,15378
172,יהודה שטיין 12,56.9,2020,920000,5807-44-5,דירה בבית,3,16169
173,גיבורי ישראל 1,56.9,2020,875000,5807-36-16,דירה בבית,3,15378
174,יצחק בן צבי 26,38.5,2020,768000,5805-51-20,דירה בבית,2,19948
