מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,יערה 8,160.9,"2025","642000",6578-553-8,דירת גג,6,רביעית, עלית גג, קרקע תחתונה
2,יערה 14,118.8,"2025","4791600",6578-554-15,דירה בבית קומות,5,ראשונה
3,הזהב 3,124.6,"2025","4600000",6578-550-2,דירה בבית קומות,5,ראשונה
4,יערה 12,113,"2025","3900000",6578-551-45,דירה בבית קומות,5,שתים עשרה
5,הזהב 3,112.1,"2024","3950000",6578-550-41,דירה בבית קומות,5,אחת עשרה
6,0,88.3,"2024","3500000",6578-559-1,דירת גן,3,קומה ‎0‏
7,יערה 12,153,"2024","4784000",6578-551-50,דירה בבית קומות,6,ארבע עשרה +חמש עשרה
8,יערה 2,107,"2024","4250000",6578-561-14,דירה בבית קומות,5,רביעית
9,הזהב 3,99.5,"2024","3240000",6578-550-13,דירה בבית קומות,4,רביעית
10,יערה 10,124,"2024","4675000",6578-552-11,דירה בבית קומות,5,שלישית
11,החורש 2,237,"2024","4645000",6578-555-2,דירה בבית קומות,5,ראשונה
12,רבוצקי 104,211.9,"2024","2342000",6578-556-6,דירה בבית קומות,7,קומה ‎2‏
13,החורש 2,134,"2024","6350000",6578-555-4,דירה בבית קומות,5,שביעית
14,החורש 6,105.35,"2024","3200000",6578-547-17,דירה בבית קומות,3,שישית
15,החורש 2,לא ידוע,"2023","80000",6578-555-5,חניה,לא ידוע,לא ידוע
16,יערה 18,137.45,"2023","5400000",6578-659-9,דירה בבית קומות,5,קומה ‎3‏
17,יערה 8,131.6,"2023","4650000",6578-553-18,דירה בבית קומות,6,שלישית, קרקע תחתונה
18,יערה 10,102,"2023","3150000",6578-552-21,דירה בבית קומות,4.5,שישית
19,יערה 10,164,"2023","2654000",6578-552-48,דירה בבית קומות,6,ארבע עשרה, חמש עשרה
20,יערה 10,124,"2023","3300000",6578-552-19,דירה בבית קומות,4,חמישית
21,החורש 2,75,"2023","3528000",6578-555-6,דירה בבית קומות,3,שישית
22,רבוצקי 102,121,"2023","4300000",6578-557-3,דירת גן,5,קרקע
23,החורש 2,107,"2023","3350000",6578-555-7,דירה בבית קומות,3,רביעית
24,החורש 16,168.6,"2023","7500000",6578-560-37,דירה בבית קומות,6,שישית, שביעית
25,החורש 2,128,"2023","5557000",6578-555-9,דירה בבית קומות,5,חמישית
26,החורש 2,128,"2023","5375000",6578-555-10,דירה בבית קומות,5,שלישית
27,החורש 2,107,"2022","4710000",6578-555-11,דירה בבית קומות,4,חמישית
28,החורש 2,107,"2022","4710000",6578-555-1,לא ידוע,4,חמישית
29,הזהב 3,99.5,"2022","3650000",6578-550-4,דירה בבית קומות,4,שניה
30,יערה 2,111,"2022","5100000",6578-561-1,דירת גן,5,קרקע
31,הזהב 3,98.7,"2022","3700000",6578-550-28,דירה בבית קומות,4,שמינית
32,הזהב 3,99.5,"2022","3250000",6578-550-20,דירה בבית קומות,4,שישית
33,יערה 10,110,"2022","4150000",6578-552-39,דירה בבית קומות,5,אחת עשרה
34,יערה 2,113,"2022","4400000",6578-561-26,דירה בבית קומות,5,קרקע
35,הזהב 3,151.18,"2022","4930000",6578-550-47,דירה בבית קומות,5,שלוש עשרה
36,הזהב 3,117.1,"2022","3900000",6578-550-42,דירה בבית קומות,5,אחת עשרה
37,רבוצקי 102,124,"2022","3300000",6578-557-7,דירה בבית קומות,5,ראשונה
38,0,80,"2022","2650000",6578-112-9,דירה בבית קומות,3,שניה
39,0,80,"2022","2650000",6578-112-8,לא ידוע,3,שניה
40,הזהב 4,99.5,"2022","2900000",6578-549-21,דירה בבית קומות,4,שישית
41,הזהב 4,149.09,"2022","5000000",6578-549-49,דירה בבית קומות,6,ארבע עשרה+חמש עשרה
42,יערה 10,102,"2021","2900000",6578-552-5,דירה בבית קומות,4,שניה
43,0,80,"2021","2500000",6578-112-11,דירה בבית קומות,3,שלישית
44,0,80,"2021","2500000",6578-112-7,לא ידוע,3,לא ידוע
45,החורש 16,113.6,"2021","2890000",6578-560-14,דירה בבית קומות,5,חמישית
46,0,137,"2021","1875000",6578-112-12,דירה בבית קומות,5,ראשונה
47,0,137,"2021","3750000",6578-113-1,לא ידוע,5,ראשונה
48,יערה 12,99.5,"2021","2700000",6578-551-4,דירה בבית קומות,4,שניה
49,0,100,"2021","2900000",6578-112-13,דירה בבית קומות,4,שישית
50,0,100,"2021","2900000",6578-112-6,לא ידוע,4,לא ידוע
51,החורש 12,116.22,"2021","2740000",6578-548-26,דירה בבית קומות,5,שישית
52,החורש 16,113.3,"2021","2475000",6578-560-16,דירה בבית קומות,5,חמישית
53,יערה 10,124,"2021","3485000",6578-552-6,דירה בבית קומות,5,שניה
54,0,137,"2021","1775000",6578-112-14,דירה בבית קומות,5,רביעית
55,0,100,"2021","3550000",6578-112-5,לא ידוע,5,שישית
56,0,80,"2021","2350000",6578-112-4,לא ידוע,3,רביעית
57,יערה 12,101.37,"2021","2360000",6578-551-16,דירה בבית קומות,4,חמישית
58,0,100,"2021","2700000",6578-112-16,דירה בבית קומות,4,חמישית
59,0,100,"2021","2700000",6578-112-3,לא ידוע,4,רביעית
60,0,80,"2021","1225000",6578-112-17,דירה בבית קומות,3,חמישית
61,0,80,"2021","2450000",6578-112-2,דירה,3,שלישית
62,יערה 12,102.4,"2021","2460000",6578-551-24,דירה בבית קומות,4,שביעית
63,רבוצקי 104,1097,"2021","6850000",6578-556-0,דירת גג,5,שלישית
64,0,194,"2021","6500000",6578-112-18,דירת גג (פנטהאוז),5,ראשונה
65,החורש 6,120.6,"2020","2850000",6578-547-15,דירה בבית קומות,5,חמישית
66,יערה 2,112.7,"2020","2825000",6578-561-29,דירה בבית קומות,5,ראשונה
67,יערה 14,131.4,"2020","3600000",6578-554-4,דירה בבית קומות,6,ראשונה
68,רבוצקי 100,117,"2020","3270000",6578-558-1,דירה בבית קומות,5,קרקע
69,הזהב 3,149.67,"2020","4500000",6578-550-49,דירה בבית קומות,5,ארבע עשרה + חמש עשרה
70,0,166,"2020","3625000",6578-562-1,דירת גן,5,לא ידוע
71,יערה 12,98.7,"2019","2460000",6578-551-29,דירה בבית קומות,4,שמינית
