מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
969,קרליבך 6,101,2020,4450000,7104-289-1095,דירה בבית,5,44059
971,יורם קניוק 1,85,2020,4044000,7104-289-1098,דירה בבית,4,47576
972,יורם קניוק 1,67,2020,3058000,7104-289-1099,דירה בבית,3,45642
973,קרליבך 6,120,2020,5904000,7104-289-1102,דירה בבית,5,49200
974,יורם קניוק 1,200,2020,9236590,7104-289-291,דירה בבית,6,46183
975,יורם קניוק 1,200,2020,5605000,7104-289-1104,דירה בבית,5,28025
976,קרליבך 4,120,2020,4275000,7104-289-1107,דירה בבית,5,35625
977,יורם קניוק 1,57,2020,2720000,7104-289-1109,דירה בבית,2,47719
978,יורם קניוק 1,50,2020,2300000,7104-289-1112,דירה בבית,2,46000
979,יורם קניוק 1,120,2020,5884000,7104-289-1113,דירה בבית,5,49033
980,יורם קניוק 1,85,2020,4132000,7104-289-1114,דירה בבית,4,48612
981,יורם קניוק 1,85,2020,4070000,7104-289-1115,דירה בבית,4,47882
982,יורם קניוק 1,198,2020,10800000,7104-289-290,דירה בבית,6,54545
983,יורם קניוק 1,85,2020,3894000,7104-289-1116,דירה בבית,4,45812
984,קרליבך 8,97,2020,4300000,7104-273-7,דירה בבית,4,44330
985,קרליבך 4,142,2020,6786000,7104-289-1117,דירה בבית,5,47789
987,קרליבך 4,98,2020,3760000,7104-289-1121,דירה בבית,4,38367
988,קרליבך 4,126,2020,5000000,7104-289-1122,דירה בבית,4,39683
989,יורם קניוק 1,120,2020,5428000,7104-289-1124,דירה בבית,5,45233
992,יורם קניוק 1,120,2020,5655000,7104-289-1127,דירה בבית,5,47125
993,יורם קניוק 1,80,2020,3600000,7104-289-288,דירה,3,45000
994,יורם קניוק 1,120,2020,5826000,7104-289-287,דירה בבית,5,48550
996,יורם קניוק 1,80,2020,3150000,7104-289-286,דירה בבית,3,39375
997,יורם קניוק 1,90,2020,3975000,7104-289-1128,דירה בבית,4,44167
998,איתמר בן אבי 3,83,2020,3800000,6111-85-4,דירה,3,45783
999,יורם קניוק 1,90,2020,3550000,7104-289-1130,דירה בבית,3,39444
