מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
20,בני אפרים 238,84,2024,4206000,6625-994-1,דירה בבית,3,50071
21,בני אפרים 238,98,2024,3712000,6625-994-3,דירה בבית,3,37878
22,בני אפרים 240,92,2024,4229000,6625-1027-1,דירה בבית,4,45967
23,בני אפרים 240,114,2024,5400000,6625-1027-10,דירה בבית,4,47368
24,בני אפרים 240,123,2024,5883000,6625-1027-11,דירה בבית,5,47829
25,נתן אלתרמן 6,86,2024,4089000,6625-922-26,דירה בבית,3.5,47547
26,נתן אלתרמן 14,180,2024,8496000,6625-924-3,דירה בבית,5,47200
27,נתן אלתרמן 6,136,2024,6250000,6625-922-27,דירה בבית,5,45956
28,ויינשל 13,106.2,2024,4240000,6625-1115-8,דירה בבית,4,39925
30,ראובן רובין 1,120,2024,3550000,6625-1131-2,דירה בבית,5,29583
31,בני אפרים 276,73,2024,2000000,6624-909-27,דירה בבית,3,27397
32,שלונסקי 21,72.94,2024,4700000,6625-982-4,דירה בבית,4,64437
33,אביגדור המאירי 17,114,2024,5100000,6625-1251-71,דירה בבית,5,44737
34,נתן אלתרמן 26,95,2024,3900000,6625-934-17,דירה בבית,4,41053
35,נתן אלתרמן 14,52,2024,2650000,6625-924-8,דירה בבית,2,50962
36,זאב 13,79,2024,3700000,6625-929-11,דירה בבית,4,46835
37,נתן אלתרמן 10,52,2024,6060000,6625-923-26,דירה בבית,3,116538
38,נתן אלתרמן 10,52,2024,5840000,6625-923-30,דירה בבית,3,112308
39,נתן אלתרמן 14,89,2024,4305000,6625-924-29,דירה בבית,4,48371
40,אלתרמן נתן 11,88.77,2024,3620000,6625-956-28,דירה בבית,4,40780
41,נתן אלתרמן 14,89,2024,4205000,6625-924-23,דירה בבית,4,47247
42,נתן אלתרמן 14,89,2024,4105000,6625-924-13,דירה בבית,4,46124
43,נתן אלתרמן 6,104,2024,4100000,6625-922-28,דירה בבית,3,39423
44,בני אפרים 276,119,2024,6061000,6624-909-28,דירה בבית,4,50933
45,נתן אלתרמן 14,93,2024,4687000,6625-924-7,דירה בבית,4,50398
46,בני אפרים 234,51,2024,2950000,6625-996-1,דירה בבית,2,57843
47,נתן אלתרמן 14,90,2024,4355000,6625-924-33,דירה בבית,4,48389
49,בני אפרים 276,129,2024,3253000,6624-909-29,דירה בבית,6,25217
50,בני אפרים 240,100,2024,3450000,6625-1027-3,דירה בבית,3,34500
51,נתן אלתרמן 14,52,2024,4224000,6625-924-19,דירה בבית,3,81231
52,בני אפרים 276,240,2024,6853000,6624-909-30,דירה בבית,5,28554
53,בני אפרים 262,101,2024,4698000,6625-930-34,דירה בבית,4,46515
54,בני אפרים 276,73,2024,3761000,6624-909-31,דירה בבית,3,51521
56,נתן אלתרמן 6,128,2024,8700000,6625-922-29,דירה בבית,5,67969
58,יצחק למדן 10,132,2024,4855000,6625-120-7,דירה בבית,5,36780
59,לאה גולדברג 20,90.23,2024,79000,6625-1190-20,דירה בבית,4,876
61,נתן אלתרמן 6,82,2024,4200000,6625-922-30,דירה בבית,4,51220
