מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,0,לא ידוע,"2025","1200000",6632-459-14,קרקע למגורים,לא ידוע,לא ידוע
2,0,לא ידוע,"2025","995000",6632-459-13,קרקע למגורים,לא ידוע,לא ידוע
3,0,107,"2025","1800000",6621-8-68,ללא תיכנון,לא ידוע,לא ידוע
4,0,103,"2024","1738000",6621-8-67,קרקע למגורים,לא ידוע,לא ידוע
5,0,106,"2024","1125000",6621-8-66,ללא תיכנון,לא ידוע,לא ידוע
6,0,לא ידוע,"2024","24648000",6632-319-8,ללא תיכנון,לא ידוע,לא ידוע
7,0,83,"2024","2130000",6632-459-12,קרקע למגורים,לא ידוע,לא ידוע
8,0,970,"2024","1750000",6621-8-65,קרקע למגורים,לא ידוע,לא ידוע
9,0,106,"2024","1125000",6621-8-64,קרקע למגורים,לא ידוע,לא ידוע
10,0,101,"2024","1650000",6632-319-7,קרקע למגורים,לא ידוע,לא ידוע
11,0,101,"2024","1600000",6632-319-6,קרקע למגורים,לא ידוע,לא ידוע
12,0,9347,"2024","10256000",6632-459-11,מסחרי + מגורים,לא ידוע,לא ידוע
13,0,לא ידוע,"2024","6422000",6632-457-6,מסחרי + מגורים,1,לא ידוע
14,0,28,"2024","320000",6621-8-63,ללא תיכנון,לא ידוע,לא ידוע
15,0,535,"2024","1950000",6621-8-62,קרקע למגורים,לא ידוע,לא ידוע
16,0,289,"2024","9519000",6632-459-10,משרדים + מגורים,לא ידוע,לא ידוע
17,0,לא ידוע,"2024","17222000",6632-459-9,מסחרי + מגורים,לא ידוע,לא ידוע
18,0,1000,"2024","2916000",6632-359-1,ללא תיכנון,לא ידוע,לא ידוע
19,0,156,"2024","1666000",6621-8-61,ללא תיכנון,לא ידוע,לא ידוע
20,0,לא ידוע,"2024","8834000",6632-459-8,מסחרי + מגורים,לא ידוע,לא ידוע
21,0,לא ידוע,"2024","8928000",6632-319-5,מסחרי + משרדים,לא ידוע,לא ידוע
22,0,167,"2024","2857000",6896-5-4,ללא תיכנון,לא ידוע,לא ידוע
23,0,לא ידוע,"2024","9037000",6632-457-5,מסחרי + מגורים,לא ידוע,לא ידוע
24,0,לא ידוע,"2024","1525000",6632-159-2,מסחרי + מגורים,לא ידוע,לא ידוע
25,0,156,"2024","2052000",6621-8-60,ללא תיכנון,לא ידוע,לא ידוע
26,0,לא ידוע,"2024","2500000",6632-465-1,מסחרי + מגורים,לא ידוע,לא ידוע
27,0,לא ידוע,"2024","1800000",6621-8-59,ללא תיכנון,לא ידוע,לא ידוע
28,0,500,"2024","1433000",6632-301-1,ניוד זכויות בניה,לא ידוע,לא ידוע
29,0,לא ידוע,"2024","1764000",6621-8-58,קרקע למגורים,לא ידוע,לא ידוע
30,0,לא ידוע,"2024","2857000",6896-5-3,ללא תיכנון,לא ידוע,לא ידוע
31,0,83,"2023","2250000",6632-346-2,מסחרי + מגורים,לא ידוע,לא ידוע
32,0,לא ידוע,"2023","165000",6632-273-1,קומבינציה,לא ידוע,לא ידוע
33,0,לא ידוע,"2023","1750000",6621-8-57,קרקע למגורים,לא ידוע,לא ידוע
34,0,לא ידוע,"2023","2000000",6621-8-55,ללא תיכנון,לא ידוע,לא ידוע
35,0,לא ידוע,"2023","2500000",6621-8-54,קרקע למגורים,לא ידוע,לא ידוע
36,0,לא ידוע,"2023","300000",6621-8-53,ללא תיכנון,לא ידוע,לא ידוע
37,0,250,"2023","5050000",6621-8-52,ללא תיכנון,לא ידוע,לא ידוע
38,0,לא ידוע,"2023","2500000",6632-372-1,ללא תיכנון,לא ידוע,לא ידוע
39,0,לא ידוע,"2023","563000",6621-8-51,ללא תיכנון,לא ידוע,לא ידוע
40,0,לא ידוע,"2023","1200000",6621-8-50,ללא תיכנון,לא ידוע,לא ידוע
41,0,515,"2022","800000",6632-5-3,קרקע למגורים,לא ידוע,לא ידוע
42,0,1000,"2022","750000",6632-389-2,ללא תיכנון,לא ידוע,לא ידוע
43,0,506,"2022","11393000",6632-193-1,ללא תיכנון,לא ידוע,לא ידוע
44,0,לא ידוע,"2022","2257000",6632-461-1,קרקע למגורים,לא ידוע,לא ידוע
45,0,173,"2022","2675000",6632-231-1,קרקע למגורים,לא ידוע,לא ידוע
46,0,173,"2022","2050000",6632-273-2,מגורים,לא ידוע,לא ידוע
47,0,לא ידוע,"2022","1750000",6632-339-1,קרקע למגורים,לא ידוע,לא ידוע
48,0,169,"2022","2850000",6621-8-49,ללא תיכנון,לא ידוע,לא ידוע
49,0,167,"2022","2450000",6632-354-1,קרקע למגורים,לא ידוע,לא ידוע
50,0,לא ידוע,"2022","775000",6621-8-48,קרקע למגורים,לא ידוע,לא ידוע
51,0,7996,"2022","201000000",6632-457-4,ללא תיכנון,לא ידוע,לא ידוע
52,0,101,"2022","1740000",6632-253-2,קרקע למגורים,לא ידוע,לא ידוע
53,0,29,"2022","141000",6632-9-3,קרקע למגורים,לא ידוע,לא ידוע
54,0,95,"2022","1650000",6632-253-1,קרקע למגורים,לא ידוע,לא ידוע
55,0,לא ידוע,"2022","650000",6621-8-47,ללא תיכנון,לא ידוע,לא ידוע
56,0,לא ידוע,"2022","1126000",6621-8-44,ללא תיכנון,לא ידוע,לא ידוע
57,0,לא ידוע,"2022","8400000",6621-8-45,קרקע למגורים,לא ידוע,לא ידוע
58,0,לא ידוע,"2022","10900000",6621-8-46,ללא תיכנון,לא ידוע,לא ידוע
59,0,לא ידוע,"2022","3550000",6632-6-2,ללא תיכנון,לא ידוע,לא ידוע
60,0,105,"2022","3821000",6621-8-43,קרקע למגורים,לא ידוע,לא ידוע
61,0,לא ידוע,"2022","2100000",6621-8-42,קרקע למגורים,לא ידוע,לא ידוע
62,0,לא ידוע,"2022","1252000",6621-8-40,קרקע למגורים,לא ידוע,לא ידוע
63,0,לא ידוע,"2022","2900000",6621-8-41,קרקע למגורים,לא ידוע,לא ידוע
64,0,לא ידוע,"2022","2120000",6621-8-39,קרקע למגורים,לא ידוע,לא ידוע
65,0,5732,"2022","1912000",6632-273-3,מגורים,לא ידוע,לא ידוע
66,0,לא ידוע,"2022","2775000",6632-9-2,קרקע למגורים,לא ידוע,לא ידוע
67,0,520,"2022","3750000",6621-8-38,קרקע למגורים,לא ידוע,לא ידוע
68,0,125,"2022","2000000",6621-8-37,קרקע למגורים,לא ידוע,לא ידוע
69,0,לא ידוע,"2022","8033000",6621-8-36,קרקע למגורים,לא ידוע,לא ידוע
70,0,לא ידוע,"2022","723000",6632-1-2,קרקע למגורים,לא ידוע,לא ידוע
71,0,762,"2022","12101000",6621-8-35,קרקע למגורים,לא ידוע,לא ידוע
72,0,300,"2022","2137000",6632-6-1,קרקע למגורים,לא ידוע,לא ידוע
73,0,לא ידוע,"2022","1500000",6621-8-34,קרקע למגורים,לא ידוע,לא ידוע
74,0,לא ידוע,"2021","3036000",6621-8-33,ללא תיכנון,לא ידוע,לא ידוע
75,0,552,"2021","775000",6632-237-2,קרקע למגורים,לא ידוע,לא ידוע
76,0,554,"2021","883000",6632-256-1,קרקע למגורים,לא ידוע,לא ידוע
77,0,130,"2021","2015000",6632-317-2,קרקע למגורים,לא ידוע,לא ידוע
78,0,125,"2021","3965000",6632-459-7,קרקע למגורים,לא ידוע,לא ידוע
79,0,3961,"2021","980000",6632-319-4,ללא תיכנון,לא ידוע,לא ידוע
80,0,לא ידוע,"2021","1950000",6621-8-32,ללא תיכנון,לא ידוע,לא ידוע
81,0,לא ידוע,"2021","917000",6621-8-30,ללא תיכנון,לא ידוע,לא ידוע
82,0,לא ידוע,"2021","1355000",6621-8-31,ללא תיכנון,לא ידוע,לא ידוע
83,0,לא ידוע,"2021","2400000",6621-8-29,ללא תיכנון,לא ידוע,לא ידוע
84,0,לא ידוע,"2021","1700000",6621-8-28,ללא תיכנון,לא ידוע,לא ידוע
85,0,לא ידוע,"2021","6500000",6621-8-27,ללא תיכנון,לא ידוע,לא ידוע
86,0,38080,"2021","1500000",6632-5-2,קרקע למגורים,לא ידוע,לא ידוע
87,0,1000,"2021","859000",6632-346-1,ללא תיכנון,לא ידוע,לא ידוע
88,0,1000,"2021","375000",6632-390-1,ללא תיכנון,לא ידוע,לא ידוע
89,0,8702,"2021","7500000",6896-5-2,ללא תיכנון,לא ידוע,לא ידוע
90,0,101,"2021","800000",6632-319-3,ללא תיכנון,לא ידוע,ראשונה
91,0,לא ידוע,"2021","3300000",6632-16-3,ללא תיכנון,לא ידוע,לא ידוע
92,0,149,"2021","2300000",6632-16-2,קרקע למגורים,לא ידוע,לא ידוע
93,0,522,"2021","1179000",6632-237-1,ללא תיכנון,לא ידוע,לא ידוע
94,0,לא ידוע,"2021","2341000",6632-459-6,ללא תיכנון,לא ידוע,לא ידוע
95,0,502,"2021","6000000",6632-225-1,ללא תיכנון,לא ידוע,לא ידוע
96,0,1005,"2021","6000000",6632-224-1,קרקע למגורים,לא ידוע,לא ידוע
97,0,לא ידוע,"2021","1520000",6621-8-26,קרקע למגורים,לא ידוע,לא ידוע
98,0,לא ידוע,"2020","1485000",6621-8-25,משרדים + מגורים,לא ידוע,לא ידוע
99,0,לא ידוע,"2020","12500000",6632-389-1,ללא תיכנון,לא ידוע,לא ידוע
100,0,לא ידוע,"2020","2300000",6632-459-5,ללא תיכנון,לא ידוע,לא ידוע
101,0,לא ידוע,"2020","2176000",6632-459-4,ללא תיכנון,לא ידוע,לא ידוע
102,0,321,"2020","3075000",6621-8-24,קרקע למגורים,לא ידוע,לא ידוע
103,0,167,"2020","2150000",6632-317-1,קרקע למגורים,לא ידוע,לא ידוע
104,0,328,"2020","3896000",6632-248-1,ללא תיכנון,לא ידוע,לא ידוע
105,0,1000,"2020","4380000",6621-8-23,קרקע למגורים,לא ידוע,לא ידוע
106,0,3808,"2020","2800000",6632-5-1,ללא תיכנון,לא ידוע,לא ידוע
107,0,לא ידוע,"2020","2350000",6632-459-2,קרקע למגורים,לא ידוע,לא ידוע
108,0,לא ידוע,"2020","1200000",6621-8-22,ללא תיכנון,לא ידוע,לא ידוע
109,0,83,"2020","2352000",6632-459-1,קרקע למגורים,לא ידוע,לא ידוע
110,0,לא ידוע,"2020","5830000",6621-8-21,קרקע למגורים,לא ידוע,לא ידוע
111,0,1000,"2020","2500000",6632-329-1,ללא תיכנון,לא ידוע,לא ידוע
112,0,8548,"2020","3515000",6632-11-1,קרקע למגורים,לא ידוע,לא ידוע
113,0,246,"2019","3795000",6632-387-1,קרקע למגורים,לא ידוע,לא ידוע
114,0,506,"2019","8163000",6632-191-1,קרקע למגורים,לא ידוע,לא ידוע
115,0,לא ידוע,"2019","1838000",6632-388-1,קרקע למגורים,לא ידוע,לא ידוע
116,0,89,"2019","1248000",6632-16-1,קרקע למגורים,לא ידוע,לא ידוע
117,0,106,"2019","600000",6621-8-20,ללא תיכנון,לא ידוע,לא ידוע
118,0,לא ידוע,"2019","3247000",6621-8-19,קרקע למגורים,לא ידוע,לא ידוע
119,0,8027,"2019","6499000",6896-5-1,קרקע למגורים,לא ידוע,לא ידוע
120,0,212,"2019","3140000",6621-8-18,קרקע למגורים,לא ידוע,לא ידוע
121,שושנה פרסיץ 1,11193,"2019","59349000",6620-42-2,קרקע למגורים,לא ידוע,לא ידוע
122,0,107,"2019","1275000",6621-8-17,ללא תיכנון,לא ידוע,לא ידוע
123,0,2193,"2018","2280000",6632-9-1,קרקע למגורים,לא ידוע,לא ידוע
124,0,לא ידוע,"2018","970000",6621-8-16,קרקע למגורים,לא ידוע,לא ידוע
125,0,155,"2018","1540000",6632-7-1,קרקע למגורים,לא ידוע,לא ידוע
126,0,107,"2018","1460000",6621-8-15,קרקע למגורים,לא ידוע,לא ידוע
127,0,141,"2018","1140000",6621-8-14,קרקע למגורים,לא ידוע,לא ידוע
128,0,248,"2018","2000000",6621-8-13,קרקע למגורים,לא ידוע,לא ידוע
129,0,לא ידוע,"2018","6790000",6621-8-12,ללא תיכנון,לא ידוע,לא ידוע
130,0,לא ידוע,"2018","1650000",6621-8-11,ללא תיכנון,לא ידוע,לא ידוע
131,0,לא ידוע,"2018","1099000",6621-8-10,קרקע למגורים,לא ידוע,לא ידוע
132,0,לא ידוע,"2018","875000",6632-400-1,קרקע למגורים,לא ידוע,לא ידוע
133,0,585,"2018","5284000",6632-265-1,קרקע למגורים,לא ידוע,לא ידוע
134,0,לא ידוע,"2018","484000",6621-8-9,קרקע למגורים,לא ידוע,לא ידוע
135,0,124,"2018","1477000",6621-8-8,קרקע למגורים,לא ידוע,לא ידוע
136,0,לא ידוע,"2018","1499000",6632-457-3,דירה בבית קומות,1,ראשונה
