מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
1,רח' 3628 79,72,"2025","2995000",6970-104-2,דירה בבית קומות,3,ראשונה
2,רח' 3628 79,103,"2025","3950000",6970-104-3,דירה בבית קומות,4,רביעית
3,ישעיהו ברלין 1,70,"2025","3031000",6970-103-70,דירה בבית קומות,3,שביעית
4,רח' 3628 79,120,"2025","4350000",6970-104-4,דירה בבית קומות,5,שמינית
5,רח' 3628 79,120,"2025","4199000",6970-104-5,דירה בבית קומות,5,שלישית
6,בורמה 32,50.95,"2025","2000000",7065-217-27,דירה בבית קומות,2,שניה
7,רח' 3628 79,36,"2025","207000",6970-104-1,מחסנים,לא ידוע,ראשונה
8,קמינסקה 26,59,"2025","2500000",6986-335-13,דירה בבית קומות,3,רביעית
9,שמואל כהן-יוחננוף 6,81.7,"2025","3500000",6970-101-38,דירה בבית קומות,3,שמינית
10,מבקיעים 4,84,"2025","3600000",6984-126-3,דירה בבית קומות,4,שניה
11,אליקום צונזר 11,85.7,"2025","3100000",6986-115-1,דירה בבית קומות,3,קרקע
12,אסירי ציון 19,89.7,"2025","2722000",6970-101-106,דירה בבית קומות,3,עשירית
13,הקשת 37,118,"2025","2970000",6984-132-12,דירה בבית קומות,5,שניה
14,אסירי ציון 17,85.5,"2025","3100000",6970-101-138,דירה בבית קומות,4,רביעית
15,הקשת 2,72,"2025","2565200",7065-43-101,דירה בבית קומות,3,עשירית
16,רח' 3628 79,120,"2025","4260000",6970-104-6,דירה בבית קומות,5,חמישית
17,הותיקים 5,47.1,"2025","3170000",6986-342-4,דירה בבית קומות,3,ראשונה
18,מינקובסקי 13,111.8,"2025","3250000",6982-237-1,דירת גן,5,קרקע
19,שילר 13,58.6,"2025","2350000",6985-84-3,דירה בבית קומות,3,ראשונה
20,רח' 3628 79,100,"2025","3830000",6970-104-7,דירה בבית קומות,4,שלישית
